Index,Tag,Eclipse-Series,Spine #,Title,Director,Country,Year,豆瓣电影,豆瓣年份,豆瓣打分,备注
141,bs-#639, ,641,Powaqqatsi,Godfrey Reggio,United States,1988,[变形生活 Powaqqatsi](https://movie.douban.com/subject/1307260/),1988,7.8, 
142,bs-#639, ,642,Naqoyqatsi,Godfrey Reggio,United States,2002,[战争生活 Naqoyqatsi](https://movie.douban.com/subject/1305549/),2002,7.5, 
143,bs-#655, ,655,[Pierre Etaix](https://www.criterion.com/boxsets/947-pierre-etaix), , , ,**皮埃尔·埃泰【套装】**, , , 
144,bs-#655, , ,The Suitor,Pierre Etaix,France,1963,[求爱者 Le soupirant](https://movie.douban.com/subject/4096051/),1962,7.6, 
145,bs-#655, , ,Yoyo,Pierre Etaix,France,1965,[悠悠 Yoyo](https://movie.douban.com/subject/1963110/),1965,8.2, 
146,bs-#655, , ,As Long as You’ve Got Your Health,Pierre Etaix,France,1966,[最佳状态 Tant qu'on a la santé](https://movie.douban.com/subject/4901928/),1966,7.5, 
147,bs-#655, , ,Le grand amour,Pierre Etaix,France,1969,[挚爱 Le grand amour](https://movie.douban.com/subject/4230745/),1969,7.7, 
148,bs-#655, , ,Land of Milk and Honey,Pierre Etaix,France,1971,[牛奶和蜂蜜的土地 Pays de Cocagne](https://movie.douban.com/subject/4901927/),1971,6.2, 
149,bs-#672, ,672,[3 Films by Roberto Rossellini Starring Ingrid Bergman](https://www.criterion.com/boxsets/982-3-films-by-roberto-rossellini-starring-ingrid-bergman), , , ,**英格丽·褒曼出演的罗伯托·罗西里尼的三部电影**, , , 
150,bs-#672, ,673,Stromboli,Roberto Rossellini,Italy,1950,[火山边缘之恋 Stromboli](https://movie.douban.com/subject/1294382/),1950,8.0, 
151,bs-#672, ,674,Europe ’51,Roberto Rossellini,Italy,1952,[一九五一年的欧洲 Europa '51](https://movie.douban.com/subject/1293321/),1952,8.0, 
152,bs-#672, ,675,Journey to Italy,Roberto Rossellini,Italy,1954,[游览意大利 Viaggio in Italia](https://movie.douban.com/subject/1303576/),1954,7.8, 
153,bs-#679, ,679,[Zatoichi: The Blind Swordsman](https://www.criterion.com/boxsets/1012-zatoichi-the-blind-swordsman), , , ,**（三隅研次等）座头市：盲剑客系列**, , , 
154,bs-#679, , ,The Tale of Zatoichi,Kenji Misumi,Japan,1962,[座头市物语 座頭市物語](https://movie.douban.com/subject/1303393/),1962,8.0,盲剑客 之一
155,bs-#679, , ,The Tale of Zatoichi Continues,Kazuo Mori,Japan,1962,[续座头市物语 続・座頭市物語](https://movie.douban.com/subject/2144151/),1962,6.7,盲剑客 之二
156,bs-#679, , ,New Tale of Zatoichi,Tokuzo Tanaka,Japan,1963,[新·座头市物语 新・座頭市物語](https://movie.douban.com/subject/3112632/),1963,7.6,盲剑客 之三
157,bs-#679, , ,Zatoichi the Fugitive,Tokuzo Tanaka,Japan,1963,[座头市凶状旅 座頭市兇狀旅](https://movie.douban.com/subject/2142133/),1963,7.1,盲剑客 之四
158,bs-#679, , ,Zatoichi on the Road,Kimiyoshi Yasuda,Japan,1963,[座头市喧哗旅 座頭市喧嘩旅](https://movie.douban.com/subject/2142142/),1963,7.0,盲剑客 之五
159,bs-#679, , ,Zatoichi and the Chest of Gold,Kazuo Ikehiro,Japan,1964,[座头市千两首 座頭市千両首](https://movie.douban.com/subject/2058562/),1964,7.2,盲剑客 之六
160,bs-#679, , ,Zatoichi’s Flashing Sword,Kazuo Ikehiro,Japan,1964,[座头市恣意的风筝 座頭市あばれ凧](https://movie.douban.com/subject/3112590/),1964,7.3,盲剑客 之七
