Title 电影,Rank 排名,Rank-2022,Director 导演,豆瓣电影,豆瓣打分,豆瓣信息,Year 年份,Region 地区,Genre 类型,IMDb Movie,IMDb Score
"Night at the Opera, A",🎉571,🎉546,Sam Wood,[歌声俪影 A Night at the Opera](https://movie.douban.com/subject/1296879/),🌟7.2,山姆·伍德 / 爱德芒德·古尔丁 / 格劳乔·马克斯 / 奇科·马克斯 / 哈勃·马克斯 / 喜剧 / 音乐 / 歌舞 / 美国 / 1935,1935,USA,Comedy-Musical,[A Night at the Opera](https://www.imdb.com/title/tt0026778/),🌟7.8
Butch Cassidy and the Sundance Kid,🎉572,🎉414,George Roy Hill,[虎豹小霸王 Butch Cassidy and the Sundance Kid](https://movie.douban.com/subject/1297602/),🌟8.6,乔治·罗伊·希尔 / 保罗·纽曼 / 罗伯特·雷德福 / 凯瑟琳·罗斯 / 冒险 / 犯罪 / 剧情 / 西部 / 美国 / 1969,1969,USA,Western,[Butch Cassidy and the Sundance Kid](https://www.imdb.com/title/tt0064115/),🌟8
"Taking of Power by Louis XIV, The",🎉573,🎉568,Roberto Rossellini,[路易十四的崛起 La prise de pouvoir par Louis XIV](https://movie.douban.com/subject/1303546/),🌟7.1,罗伯托·罗西里尼 / Jean-Marie Patte / Raymond Jourdan / Silvagni / 传记 / 历史 / 法国 / 1966,1966,France,Drama-Biography-History,[The Taking of Power by Louis XIV](https://www.imdb.com/title/tt0060860/),🌟7.2
"Crouching Tiger, Hidden Dragon",🎉574,🎉401,Ang Lee,[卧虎藏龙 臥虎藏龍](https://movie.douban.com/subject/1301168/),🌟8.4,李安 / 周润发 / 杨紫琼 / 章子怡 / 剧情 / 爱情 / 武侠 / 中国台湾/中国香港/美国/中国大陆 / 2000,2000,Taiwan-Hong Kong-USA-China,Drama-Adventure-Action,"[Crouching Tiger, Hidden Dragon](https://www.imdb.com/title/tt0190332/)",🌟7.9
Bigger Than Life,🎉575,🎉628,Nicholas Ray,[高于生活 Bigger Than Life](https://movie.douban.com/subject/1855271/),🌟7.6,尼古拉斯·雷 / 詹姆斯·梅森 / 芭芭拉·拉什 / 沃尔特·马修 / 剧情 / 美国 / 1956,1956,USA,Drama,[Bigger Than Life](https://www.imdb.com/title/tt0049010/),🌟7.4
Tale of Tales,🎉576,🎉596,Yuriy Norshteyn,[故事中的故事 Сказка сказок](https://movie.douban.com/subject/1432639/),🌟8.7,尤里·诺尔施泰因 / 亚历山大·卡利亚金 / 动画 / 短片 / 苏联 / 1979,1979,USSR,Animated-Short,[The Tale of Tales](https://www.imdb.com/title/tt0079986/),🌟7.8
Forrest Gump,🎉577,🎉463,Robert Zemeckis,[阿甘正传 Forrest Gump](https://movie.douban.com/subject/1292720/),🌟9.5,罗伯特·泽米吉斯 / 汤姆·汉克斯 / 罗宾·怀特 / 加里·西尼斯 / 剧情 / 爱情 / 美国 / 1994,1994,USA,Drama-Comedy,[Forrest Gump](https://www.imdb.com/title/tt0109830/),🌟8.8
"French Connection, The",🎉578,🎉521,William Friedkin,[法国贩毒网 The French Connection](https://movie.douban.com/subject/3013046/),🌟7.8,威廉·弗莱德金 / 吉恩·哈克曼 / 费尔南多·雷伊 / 罗伊·谢德 / 动作 / 犯罪 / 惊悚 / 美国 / 1971,1971,USA,Crime-Action-Drama,[The French Connection](https://www.imdb.com/title/tt0067116/),🌟7.7
"Sound of Music, The",🎉579,🎉522,Robert Wise,[音乐之声 The Sound of Music](https://movie.douban.com/subject/1294408/),🌟9.1,罗伯特·怀斯 / 朱莉·安德鲁斯 / 克里斯托弗·普卢默 / 埃琳诺·帕克 / 剧情 / 传记 / 爱情 / 歌舞 / 美国 / 1965,1965,USA,Musical-Drama-Family,[The Sound of Music](https://www.imdb.com/title/tt0059742/),🌟8.1
Se7en,🎉580,🎉460,David Fincher,[七宗罪 Se7en](https://movie.douban.com/subject/1292223/),🌟8.8,大卫·芬奇 / 摩根·弗里曼 / 布拉德·皮特 / 凯文·史派西 / 剧情 / 犯罪 / 悬疑 / 惊悚 / 美国 / 1995,1995,USA,Thriller-Mystery-Drama,[Se7en](https://www.imdb.com/title/tt0114369/),🌟8.6
I Walked with a Zombie,🎉581,🎉654,Jacques Tourneur,[与僵尸同行 I Walked with a Zombie](https://movie.douban.com/subject/1307177/),🌟7.1,雅克·特纳 / 詹姆斯·埃利森 / 弗朗西丝·迪伊 / 汤姆·康威 / 恐怖 / 美国 / 1943,1943,USA,Horror-Drama-Fantasy,[I Walked with a Zombie](https://www.imdb.com/title/tt0036027/),🌟7
Gentlemen Prefer Blondes,🎉582,🎉896,Howard Hawks,[绅士爱美人 Gentlemen Prefer Blondes](https://movie.douban.com/subject/1294244/),🌟7.9,霍华德·霍克斯 / 简·拉塞尔 / 玛丽莲·梦露 / 查尔斯·科本 / 喜剧 / 剧情 / 歌舞 / 爱情 / 美国 / 1953,1953,USA,Romance-Musical-Comedy,[Gentlemen Prefer Blondes](https://www.imdb.com/title/tt0045810/),🌟7.1
"Servant, The",🎉583,🎉572,Joseph Losey,[仆人 The Servant](https://movie.douban.com/subject/1303553/),🌟8.2,约瑟夫·罗西 / 德克·博加德 / 莎拉·米尔斯 / 温蒂·克雷格 / 剧情 / 英国 / 1963,1963,UK,Drama,[The Servant](https://www.imdb.com/title/tt0057490/),🌟7.8
Fellini's Roma,🎉584,🎉610,Federico Fellini,[罗马风情画 Roma](https://movie.douban.com/subject/1302815/),🌟8.3,费德里科·费里尼 / 彼得·冈萨雷斯·法尔孔 / Fiona Florence / Britta Barnes / 剧情 / 喜剧 / 意大利/法国 / 1972,1972,Italy,Drama-Comedy,[Roma](https://www.imdb.com/title/tt0069191/),🌟7.3
Providence,🎉585,🎉586,Alain Resnais,[天意 Providence](https://movie.douban.com/subject/1294848/),🌟8.1,阿伦·雷乃 / 德克·博加德 / 艾伦·伯斯汀 / 约翰·吉尔古德 / 剧情 / 法国/瑞士 / 1977,1977,France-Switzerland,Drama,[Providence](https://www.imdb.com/title/tt0076574/),🌟7.5
Land Without Bread,🎉586,🎉388,Luis Buñuel,[无粮的土地 Las Hurdes](https://movie.douban.com/subject/1401595/),🌟8.0,路易斯·布努埃尔 / Abel Jacquin / Alexandre O'Neill / 纪录片 / 短片 / 西班牙 / 1933,1933,Spain,Documentary-Short-Drama,[Las Hurdes](https://www.imdb.com/title/tt0023037/),🌟7.3
Seven Chances,🎉587,🎉646,Buster Keaton,[七次机会 Seven Chances](https://movie.douban.com/subject/1300352/),🌟8.9,巴斯特·基顿 / 巴斯特·基顿 / T.罗伊·巴尔内斯 / 辛兹·爱德华 / 喜剧 / 爱情 / 美国 / 1925,1925,USA,Romance-Comedy,[Seven Chances](https://www.imdb.com/title/tt0016332/),🌟7.8
Mad Max 2,🎉588,🎉499,George Miller,[疯狂的麦克斯2 Mad Max 2](https://movie.douban.com/subject/1292453/),🌟7.3,乔治·米勒 / 梅尔·吉布森 / 布鲁斯·斯宾斯 / 弗农·威尔斯 / 动作 / 科幻 / 惊悚 / 冒险 / 澳大利亚 / 1981,1981,Australia,Science Fiction-Action-Adventure,[The Road Warrior](https://www.imdb.com/title/tt0082694/),🌟7.6
"Round-Up, The",🎉589,🎉656,Miklós Jancsó,[无望的人们 Szegénylegények](https://movie.douban.com/subject/1462674/),🌟7.8,米克洛什·扬索 / 佐尔坦·拉蒂诺维茨 / 蒂博尔·莫尔纳 / 加博尔·奥加尔迪 / 剧情 / 战争 / 匈牙利 / 1966,1966,Hungary,History-Drama-War,[The Round-Up](https://www.imdb.com/title/tt0059776/),🌟7.6
West Indies,🎉590,🎉3383,Med Hondo,[西印度群岛 West Indies](https://movie.douban.com/subject/25774676/),🌟,梅德·翁多 / Cyril Aventurin / 费尔南·贝尔塞 / 罗兰·伯汀 / 剧情 / 法国/毛里塔尼亚/阿尔及利亚 / 1979,1979,France-Algeria-Mauritania,Drama-Musical,[West Indies](https://www.imdb.com/title/tt0080125/),🌟7.2
"Lord of the Rings: The Fellowship of the Ring, The",🎉591,🎉753,Peter Jackson,[指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring](https://movie.douban.com/subject/1291571/),🌟9.1,彼得·杰克逊 / 伊利亚·伍德 / 西恩·奥斯汀 / 伊恩·麦克莱恩 / 剧情 / 动作 / 奇幻 / 冒险 / 新西兰/美国 / 2001,2001,New Zealand-USA,Fantasy-Adventure,[The Lord of the Rings: The Fellowship of the Ring](https://www.imdb.com/title/tt0120737/),🌟8.8
Cat People,🎉592,🎉495,Jacques Tourneur,[豹族 Cat People](https://movie.douban.com/subject/1306489/),🌟7.4,雅克·特纳 / 西蒙妮·西蒙 / 肯特·史密斯 / 汤姆·康威 / 恐怖 / 悬疑 / 美国 / 1942,1942,USA,Thriller-Horror-Mystery,[Cat People](https://www.imdb.com/title/tt0034587/),🌟7.2
Brokeback Mountain,🎉593,🎉357,Ang Lee,[断背山 Brokeback Mountain](https://movie.douban.com/subject/1418834/),🌟8.8,李安 / 希斯·莱杰 / 杰克·吉伦哈尔 / 米歇尔·威廉姆斯 / 剧情 / 爱情 / 同性 / 家庭 / 美国/加拿大 / 2005,2005,USA-Canada,Romance-Drama,[Brokeback Mountain](https://www.imdb.com/title/tt0388795/),🌟7.7
"Red Circle, The",🎉594,🎉599,Jean-Pierre Melville,[红圈 Le cercle rouge](https://movie.douban.com/subject/1401915/),🌟8.3,让-皮埃尔·梅尔维尔 / 阿兰·德龙 / 布尔维尔 / 吉安·马里亚·沃隆特 / 犯罪 / 剧情 / 惊悚 / 法国/意大利 / 1970,1970,France-Italy,Thriller-Crime,[The Red Circle](https://www.imdb.com/title/tt0065531/),🌟7.9
"Master, The",🎉595,🎉488,Paul Thomas Anderson,[大师 The Master](https://movie.douban.com/subject/6433905/),🌟7.4,保罗·托马斯·安德森 / 华金·菲尼克斯 / 菲利普·塞默·霍夫曼 / 艾米·亚当斯 / 剧情 / 美国 / 2012,2012,USA,Drama,[The Master](https://www.imdb.com/title/tt1560747/),🌟7.1
Scorpio Rising,🎉596,🎉627,Kenneth Anger,[天蝎星升起 Scorpio Rising](https://movie.douban.com/subject/1775245/),🌟7.3,肯尼思·安格 / Bruce Byron / Ernie Allo / Frank Carifi / 短片 / 美国 / 1963,1963,USA,Short-Avant-Garde-Music,[Scorpio Rising](https://www.imdb.com/title/tt0058555/),🌟6.8
Hatari!,🎉597,🎉582,Howard Hawks,[哈泰利 Hatari!](https://movie.douban.com/subject/1293484/),🌟7.8,霍华德·霍克斯 / 约翰·韦恩 / 哈迪·克鲁格 / 爱尔莎·玛蒂妮利 / 动作 / 冒险 / 剧情 / 爱情 / 美国 / 1962,1962,USA,Drama-Action-Adventure,[Hatari!](https://www.imdb.com/title/tt0056059/),🌟7.1
"Devils, The",🎉598,🎉624,Ken Russell,[卢丹的恶魔 The Devils](https://movie.douban.com/subject/1823255/),🌟7.9,肯·罗素 / 瓦妮莎·雷德格雷夫 / 奥列佛·里德 / 杜德里·沙顿 / 剧情 / 历史 / 恐怖 / 英国 / 1971,1971,UK,History-Drama-Horror,[The Devils](https://www.imdb.com/title/tt0066993/),🌟7.8
D'Est,🎉599,🎉776,Chantal Akerman,[来自东方 D'Est](https://movie.douban.com/subject/1780560/),🌟8.1,香特尔·阿克曼 / 纪录片 / 比利时/法国/葡萄牙 / 1993,1993,Belgium-France-Portugal,Documentary,[From the East](https://www.imdb.com/title/tt0106642/),🌟7.2
Boudu Saved from Drowning,🎉600,🎉583,Jean Renoir,[布杜落水遇救记 Boudu sauvé des eaux](https://movie.douban.com/subject/1302490/),🌟7.6,让·雷诺阿 / 米歇尔·西蒙 / 玛塞勒·海尼亚 / Sévérine Lerczinska / 喜剧 / 法国 / 1932,1932,France,Comedy,[Boudu Saved from Drowning](https://www.imdb.com/title/tt0022718/),🌟7.2
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,🎉601,🎉917,Jonas Mekas,[当我往前走之时偶尔会瞥到一缕美丽之景 As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty](https://movie.douban.com/subject/4117025/),🌟8.7,乔纳斯·梅卡斯 / 乔纳斯·梅卡斯 / 阿道法斯·梅卡斯 / Oona Mekas / 纪录片 / 传记 / 美国 / 2000,2000,USA,Documentary-Biography,[As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty](https://www.imdb.com/title/tt0262240/),🌟8.2
Barton Fink,🎉602,🎉480,Joel & Ethan Coen Coen,[巴顿·芬克 Barton Fink](https://movie.douban.com/subject/1298043/),🌟8.1,乔尔·科恩 / 伊桑·科恩 / 约翰·特托罗 / 约翰·古德曼 / 朱迪·戴维斯 / 剧情 / 喜剧 / 惊悚 / 美国/英国 / 1991,1991,USA,Drama-Comedy,[Barton Fink](https://www.imdb.com/title/tt0101410/),🌟7.6
Edvard Munch [TV],🎉603,🎉769,Peter Watkins,[爱德华·蒙克 Edvard Munch](https://movie.douban.com/subject/1439463/),🌟8.6,彼得·沃特金 / Geir Westby / Gro Fraas / Kerstii Allum / 剧情 / 传记 / 瑞典/挪威 / 1974,1974,Sweden-Norway,Drama-Biography,[Edvard Munch](https://www.imdb.com/title/tt0074462/),🌟8.1
Pink Flamingos,🎉604,🎉926,John Waters,[](),🌟, ,1972,USA,Comedy-Crime,[Pink Flamingos](https://www.imdb.com/title/tt0069089/),🌟6
"Amants du Pont-Neuf, Les",🎉605,🎉554,Leos Carax,[新桥恋人 Les amants du Pont-Neuf](https://movie.douban.com/subject/1291559/),🌟8.2,莱奥·卡拉克斯 / 朱丽叶·比诺什 / 德尼·拉旺 / 剧情 / 爱情 / 法国 / 1991,1991,France,Drama,[The Lovers on the Bridge](https://www.imdb.com/title/tt0101318/),🌟7.6
Deliverance,🎉606,🎉511,John Boorman,[生死狂澜 Deliverance](https://movie.douban.com/subject/1293561/),🌟7.5,约翰·布尔曼 / 强·沃特 / 伯特·雷诺兹 / 尼德·巴蒂 / 冒险 / 剧情 / 惊悚 / 美国 / 1972,1972,USA,Adventure-Thriller-Drama,[Deliverance](https://www.imdb.com/title/tt0068473/),🌟7.7
Full Metal Jacket,🎉607,🎉558,Stanley Kubrick,[全金属外壳 Full Metal Jacket](https://movie.douban.com/subject/1300055/),🌟8.6,斯坦利·库布里克 / 马修·莫迪恩 / 亚当·鲍德温 / 文森特·多诺费奥 / 剧情 / 战争 / 英国/美国 / 1987,1987,USA,War-Drama-Action,[Full Metal Jacket](https://www.imdb.com/title/tt0093058/),🌟8.3
Repulsion,🎉608,🎉428,Roman Polanski,[冷血惊魂 Repulsion](https://movie.douban.com/subject/1301647/),🌟7.7,罗曼·波兰斯基 / 凯瑟琳·德纳芙 / 伊恩·亨德里 / 约翰·弗拉瑟 / 剧情 / 惊悚 / 恐怖 / 英国 / 1965,1965,UK,Drama-Horror-Thriller,[Repulsion](https://www.imdb.com/title/tt0059646/),🌟7.6
Loves of a Blonde,🎉609,🎉643,Milos Forman,[金发女郎的爱情 Lásky jedné plavovlásky](https://movie.douban.com/subject/1303082/),🌟7.5,米洛斯·福尔曼 / 哈娜·布赖霍娃 / 乌拉迪米尔·布戳特 / 弗拉迪米尔·门西克 / 喜剧 / 爱情 / 剧情 / 捷克斯洛伐克 / 1965,1965,Czechoslovakia,Drama-Comedy,[A Blonde in Love](https://www.imdb.com/title/tt0059415/),🌟7.5
Terminator 2: Judgment Day,🎉610,🎉506,James Cameron,[终结者2：审判日 Terminator 2: Judgment Day](https://movie.douban.com/subject/1291844/),🌟8.8,詹姆斯·卡梅隆 / 阿诺·施瓦辛格 / 琳达·汉密尔顿 / 爱德华·福隆 / 动作 / 科幻 / 美国/法国 / 1991,1991,USA,Science Fiction-Action,[Terminator 2: Judgment Day](https://www.imdb.com/title/tt0103064/),🌟8.6
Grey Gardens,🎉611,🎉519,David/Albert Maysles/Ellen Hovde/Muffie Meyer Maysles,[灰色花园 Grey Gardens](https://movie.douban.com/subject/1419111/),🌟8.2,Ellen Hovde / 阿尔伯特·梅索斯 / 大卫·梅索斯 / Muffie Meyer / Edith Bouvier Beale / Edith 'Little Edie' Bouvier Beale / Brooks Hyers / 纪录片 / 美国 / 1975,1975,USA,Documentary-Comedy,[Grey Gardens](https://www.imdb.com/title/tt0073076/),🌟7.6
Halloween,🎉612,🎉417,John Carpenter,[月光光心慌慌 Halloween](https://movie.douban.com/subject/1299586/),🌟6.7,约翰·卡朋特 / 唐纳德·普利森斯 / 杰米·李·柯蒂斯 / 南希·凯斯 / 惊悚 / 恐怖 / 美国 / 1978,1978,USA,Horror-Thriller,[Halloween](https://www.imdb.com/title/tt0077651/),🌟7.7
Symbiopsychotaxiplasm: Take One,🎉613,🎉2337,William Greaves,[共生心理分类学：第1幕 Symbiopsychotaxiplasm: Take One](https://movie.douban.com/subject/1876327/),🌟7.3,威廉·格雷夫斯 / Patricia Ree Gilbert / Don Fellows / Bob Rosen / 纪录片 / 美国 / 1968,1968,USA,Documentary,[Symbiopsychotaxiplasm: Take One](https://www.imdb.com/title/tt0296881/),🌟7.2
My Friend Ivan Lapshin,🎉614,🎉516,Aleksey German,[我的朋友伊万·拉布辛 Мой друг Иван Лапшин](https://movie.douban.com/subject/2368633/),🌟7.0,阿列克谢·日尔曼 / 安德列·博尔特涅夫 / 尼娜·鲁斯拉诺娃 / 安德烈·米罗诺夫 / 剧情 / 苏联 / 1985,1985,USSR,Drama,[My Friend Ivan Lapshin](https://www.imdb.com/title/tt0084345/),🌟7.5
Children of Men,🎉615,🎉565,Alfonso Cuarón,[人类之子 Children of Men](https://movie.douban.com/subject/1478064/),🌟7.6,阿方索·卡隆 / 克里夫·欧文 / 朱丽安·摩尔 / 迈克尔·凯恩 / 剧情 / 科幻 / 冒险 / 灾难 / 美国/英国/日本 / 2006,2006,USA-UK,Drama-Science Fiction-Thriller,[Children of Men](https://www.imdb.com/title/tt0206634/),🌟7.9
Being There,🎉616,🎉637,Hal Ashby,[富贵逼人来 Being There](https://movie.douban.com/subject/1293256/),🌟8.1,哈尔·阿什贝 / 彼得·塞勒斯 / 雪莉·麦克雷恩 / 茂文·道格拉斯 / 剧情 / 喜剧 / 美国 / 1979,1979,USA,Drama-Comedy,[Being There](https://www.imdb.com/title/tt0078841/),🌟7.9
"Vitelloni, I",🎉617,🎉594,Federico Fellini,[浪荡儿 I vitelloni](https://movie.douban.com/subject/1300779/),🌟8.4,费德里科·费里尼 / 弗朗科·英特朗吉 / 阿尔贝托·索尔迪 / 佛朗哥·法布里齐 / 剧情 / 喜剧 / 意大利/法国 / 1953,1953,Italy,Drama,[I Vitelloni](https://www.imdb.com/title/tt0046521/),🌟7.8
"Long Day Closes, The",🎉618,🎉771,Terence Davies,[漫长的一天结束了 The Long Day Closes](https://movie.douban.com/subject/2042560/),🌟7.6,特伦斯·戴维斯 / 玛乔丽·耶茨 / Leigh McCormack / Anthony Watson / 传记 / 剧情 / 家庭 / 英国 / 1992,1992,UK,Drama,[The Long Day Closes](https://www.imdb.com/title/tt0104753/),🌟7.3
Jurassic Park,🎉619,🎉717,Steven Spielberg,[侏罗纪公园 Jurassic Park](https://movie.douban.com/subject/1292523/),🌟8.3,史蒂文·斯皮尔伯格 / 山姆·尼尔 / 劳拉·邓恩 / 杰夫·高布伦 / 科幻 / 惊悚 / 冒险 / 美国 / 1993,1993,USA,Science Fiction-Adventure-Action,[Jurassic Park](https://www.imdb.com/title/tt0107290/),🌟8.2
Hana-bi,🎉620,🎉589,Takeshi Kitano,[花火 HANA-BI](https://movie.douban.com/subject/1302642/),🌟8.7,北野武 / 北野武 / 岸本加世子 / 大杉涟 / 剧情 / 爱情 / 犯罪 / 惊悚 / 日本 / 1997,1997,Japan,Drama-Crime,[Fireworks](https://www.imdb.com/title/tt0119250/),🌟7.7
Pat Garrett and Billy the Kid,🎉621,🎉553,Sam Peckinpah,[比利小子 Pat Garrett & Billy the Kid](https://movie.douban.com/subject/1300027/),🌟7.9,萨姆·佩金帕 / 詹姆斯·柯本 / 克里斯·克里斯托佛森 / 理查德·杰克尔 / 剧情 / 历史 / 西部 / 美国 / 1973,1973,USA,Western,[Pat Garrett & Billy the Kid](https://www.imdb.com/title/tt0070518/),🌟7.2
Harakiri,🎉622,🎉707,Masaki Kobayashi,[切腹](https://movie.douban.com/subject/1304920/),🌟9.4,小林正树 / 仲代达矢 / 石浜朗 / 岩下志麻 / 剧情 / 动作 / 悬疑 / 日本 / 1962,1962,Japan,Drama-Action-History,[Harakiri](https://www.imdb.com/title/tt0056058/),🌟8.6
3 Women,🎉623,🎉895,Robert Altman,[三女性 3 Women](https://movie.douban.com/subject/1293599/),🌟8.0,罗伯特·奥特曼 / 谢莉·杜瓦尔 / 茜茜·斯派塞克 / 简妮丝·鲁尔 / 剧情 / 美国 / 1977,1977,USA,Drama,[3 Women](https://www.imdb.com/title/tt0075612/),🌟7.7
"Asphalt Jungle, The",🎉624,🎉600,John Huston,[夜阑人未静 The Asphalt Jungle](https://movie.douban.com/subject/1298894/),🌟7.8,约翰·休斯顿 / 斯特林·海登 / 路易斯·卡尔亨 / 简·哈根 / 犯罪 / 黑色电影 / 剧情 / 美国 / 1950,1950,USA,Thriller-Crime,[The Asphalt Jungle](https://www.imdb.com/title/tt0042208/),🌟7.8
Amélie,🎉625,🎉494,Jean-Pierre Jeunet,[天使爱美丽 Le fabuleux destin d'Amélie Poulain](https://movie.douban.com/subject/1292215/),🌟8.7,让-皮埃尔·热内 / 奥黛丽·塔图 / 马修·卡索维茨 / 吕菲斯 / 剧情 / 喜剧 / 爱情 / 法国/德国 / 2001,2001,France-Germany,Romance-Comedy,[Amélie](https://www.imdb.com/title/tt0211915/),🌟8.3
Don't Look Back,🎉626,🎉436,D.A. Pennebaker,[别回头 Dont Look Back](https://movie.douban.com/subject/1305223/),🌟8.6,彭尼贝克 / 鲍勃·迪伦 / Albert Grossman / Bob Neuwirth / 纪录片 / 音乐 / 美国 / 1967,1967,USA,Documentary-Music,[Bob Dylan: Dont Look Back](https://www.imdb.com/title/tt0061589/),🌟7.9
Bande à part,🎉627,🎉588,Jean-Luc Godard,[法外之徒 Bande à part](https://movie.douban.com/subject/1401588/),🌟8.6,让-吕克·戈达尔 / 安娜·卡里娜 / 达妮埃尔·吉拉尔 / 路易莎·科尔佩恩 / 犯罪 / 剧情 / 法国 / 1964,1964,France,Crime-Drama-Romance,[Band of Outsiders](https://www.imdb.com/title/tt0057869/),🌟7.6
Hour of the Wolf,🎉628,🎉490,Ingmar Bergman,[豺狼时刻 Vargtimmen](https://movie.douban.com/subject/1301151/),🌟8.1,英格玛·伯格曼 / 马克斯·冯·叙多夫 / 丽芙·乌曼 / 耶特鲁德·弗里德 / 剧情 / 恐怖 / 瑞典 / 1968,1968,Sweden,Horror-Drama,[Hour of the Wolf](https://www.imdb.com/title/tt0063759/),🌟7.5
Shadows,🎉629,🎉483,John Cassavetes,[影子 Shadows](https://movie.douban.com/subject/1295167/),🌟7.7,约翰·卡萨维蒂 / 本·卡鲁瑟斯 / 莱丽亚·古多尼 / 休·赫德 / 剧情 / 美国 / 1958,1959,USA,Drama,[Shadows](https://www.imdb.com/title/tt0053270/),🌟7.2
"Dr. Mabuse, the Gambler",🎉630,🎉661,Fritz Lang,"[玩家马布斯博士 Dr. Mabuse, der Spieler](https://movie.douban.com/subject/1306016/)",🌟8.6,弗里茨·朗 / 鲁道夫·克莱恩-鲁格 / 艾于德·埃格德·尼森 / 格特鲁德·韦尔克 / 犯罪 / 悬疑 / 惊悚 / 德国 / 1922,1922,Germany,Thriller-Mystery-Crime,"[Dr. Mabuse, the Gambler](https://www.imdb.com/title/tt0013086/)",🌟7.8
"Golden Coach, The",🎉631,🎉673,Jean Renoir,[黄金马车 Le carrosse d'or](https://movie.douban.com/subject/1294642/),🌟6.9,让·雷诺阿 / 安娜·马尼亚尼 / 奥多阿尔多·斯帕达罗 / 娜达·菲奥雷利 / 喜剧 / 剧情 / 爱情 / 法国/意大利 / 1952,1952,Italy-France,Drama-Comedy-Romance,[The Golden Coach](https://www.imdb.com/title/tt0044487/),🌟7
Tootsie,🎉632,🎉515,Sydney Pollack,[窈窕淑男 Tootsie](https://movie.douban.com/subject/1297737/),🌟8.1,西德尼·波拉克 / 达斯汀·霍夫曼 / 杰西卡·兰格 / 特瑞·加尔 / 喜剧 / 爱情 / 美国 / 1982,1982,USA,Comedy-Romance,[Tootsie](https://www.imdb.com/title/tt0084805/),🌟7.4
Portrait of Jason,🎉633,🎉778,Shirley Clarke,[杰森的画像 Portrait of Jason](https://movie.douban.com/subject/1434175/),🌟7.7,雪莉·克拉克 / Shirley Clarke / Jason Holliday / 纪录片 / 美国 / 1967,1967,USA,Documentary-Biography,[Portrait of Jason](https://www.imdb.com/title/tt0062144/),🌟7.1
"Ladies Man, The",🎉634,🎉752,Jerry Lewis,[猎艳高手 The Ladies Man](https://movie.douban.com/subject/1855300/),🌟6.9,杰瑞·刘易斯 / 杰瑞·刘易斯 / 海伦·特劳贝尔 / 帕特·斯坦利 / 喜剧 / 美国 / 1961,1961,USA,Comedy,[The Ladies Man](https://www.imdb.com/title/tt0055069/),🌟6.3
"Synecdoche, New York",🎉635,🎉666,Charlie Kaufman,"[纽约提喻法 Synecdoche, New York](https://movie.douban.com/subject/2028819/)",🌟8.3,查理·考夫曼 / 菲利普·塞默·霍夫曼 / 凯瑟琳·基纳 / 莎迪·高德斯坦 / 剧情 / 美国 / 2008,2008,USA,Drama,"[Synecdoche, New York](https://www.imdb.com/title/tt0383028/)",🌟7.5
Walkabout,🎉636,🎉716,Nicolas Roeg,[小姐弟荒原历险 Walkabout](https://movie.douban.com/subject/1295835/),🌟7.8,尼古拉斯·罗伊格 / 珍妮·艾加特 / 卢克·罗伊格 / 大卫·古皮利 / 剧情 / 冒险 / 英国/澳大利亚 / 1971,1971,Australia,Drama-Adventure,[Walkabout](https://www.imdb.com/title/tt0067959/),🌟7.6
"Dark Knight, The",🎉637,🎉570,Christopher Nolan,[蝙蝠侠：黑暗骑士 The Dark Knight](https://movie.douban.com/subject/1851857/),🌟9.2,克里斯托弗·诺兰 / 克里斯蒂安·贝尔 / 希斯·莱杰 / 艾伦·艾克哈特 / 剧情 / 动作 / 科幻 / 犯罪 / 惊悚 / 美国/英国 / 2008,2008,USA-UK,Action-Crime-Thriller,[The Dark Knight](https://www.imdb.com/title/tt0468569/),🌟9
Xala,🎉638,🎉714,Ousmane Sembene,[哈拉 Xala](https://movie.douban.com/subject/1962586/),🌟7.0,乌斯曼·塞姆班 / Thierno Leye / Myriam Niang / Seune Samb / 喜剧 / 塞内加尔 / 1975,1975,Senegal,Comedy-Drama,[Xala](https://www.imdb.com/title/tt0073915/),🌟6.7
"Virgin Spring, The",🎉639,🎉668,Ingmar Bergman,[处女泉 Jungfrukällan](https://movie.douban.com/subject/1293156/),🌟8.6,英格玛·伯格曼 / 马克斯·冯·叙多夫 / 贝吉塔·瓦尔堡 / 古内尔·林德布洛姆 / 犯罪 / 剧情 / 瑞典 / 1960,1960,Sweden,Drama,[The Virgin Spring](https://www.imdb.com/title/tt0053976/),🌟8.1
Alphaville,🎉640,🎉526,Jean-Luc Godard,"[阿尔法城 Alphaville, une étrange aventure de Lemmy Caution](https://movie.douban.com/subject/1316524/)",🌟7.8,让-吕克·戈达尔 / 埃迪·康斯坦丁 / 安娜·卡里娜 / 阿基姆·坦米罗夫 / 剧情 / 科幻 / 悬疑 / 法国/意大利 / 1965,1965,France,Science Fiction-Mystery-Drama,[Alphaville](https://www.imdb.com/title/tt0058898/),🌟7
