Index,排名,日本映画,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区,备注,（空白）,排名,外国映画,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,主演,类型,地区,desc,title
175, ,海と毒薬(86),海与毒药 海と毒薬,1986,[1308538](https://movie.douban.com/subject/1308538/),8.2,熊井启,剧情 / 战争,日本,106位 海と毒薬(86), , ,ロッキー（76）,美国朋友 Der amerikanische Freund,1977,[1297511](https://movie.douban.com/subject/1297511/),7.6,维姆·文德斯,丹尼斯·霍珀 / 布鲁诺·冈茨 / 尼古拉斯·雷,犯罪 / 悬疑 / 惊悚 / 剧情,西德/法国,99位アメリカの友人（77）, 
176, ,その男、凶暴につき（89）,凶暴的男人 その男、凶暴につき,1989,[1293995](https://movie.douban.com/subject/1293995/),7.9,北野武,剧情 / 动作 / 犯罪 / 惊悚,日本,106位 その男、凶暴につき（89）, , ,アメリカの友人（77）,驱魔人II Exorcist II: The Heretic,1977,[1295764](https://movie.douban.com/subject/1295764/),5.5,约翰·布尔曼,琳达·布莱尔 / 理查德·伯顿 / 路易丝·弗莱彻,恐怖 / 悬疑 / 惊悚,美国,99位エクソシスト２（77）, 
177, ,死の棘（90）,死之棘 死の棘,1990,[1401175](https://movie.douban.com/subject/1401175/),7.8,小栗康平,剧情,日本,106位 死の棘（90）, , ,エクソシスト２（77）,摩羯星一号 Capricorn One,1978,[1298400](https://movie.douban.com/subject/1298400/),7.4,彼得·海姆斯,埃利奥特·古尔德 / 詹姆斯·布洛林 / 萨姆·沃特森,剧情 / 科幻 / 惊悚,美国/英国,99位カプリコン・１（77）, 
178, ,あの夏、いちばん静かな海。（91）,那年夏天，宁静的海 あの夏、いちばん静かな海。,1991,[1295815](https://movie.douban.com/subject/1295815/),8.6,北野武,剧情 / 喜剧 / 爱情,日本,106位 あの夏、いちばん静かな海。（91）, , ,カプリコン・１（77）,寻找顾巴先生 Looking for Mr. Goodbar,1977,[1292608](https://movie.douban.com/subject/1292608/),7.2,Richard Brooks,黛安·基顿 / 塔斯黛·韦尔德 / 威廉·阿瑟东,剧情,美国,99位ミスター・グッドバーを探して（77）, 
179, ,青春デンデケデケデケ（92）,青春摇滚 青春デンデケデケデケ,1992,[1548785](https://movie.douban.com/subject/1548785/),8,大林宣彦,喜剧,日本,106位 青春デンデケデケデケ（92）, , ,ミスター・グッドバーを探して（77）,午夜快车 Midnight Express,1978,[1296827](https://movie.douban.com/subject/1296827/),7.6,艾伦·帕克,布拉德·戴维斯 / 艾琳·米拉科 / 博·霍普金斯,传记 / 犯罪 / 剧情 / 惊悚,英国/美国,99位ミッドナイト・エクスプレス（78）, 
180, ,鉄男Ⅱ／BODY HAMMER（92）,铁男2：血肉横飞 鉄男II BODY HAMMER,1992,[1304063](https://movie.douban.com/subject/1304063/),6.3,冢本晋也,科幻 / 剧情 / 恐怖,日本,106位 鉄男Ⅱ／BODY HAMMER（92）, , ,ミッドナイト・エクスプレス（78）,最后华尔兹 The Last Waltz,1978,[1306025](https://movie.douban.com/subject/1306025/),8.5,马丁·斯科塞斯,The Band / Rick Danko / 列翁·赫尔姆,纪录片 / 音乐,美国,99位ラスト・ワルツ（78）, 
181, ,月はどっちに出ている（93）,月出何方 月はどっちに出ている,1993,[1303319](https://movie.douban.com/subject/1303319/),7.3,崔洋一,剧情,日本,106位 月はどっちに出ている（93）, , ,ラスト・ワルツ（78）,克莱默夫妇 Kramer vs. Kramer,1979,[1300685](https://movie.douban.com/subject/1300685/),8.5,罗伯特·本顿,达斯汀·霍夫曼 / 梅丽尔·斯特里普 / 简·亚历山大,剧情 / 家庭,美国,99位クレイマー、クレイマー（79）, 
182, ,Shall　we　ダンス？（96）,谈谈情跳跳舞 Shall we ダンス?,1996,[1308010](https://movie.douban.com/subject/1308010/),8.2,周防正行,剧情 / 喜剧 / 爱情 / 歌舞,日本,106位 Shall we ダンス？（96）, , ,クレイマー、クレイマー（79）,四重人格 Quadrophenia,1979,[1452648](https://movie.douban.com/subject/1452648/),7.9,弗兰克·罗达姆,菲尔·丹尼尔斯 / 莱斯利·艾什 / 斯汀,犯罪 / 剧情 / 音乐,英国,99位さらば青春の光（79）, 
183, ,トキワ荘の青春（96）,常磐庄的青春 トキワ荘の青春,1996,[2321794](https://movie.douban.com/subject/2321794/),7.6,市川准,剧情,日本,106位 トキワ荘の青春（96）, , ,さらば青春の光（79）,福禄双霸天 The Blues Brothers,1980,[1297200](https://movie.douban.com/subject/1297200/),8.2,约翰·兰迪斯,约翰·贝鲁西 / 丹·艾克罗伊德 / 詹姆斯·布朗,喜剧 / 动作 / 犯罪 / 音乐,美国,99位ブルース・ブラザース（80）, 
184, ,学校III（98）,学校3 学校 III,1998,[3440508](https://movie.douban.com/subject/3440508/),7.9,山田洋次,剧情,日本,106位 学校III（98）, , ,ブルース・ブラザース（80）,加州玩偶 ...All the Marbles,1981,[3432298](https://movie.douban.com/subject/3432298/), ,罗伯特·奥尔德里奇,彼得·法尔克 / Vicki Frederick / 劳伦妮·兰登,动作 / 剧情 / 喜剧 / 爱情,美国,99位カリフォルニア・ドールズ（81）, 
185, ,顔(00),颜 顔,2000,[1306044](https://movie.douban.com/subject/1306044/),8,阪本顺治,喜剧 / 剧情,日本,106位 顔(00), , ,カリフォルニア・ドールズ（81）,E.T.外星人 E.T. the Extra-Terrestrial,1982,[1294638](https://movie.douban.com/subject/1294638/),8.6,史蒂文·斯皮尔伯格,亨利·托马斯 / 迪·沃伦斯 / 罗伯特·麦克纳夫顿,剧情 / 科幻,美国,99位Ｅ．Ｔ．（82）, 
186, ,風花（01）,风花 風花,2000,[1394535](https://movie.douban.com/subject/1394535/),7.2,相米慎二,剧情,日本,106位 風花（01）, , ,Ｅ．Ｔ．（82）,芬妮与亚历山大 Fanny och Alexander,1982,[1292784](https://movie.douban.com/subject/1292784/),8.7,英格玛·伯格曼,克里斯蒂娜·阿道夫森 / 伯杰·阿斯特 / 佩妮娜·奥威,剧情,法国/瑞典/西德,99位ファニーとアレクサンデル（82）, 
187, ,スウィングガールズ（04）,摇摆少女 スウィングガールズ,2004,[1361254](https://movie.douban.com/subject/1361254/),8.4,矢口史靖,剧情 / 喜剧 / 音乐,日本,106位 スウィングガールズ（04）, , ,ファニーとアレクサンデル（82）,A计划 A計劃,1983,[1297909](https://movie.douban.com/subject/1297909/),8.2,成龙,成龙 / 洪金宝 / 元彪,动作 / 喜剧,中国香港,99位プロジェクトA（83）, 
188, ,誰も知らない（04）,无人知晓 誰も知らない,2004,[1292337](https://movie.douban.com/subject/1292337/),9.1,是枝裕和,剧情,日本,106位 誰も知らない（04）, , ,プロジェクトA（83）,莫扎特传 Amadeus,1984,[1293399](https://movie.douban.com/subject/1293399/),8.7,米洛斯·福尔曼,F·默里·亚伯拉罕 / 汤姆·休斯克 / 伊丽莎白·贝里奇,剧情 / 传记 / 历史 / 音乐,美国/法国/捷克斯洛伐克/意大利,99位アマデウス（84）, 
189, ,理由（04）,理由,2004,[1906931](https://movie.douban.com/subject/1906931/),6.6,大林宣彦,剧情 / 悬疑,日本,106位 理由（04）, , ,アマデウス（84）,开罗紫玫瑰 The Purple Rose of Cairo,1985,[1292994](https://movie.douban.com/subject/1292994/),8.8,伍迪·艾伦,米娅·法罗 / 杰夫·丹尼尔斯 / 丹尼·爱罗,喜剧 / 爱情 / 奇幻,美国,99位カイロの紫のバラ（85）, 
190, ,パッチギ！（05）,无敌青春 パッチギ！,2004,[1779098](https://movie.douban.com/subject/1779098/),7.8,井筒和幸,动作 / 喜剧 / 剧情 / 爱情,日本,106位 パッチギ！（05）, , ,カイロの紫のバラ（85）,蜘蛛女之吻 Kiss of the Spider Woman,1985,[1299879](https://movie.douban.com/subject/1299879/),8.2,海科特·巴班克,威廉·赫特 / 劳尔·胡里亚 / 索尼娅·布拉加,剧情 / 同性,美国/巴西,99位蜘蛛女のキス（85）, 
191, ,カミュなんて知らない（06）,谁是加缪 カミュなんて知らない,2006,[1485354](https://movie.douban.com/subject/1485354/),7.7,柳町光男,剧情,日本,106位 カミュなんて知らない（06）, , ,蜘蛛女のキス（85）,妙想天开 Brazil,1985,[1293823](https://movie.douban.com/subject/1293823/),8.1,特瑞·吉列姆,乔纳森·普雷斯 / 罗伯特·德尼罗 / 凯瑟琳·海蒙德,剧情 / 科幻,英国/美国,99位未来世紀ブラジル（85）, 
192, ,嫌われ松子の一生（06）,被嫌弃的松子的一生 嫌われ松子の一生,2006,[1787291](https://movie.douban.com/subject/1787291/),8.9,中岛哲也,剧情 / 歌舞,日本,106位 嫌われ松子の一生（06）, , ,未来世紀ブラジル（85）,异形2 Aliens,1986,[1293792](https://movie.douban.com/subject/1293792/),8.1,詹姆斯·卡梅隆,西格妮·韦弗 / 凯莉·赫恩 / 迈克尔·比恩,动作 / 科幻 / 惊悚 / 冒险,美国,99位エイリアン２（86）, 
193, ,フラガール（06）,扶桑花女孩 フラガール,2006,[1788940](https://movie.douban.com/subject/1788940/),8.1,李相日,喜剧 / 剧情,日本,106位 フラガール（06）, , ,エイリアン２（86）,英雄本色,1986,[1297574](https://movie.douban.com/subject/1297574/),8.6,吴宇森,周润发 / 狄龙 / 张国荣,剧情 / 动作 / 犯罪,中国香港,99位男たちの挽歌（86）, 
194, ,雪に願うこと（06）,向雪祈祷 雪に願うこと,2005,[1789461](https://movie.douban.com/subject/1789461/),7.1,根岸吉太郎,剧情,日本,106位 雪に願うこと（06）, , ,男たちの挽歌（86）,月色撩人 Moonstruck,1987,[1292869](https://movie.douban.com/subject/1292869/),7.5,诺曼·杰威森,雪儿 / 尼古拉斯·凯奇 / 文森特·加迪尼亚,喜剧 / 爱情 / 剧情,美国,99位月の輝く夜に（87）, 
195, ,おくりびと（08）,入殓师 おくりびと,2008,[2149806](https://movie.douban.com/subject/2149806/),8.9,泷田洋二郎,剧情,日本,106位 おくりびと（08）, , ,月の輝く夜に（87）,何处是我朋友的家 خانه دوست کجاست؟‎,1987,[1301897](https://movie.douban.com/subject/1301897/),8.9,阿巴斯·基亚罗斯塔米,巴比·艾哈迈德·波 / 艾哈迈德·艾哈迈德·波 / 科达·巴和·迪范,剧情,伊朗,99位友だちのうちはどこ？（87）, 
196, ,ぐるりのこと。（08）,周围的事 ぐるりのこと。,2008,[3105588](https://movie.douban.com/subject/3105588/),8.3,桥口亮辅,剧情 / 家庭,日本,106位 ぐるりのこと。（08）, , ,友だちのうちはどこ？（87）,长大 Big,1988,[1293212](https://movie.douban.com/subject/1293212/),8.1,潘妮·马歇尔,汤姆·汉克斯 / 伊丽莎白·帕金斯 / 罗伯特·劳吉亚,喜剧 / 爱情 / 奇幻,美国,99位ビッグ（88）, 
197, ,闇の子供たち（08）,黑暗中的孩子们 闇の子供たち,2008,[3045044](https://movie.douban.com/subject/3045044/),7.7,阪本顺治,剧情 / 犯罪 / 惊悚,日本,106位 闇の子供たち（08）, , ,ビッグ（88）,于是有了光 Et la lumière fut,1989,[1761004](https://movie.douban.com/subject/1761004/),7.2,奥塔·埃索里亚尼,Sigalon Sagna / Saly Badji / Binta Cissé,喜剧 / 剧情,法国/西德/意大利,99位そして光ありき（89）, 
198, , , , , , , , , , , , ,そして光ありき（89）,血 O Sangue,1989,[1829858](https://movie.douban.com/subject/1829858/),7.1,佩德罗·科斯塔,Pedro Hestnes / Nuno Ferreira / 伊内斯·德梅代罗斯,剧情 / 悬疑,葡萄牙,99位血（89）, 
199, , , , , , , , , , , , ,血（89）,天堂电影院 Nuovo Cinema Paradiso,1988,[1291828](https://movie.douban.com/subject/1291828/),9.2,朱塞佩·托纳多雷,菲利普·努瓦雷 / 萨瓦特利·卡西欧 / 雅克·贝汉,剧情 / 爱情,意大利/法国,99位ニュー・シネマ・パラダイス（89）, 
200, , , , , , , , , , , , ,ニュー・シネマ・パラダイス（89）,教父3 The Godfather: Part III,1990,[1294240](https://movie.douban.com/subject/1294240/),9,弗朗西斯·福特·科波拉,阿尔·帕西诺 / 黛安·基顿 / 塔莉娅·夏尔,剧情 / 犯罪,美国,99位ゴッドファーザーＰＡＲＴIII（90）, 
201, , , , , , , , , , , , ,欲望の翼（90）,阿飞正传 阿飛正傳,1990,[1305690](https://movie.douban.com/subject/1305690/),8.5,王家卫,张国荣 / 张曼玉 / 刘嘉玲,犯罪 / 剧情 / 爱情,中国香港,99位欲望の翼（90）, 
202, , , , , , , , , , , , ,ザ・コミットメンツ（91）,追梦者 The Commitments,1991,[1292579](https://movie.douban.com/subject/1292579/),8.2,艾伦·帕克,Robert Arkins / Michael Aherne / Angeline Ball,喜剧 / 剧情 / 音乐,爱尔兰/英国/美国,99位ザ・コミットメンツ（91）, 
203, , , , , , , , , , , , ,羊たちの沈黙（91）,沉默的羔羊 The Silence of the Lambs,1991,[1293544](https://movie.douban.com/subject/1293544/),8.9,乔纳森·戴米,朱迪·福斯特 / 安东尼·霍普金斯 / 斯科特·格伦,剧情 / 犯罪 / 惊悚,美国,99位羊たちの沈黙（91）, 
204, , , , , , , , , , , , ,ハード・ボイルド 新・男たちの挽歌（92）,辣手神探,1992,[1293147](https://movie.douban.com/subject/1293147/),7.9,吴宇森,周润发 / 梁朝伟 / 毛舜筠,动作 / 犯罪 / 剧情 / 惊悚,中国香港,99位ハード・ボイルド 新・男たちの挽歌（92）, 
205, , , , , , , , , , , , ,許されざる者（92）,不可饶恕 Unforgiven,1992,[1293566](https://movie.douban.com/subject/1293566/),8.5,克林特·伊斯特伍德,克林特·伊斯特伍德 / 吉恩·哈克曼 / 摩根·弗里曼,剧情 / 西部,美国,99位許されざる者（92）, 
206, , , , , , , , , , , , ,さらば、わが愛　覇王別姫（93）,霸王别姬,1993,[1291546](https://movie.douban.com/subject/1291546/),9.6,陈凯歌,张国荣 / 张丰毅 / 巩俐,剧情 / 爱情 / 同性,中国大陆/中国香港,99位さらば、わが愛 覇王別姫（93）, 
207, , , , , , , , , , , , ,ショート・カッツ（93）,银色·性·男女 Short Cuts,1993,[1297833](https://movie.douban.com/subject/1297833/),8,罗伯特·奥特曼,安迪·麦克道威尔 / 布鲁斯·戴维森 / 朱丽安·摩尔,喜剧 / 剧情,美国,99位ショート・カッツ（93）, 
208, , , , , , , , , , , , ,乙女の祈り（94）,罪孽天使 Heavenly Creatures,1994,[1301716](https://movie.douban.com/subject/1301716/),7.2,彼得·杰克逊,梅兰妮·林斯基 / 凯特·温丝莱特 / Sarah Peirse,剧情 / 犯罪 / 奇幻 / 惊悚 / 同性,新西兰/德国,99位乙女の祈り（94）, 
209, , , , , , , , , , , , ,パルプ・フィクション（94）,低俗小说 Pulp Fiction,1994,[1291832](https://movie.douban.com/subject/1291832/),8.9,昆汀·塔伦蒂诺,约翰·特拉沃尔塔 / 乌玛·瑟曼 / 阿曼达·普拉莫,剧情 / 喜剧 / 犯罪,美国,99位パルプ・フィクション（94）, 
210, , , , , , , , , , , , ,スモーク（95）,烟 Smoke,1995,[1301594](https://movie.douban.com/subject/1301594/),8.1,王颖,吉安卡罗·埃斯波西托 / 何塞·祖尼加 / 斯蒂芬·格维顿,剧情 / 喜剧,德国/日本/美国,99位スモーク（95）, 
211, , , , , , , , , , , , ,セブン（95）,七宗罪 Se7en,1995,[1292223](https://movie.douban.com/subject/1292223/),8.8,大卫·芬奇,摩根·弗里曼 / 布拉德·皮特 / 凯文·史派西,剧情 / 犯罪 / 悬疑 / 惊悚,美国,99位セブン（95）, 
212, , , , , , , , , , , , ,熱帯魚（95）,热带鱼 熱帶魚,1995,[1302181](https://movie.douban.com/subject/1302181/),8.7,陈玉勋,林嘉宏 / 文英 / 林正盛,喜剧 / 剧情,中国台湾,99位熱帯魚（95）, 
213, , , , , , , , , , , , ,ペパーミント・キャンディー（99）,薄荷糖 박하사탕,1999,[1303145](https://movie.douban.com/subject/1303145/),8.6,李沧东,薛景求 / 文素丽 / 金汝珍,剧情,韩国/日本,99位ペパーミント・キャンディー（99）, 
214, , , , , , , , , , , , ,マグノリア（99）,木兰花 Magnolia,1999,[1293564](https://movie.douban.com/subject/1293564/),8.2,保罗·托马斯·安德森,朱丽安·摩尔 / 威廉姆·H·梅西 / 约翰·C·赖利,剧情,美国,99位マグノリア（99）, 
215, , , , , , , , , , , , ,魚と寝る女（00）, , , , , , , , , , 
216, , , , , , , , , , , , ,花様年華（00）,花样年华 花樣年華,2000,[1291557](https://movie.douban.com/subject/1291557/),8.8,王家卫,梁朝伟 / 张曼玉 / 潘迪华,剧情 / 爱情,中国香港,99位花様年華（00）, 
217, , , , , , , , , , , , ,子猫をお願い（01）,猫样少女 고양이를 부탁해,2001,[1300031](https://movie.douban.com/subject/1300031/),7.4,郑在恩,裴斗娜 / 李枖原 / 玉智英,剧情,韩国,99位子猫をお願い（01）, 
218, , , , , , , , , , , , ,マルホランド・ドライブ（01）,穆赫兰道 Mulholland Dr.,2001,[1292217](https://movie.douban.com/subject/1292217/),8.4,大卫·林奇,娜奥米·沃茨 / 劳拉·哈灵 / 安·米勒,剧情 / 悬疑 / 惊悚,法国/美国,99位マルホランド・ドライブ（01）, 
219, , , , , , , , , , , , ,悪い男（01）, , , , , , , , , , 
220, , , , , , , , , , , , ,ドッグヴィル（03）,狗镇 Dogville,2003,[1298759](https://movie.douban.com/subject/1298759/),8.4,拉斯·冯·提尔,妮可·基德曼 / 哈里特·安德森 / 劳伦·白考尔,剧情 / 悬疑 / 惊悚,丹麦/瑞典/挪威/芬兰/英国/法国/德国/荷兰/意大利,99位ドッグヴィル（03）, 
221, , , , , , , , , , , , ,楽日（03）,不散,2003,[1304862](https://movie.douban.com/subject/1304862/),7.8,蔡明亮,李康生 / 杨贵媚 / 石隽,剧情,中国台湾,99位楽日（03）, 
222, , , , , , , , , , , , ,父親たちの星条旗（06）,父辈的旗帜 Flags of Our Fathers,2006,[1478066](https://movie.douban.com/subject/1478066/),7.8,克林特·伊斯特伍德,瑞恩·菲利普 / 杰西·布拉德福特 / 亚当·比奇,剧情 / 历史 / 战争,美国,99位父親たちの星条旗（06）, 
223, , , , , , , , , , , , ,ノーカントリー（07）,老无所依 No Country for Old Men,2007,[1857099](https://movie.douban.com/subject/1857099/),8.3,伊桑·科恩 / 乔尔·科恩,汤米·李·琼斯 / 哈维尔·巴登 / 乔什·布洛林,犯罪 / 剧情 / 惊悚,美国,99位ノーカントリー（07）, 
224, , , , , , , , , , , , ,母なる証明（09）,母亲 마더,2009,[3036460](https://movie.douban.com/subject/3036460/),8.3,奉俊昊,金惠子 / 元斌 / 晋久,剧情 / 犯罪 / 悬疑 / 惊悚,韩国,99位母なる証明（09）, 
