Index,Group 分榜,Rank 排名,Title 电影,Score 打分,Region 地区,Genre 类型,Staff 人员
91,豆瓣2019评分最高LGBT片,4,女孩,8.10,比利时 荷兰, ,卢卡斯·德霍特 / 维克托·波尔斯特 / 阿里耶·沃索尔特
92,豆瓣2019评分最高LGBT片,5,金发男子,7.90,阿根廷, ,马可·伯格 / 加斯顿·雷 / 阿方索·巴伦
93,豆瓣2019评分最高LGBT片,6,伊莉莎与玛瑟拉,8.50,西班牙, ,伊莎贝尔·科赛特 / 纳塔利娅·德·莫利纳 / 格蕾塔·费尔南德斯
94,豆瓣2019评分最高LGBT片,7,1985,8.10,美国, ,陈俊彦 / 科里·迈克尔·史密斯 / 维吉妮娅·马德森
95,豆瓣2019评分最高LGBT片,8,宠儿,7.50,爱尔兰 英国 美国, ,欧格斯·兰斯莫斯 / 奥利维娅·科尔曼 / 艾玛·斯通
96,豆瓣2019评分最高LGBT片,9,被抹去的男孩,7.40,澳大利亚 美国, ,乔尔·埃哲顿 / 卢卡斯·赫奇斯 / 妮可·基德曼
97,豆瓣2019评分最高LGBT片,10,告诉蜜蜂,7.60,英国, ,安娜贝尔·杨科尔 / 安娜·帕奎因 / 荷丽黛·格兰杰
98, , , , , , , 
99,豆瓣2019评分最高动画片,1,哪吒之魔童降世,8.40,中国大陆, ,饺子 / 吕艳婷 / 囧森瑟夫
100,豆瓣2019评分最高动画片,2,蜘蛛侠：平行宇宙,8.60,美国, ,鲍勃·佩尔西凯蒂 / 沙梅克·摩尔 / 杰克·约翰逊
101,豆瓣2019评分最高动画片,3,玩具总动员4,8.50,美国, ,乔什·库雷 / 汤姆·汉克斯 / 蒂姆·艾伦
102,豆瓣2019评分最高动画片,4,罗小黑战记,8.00,中国大陆, ,木头 / 山新 / 郝祥海
103,豆瓣2019评分最高动画片,5,盗梦特攻队,8.30,匈牙利, ,米洛拉德·科斯蒂奇 / 伊万·卡马拉斯 / 加布里瑞拉·哈默里
104,豆瓣2019评分最高动画片,6,白蛇：缘起,7.80,中国大陆 美国, ,黄家康 / 张喆 / 杨天翔
105,豆瓣2019评分最高动画片,7,夏目友人帐,8.00,日本, ,大森贵弘 / 神谷浩史 / 井上和彦
106,豆瓣2019评分最高动画片,8,航海王：狂热行动,7.50,日本, ,大塚隆史 / 田中真弓 / 冈村明美
107,豆瓣2019评分最高动画片,9,企鹅公路,7.60,日本, ,石田祐康 / 北香那 / 苍井优
108,豆瓣2019评分最高动画片,10,狮子王,7.20,美国, ,乔恩·费儒 / 唐纳德·格洛弗 / 阿尔法·伍达德
109, , , , , , , 
110,豆瓣2019评分最高纪录片,1,人生七年9,9.60,英国, ,迈克尔·艾普特 / Tony Walker / Charles Furneaux
111,豆瓣2019评分最高纪录片,2,阿涅斯论瓦尔达,9.20,法国, ,阿涅斯·瓦尔达 / 阿涅斯·瓦尔达 / 桑德里娜·博内尔
112,豆瓣2019评分最高纪录片,3,最大的小小农场,9.30,美国, ,约翰·切斯特 / 约翰·切斯特 / 茉莉·切斯特
113,豆瓣2019评分最高纪录片,4,徒手攀岩,8.80,美国, ,伊丽莎白·柴·瓦沙瑞莉 / 亚历克斯·霍诺德 / 汤米·考德威尔
114,豆瓣2019评分最高纪录片,5,四个春天,8.80,中国大陆, ,陆庆屹 / 陆运坤 / 李桂贤
115,豆瓣2019评分最高纪录片,6,黎明墙,9.30,奥地利 美国, ,乔希·罗威尔 / 约翰·布兰奇 / 汤米·考德威尔
116,豆瓣2019评分最高纪录片,7,他们已不再变老,8.70,英国 新西兰, ,彼得·杰克逊
117,豆瓣2019评分最高纪录片,8,坂本龙一：终曲,8.60,日本 美国, ,史蒂芬·野村·斯奇博 / 坂本龙一
118,豆瓣2019评分最高纪录片,9,阿波罗11号,8.80,美国, ,托德·道格拉斯·米勒 / 尼尔·阿姆斯特朗 / 迈克尔·柯林斯
119,豆瓣2019评分最高纪录片,10,美国工厂,8.40,美国, ,史蒂文·博格纳尔 / 曹德旺 / 王河
120, , , , , , , 
121,豆瓣2019评分最高短片,1,肤色,8.50,美国, ,盖·纳蒂弗 / 乔纳森·塔克 / 杰克逊·罗伯特·斯科特
122,豆瓣2019评分最高短片,2,舍与得,8.60,澳大利亚, ,安德鲁·戈德史密斯
123,豆瓣2019评分最高短片,3,大唐漠北的最后一次转账,8.10,中国大陆, ,丁雨晨 / 葛四 / 周波
124,豆瓣2019评分最高短片,4,小野猫与斗牛犬,8.30,美国, ,罗莎娜·沙利文
125,豆瓣2019评分最高短片,5,灵魂,8.30,英国, ,保罗·托马斯·安德森 / 汤姆·约克 / 达雅娜·罗西奥内
126,豆瓣2019评分最高短片,6,兔耳袋狸,8.50,美国, ,彼埃尔·佩里菲尔 / 迪·布拉雷·贝克尔 / 戴维·P·史密斯
127,豆瓣2019评分最高短片,7,我们一家人,7.50,中国大陆 美国, ,吴皓
128,豆瓣2019评分最高短片,8,周末,8.10,美国, ,特雷弗·希门尼斯
129,豆瓣2019评分最高短片,9,我和吸铁石和一个死去的朋友,7.90,中国大陆, ,刘毛宁
130,豆瓣2019评分最高短片,10,午后时光,8.00,爱尔兰, ,露易丝·巴格诺尔 / 菲奥纽拉·弗拉纳根 / Niamh Moyles
131, , , , , , , 
132,豆瓣2019最受关注院线电影,1,流浪地球,7.90,中国大陆, ,郭帆 / 吴京 / 屈楚萧
133,豆瓣2019最受关注院线电影,2,哪吒之魔童降世,8.40,中国大陆, ,饺子 / 吕艳婷 / 囧森瑟夫
134,豆瓣2019最受关注院线电影,3,绿皮书,8.90,美国 中国大陆, ,彼得·法雷里 / 维果·莫腾森 / 马赫沙拉·阿里
