index,排名,日本-电影名,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区,（空白）,排名,外国-电影名,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区
52,49,近松物語（溝口健二 / 《近松物语》（沟口健二，1954））,近松物语 近松物語,1954,[1303600](https://movie.douban.com/subject/1303600/),8.3,沟口健二,剧情 / 爱情,日本, ,51,アマルコルド / フェデリコ・フェリーニ,阿玛柯德 Amarcord,1973,[1298672](https://movie.douban.com/subject/1298672/),8.7,费德里科·费里尼,剧情 / 喜剧,意大利/法国
53,49,もののけ姫（宮崎駿 / 《幽灵公主》（宫崎峻，1997））,幽灵公主 もののけ姫,1997,[1297359](https://movie.douban.com/subject/1297359/),8.9,宫崎骏,动画 / 奇幻 / 冒险,日本, ,51,アルジェの戦い / ジッロ・ポンテコルボ,阿尔及尔之战 La battaglia di Algeri,1966,[1419005](https://movie.douban.com/subject/1419005/),8.6,吉洛·彭泰科沃,剧情 / 历史 / 战争,意大利/阿尔及利亚
54,55,青い山脈（今井正 / 《青色山脉》（今井正，1949））,青色山峦 青い山脈,1949,[1479545](https://movie.douban.com/subject/1479545/),7.5,今井正,剧情 / 爱情,日本, ,51,イージー・ライダー,毕业生 The Graduate,1967,[1292271](https://movie.douban.com/subject/1292271/),8,迈克·尼科尔斯,剧情 / 喜剧 / 爱情,美国
55,55,神々の深き欲望（今村昌平 / 《诸神的欲望》（今村昌平，1968））,诸神的欲望 神々の深き欲望,1968,[1299125](https://movie.douban.com/subject/1299125/),8.4,今村昌平,剧情,日本, ,51,黄金狂時代 / チャールズ・チャップリン,淘金记 The Gold Rush,1925,[1298817](https://movie.douban.com/subject/1298817/),9.2,查理·卓别林,喜剧 / 爱情 / 西部 / 冒险,美国
56,55,キッズ・リターン（北野武 / 《坏孩子的天空》（北野武，1996））,坏孩子的天空 キッズ・リターン,1996,[1299062](https://movie.douban.com/subject/1299062/),8.6,北野武,剧情 / 犯罪 / 运动,日本, ,51,風の丘を越えて　西便制,西便制 서편제,1993,[1294191](https://movie.douban.com/subject/1294191/),8.1,林权泽,剧情,韩国
57,55,櫻の園（中原俊 / 《樱圆》（中原俊，1990））,樱之园 櫻の園,1990,[1800608](https://movie.douban.com/subject/1800608/),7.5,中原俊,剧情,日本, ,51,カッコーの巣の上で / ミロス・フォアマン,飞越疯人院 One Flew Over the Cuckoo's Nest,1975,[1292224](https://movie.douban.com/subject/1292224/),9.1,米洛斯·福尔曼,剧情,美国
58,55,青春の殺人者（長谷川和彦 / 《青春杀人者》（长谷川和彦，1976））,青春之杀人者 青春の殺人者,1976,[1306201](https://movie.douban.com/subject/1306201/),7.3,长谷川和彦,剧情 / 犯罪,日本, ,51,恐怖の報酬 / アンリ・ジョルジュ・クルーゾー,恐惧的代价 Le Salaire de la peur,1953,[1299932](https://movie.douban.com/subject/1299932/),8.6,亨利-乔治·克鲁佐,剧情 / 惊悚 / 冒险,法国/意大利
59,55,台風クラブ（相米慎二 / 《台风俱乐部》（相米慎二，1985））,台风俱乐部 台風クラブ,1985,[1296798](https://movie.douban.com/subject/1296798/),8,相米慎二,剧情 / 爱情,日本, ,51,地獄に堕ちた勇者ども / ルキノ・ヴィスコンティ,纳粹狂魔 La caduta degli dei (Götterdämmerung),1969,[1296591](https://movie.douban.com/subject/1296591/),7.7,卢基诺·维斯康蒂,剧情 / 战争,意大利/西德
60,55,丹下左膳余話・百万両の壷（山中貞雄 / 《丹下佐膳馀话》（山中贞雄，1935））,丹下左膳余话·百万两之壶 丹下左膳餘話 百萬兩の壺,1935,[1468280](https://movie.douban.com/subject/1468280/),8.5,山中贞雄,喜剧,日本, ,51,シャイニング / スタンリー・キューブリック,闪灵 The Shining,1980,[1292225](https://movie.douban.com/subject/1292225/),8.3,斯坦利·库布里克,恐怖,英国/美国
61,55,天使のはらわた　赤い教室（曾根中生 / 《赤色教室》（曾根中生，1979））,天使心灵之红色教室 天使のはらわた 赤い教室,1979,[1761021](https://movie.douban.com/subject/1761021/),7.2,曾根中生,剧情 / 情色,日本, ,51,卒業 / マイク・ニコルズ,逍遥骑士 Easy Rider,1969,[1297646](https://movie.douban.com/subject/1297646/),8.3,丹尼斯·霍珀,剧情 / 冒险,美国
62,55,楢山節考（木下恵介 / 《楢山节考》（木下惠介，1958））,楢山节考 楢山節考,1958,[1294737](https://movie.douban.com/subject/1294737/),8.7,木下惠介,剧情,日本, ,51,突然炎のごとく / フランソワ・トリュフォー,祖与占 Jules et Jim,1962,[1292338](https://movie.douban.com/subject/1292338/),8.4,弗朗索瓦·特吕弗,剧情 / 爱情,法国
63,55,野菊のごとき君なりき（木下恵介 / 《野菊之墓》（木下惠介，1955））,野菊之墓 野菊の如き君なりき,1955,[1308447](https://movie.douban.com/subject/1308447/),8.1,木下惠介,剧情 / 爱情,日本, ,51,薔薇の名前 / ジャン・ジャック・アノー,玫瑰之名 Der Name der Rose,1986,[1294634](https://movie.douban.com/subject/1294634/),7.8,让-雅克·阿诺,剧情 / 犯罪 / 悬疑,意大利/法国/西德
64,55,宮本武蔵　五部作（内田吐夢 / 《宫本武藏全五部》（内田吐梦，1961－65））,宫本武藏 宮本武蔵,1961,[1464352](https://movie.douban.com/subject/1464352/),7.2,内田吐梦,剧情 / 传记 / 动作,日本, ,51,ブリキの太鼓 / フォルカー・シュレンドルフ,铁皮鼓 Die Blechtrommel,1979,[1292207](https://movie.douban.com/subject/1292207/),8.3,沃尔克·施隆多夫,剧情 / 历史 / 战争,西德/波兰/法国/南斯拉夫
65,55,竜馬暗殺（黒木和雄 / 《龙马暗杀》（黑木和雄，1974））,暗杀坂本龙马 竜馬暗殺,1974,[1813144](https://movie.douban.com/subject/1813144/),7.6,黑木和雄,剧情 / 动作 / 历史,日本, ,51,フルメタル・ジャケット / スタンリー・キューブリック,全金属外壳 Full Metal Jacket,1987,[1300055](https://movie.douban.com/subject/1300055/),8.6,斯坦利·库布里克,剧情 / 战争,英国/美国
