Title 电影,Director 导演,Rank 排名,Year 年份,Region 地区,豆瓣电影,豆瓣打分,豆瓣信息,IMDb电影,IMDb打分
Crash,Directed by David Cronenberg,🎉225,1996,Canada,[欲望号快车 Crash](https://movie.douban.com/subject/1292682/),🌟7.0,"导演: 大卫·柯南伯格, 主演: 詹姆斯·斯派德 / 霍利·亨特 / 伊莱亚斯·科泰斯, 类型: 剧情, 制片国家/地区: 加拿大/美国/英国, 年份: 1996",[Crash](https://www.imdb.com/title/tt0115964/),🌟6.4
Blue,Directed by Derek Jarman,🎉225,1993,"United Kingdom, Japan",[蓝 Blue](https://movie.douban.com/subject/1417428/),🌟8.6,"导演: 德里克·贾曼, 主演: 约翰·昆汀 / 尼吉尔·特瑞 / 德里克·贾曼, 类型: 剧情 / 传记 / 同性, 制片国家/地区: 英国/日本, 年份: 1993",[Blue](https://www.imdb.com/title/tt0106438/),🌟7.3
Grave of the Fireflies,Directed by Isao Takahata,🎉225,1988,Japan,[萤火虫之墓 火垂るの墓](https://movie.douban.com/subject/1293318/),🌟8.7,"导演: 高畑勋, 主演: 辰己努 / 白石绫乃 / 志乃原良子, 类型: 动画 / 剧情 / 战争, 制片国家/地区: 日本, 年份: 1988",[Grave of the Fireflies](https://www.imdb.com/title/tt0095327/),🌟8.5
The Green Ray,Directed by Eric Rohmer,🎉225,1986,France,[绿光 Le rayon vert](https://movie.douban.com/subject/1294039/),🌟8.1,"导演: 埃里克·侯麦, 主演: 艾琳.申科布莱恩 / 玛丽·里维埃 / 碧翠丝·罗曼德, 类型: 剧情 / 爱情, 制片国家/地区: 法国, 年份: 1986",[The Green Ray](https://www.imdb.com/title/tt0091830/),🌟7.6
Born in Flames,Directed by Lizzie Borden,🎉243,1983, ,[硝烟中的玫瑰 Born in Flames](https://movie.douban.com/subject/1966826/),🌟7.4,"导演: 莉兹·波登, 主演: Honey / Adele Bertei / Jean Satterfield, 类型: 喜剧 / 剧情 / 奇幻 / 科幻, 制片国家/地区: 美国, 年份: 1983",[Born in Flames](https://www.imdb.com/title/tt0085267/),🌟6.5
Pandora's Box,Directed by G.W. Pabst,🎉243,1928,Germany,[潘多拉的魔盒 Die Büchse der Pandora](https://movie.douban.com/subject/1401368/),🌟8.2,"导演: G·W·帕布斯特, 主演: 露易丝·布鲁克斯 / 弗里茨·科特讷 / 弗朗西斯·莱德雷尔, 类型: 犯罪 / 剧情 / 爱情, 制片国家/地区: 德国, 年份: 1929",[Pandora's Box](https://www.imdb.com/title/tt0018737/),🌟7.8
Sullivan's Travels,Directed by Preston Sturges,🎉243,1941,USA,[苏利文的旅行 Sullivan's Travels](https://movie.douban.com/subject/1303416/),🌟7.6,"导演: 普莱斯顿·斯特奇斯, 主演: 乔尔·麦克雷 / 维罗妮卡·莱克 / 罗伯特·沃里克, 类型: 冒险 / 喜剧 / 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1941",[Sullivan's Travels](https://www.imdb.com/title/tt0034240/),🌟7.9
Annie Hall,Directed by Woody Allen,🎉243,1977,USA,[安妮·霍尔 Annie Hall](https://movie.douban.com/subject/1296987/),🌟8.6,"导演: 伍迪·艾伦, 主演: 伍迪·艾伦 / 黛安·基顿 / 托尼·罗伯茨, 类型: 喜剧 / 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1977",[Annie Hall](https://www.imdb.com/title/tt0075686/),🌟8
Earth,Directed by Alexander Dovzhenko,🎉243,1930,"USSR, Ukraine",[大地 Земля](https://movie.douban.com/subject/1474748/),🌟7.9,"导演: 亚历山大·杜辅仁科, 主演: Stepan Shkurat / Semyon Svashenko, 类型: 剧情, 制片国家/地区: 苏联, 年份: 1930",[Earth](https://www.imdb.com/title/tt0021571/),🌟7.2
My Darling Clementine,Directed by John Ford,🎉243,1946,USA,[侠骨柔情 My Darling Clementine](https://movie.douban.com/subject/1299733/),🌟7.9,"导演: 约翰·福特, 主演: 亨利·方达 / 琳达·达内尔 / 维克多·迈彻, 类型: 剧情 / 西部, 制片国家/地区: 美国, 年份: 1946",[My Darling Clementine](https://www.imdb.com/title/tt0038762/),🌟7.7
Mouchette,Directed by Robert Bresson,🎉243,1966,France,[穆谢特 Mouchette](https://movie.douban.com/subject/1302413/),🌟8.5,"导演: 罗伯特·布列松, 主演: 娜丁·诺蒂尔 / Jean-Claude Guilbert / Marie Cardinal, 类型: 剧情, 制片国家/地区: 法国, 年份: 1967",[Mouchette](https://www.imdb.com/title/tt0061996/),🌟7.7
