Title 电影,Director 导演,Rank 排名,Year 年份,Region 地区,豆瓣电影,豆瓣打分,豆瓣信息,IMDb电影,IMDb打分
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",Directed by Chantal Akerman,🎉001,1975,"Belgium, France","[让娜·迪尔曼 Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles](https://movie.douban.com/subject/1868933/)",🌟8.9,"导演: 香特尔·阿克曼, 主演: 德菲因·塞里格 / 亨利.斯多克 / 雅克·多尼奥-瓦克罗兹, 类型: 剧情, 制片国家/地区: 比利时/法国, 年份: 1975","[Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles](https://www.imdb.com/title/tt0073198/)",🌟7.5
Vertigo,Directed by Alfred Hitchcock,🎉002,1958,USA,[迷魂记 Vertigo](https://movie.douban.com/subject/1297294/),🌟8.7,"导演: 阿尔弗雷德·希区柯克, 主演: 詹姆斯·斯图尔特 / 金·诺瓦克 / 芭芭拉·贝尔·戈迪斯, 类型: 爱情 / 悬疑 / 惊悚, 制片国家/地区: 美国, 年份: 1958",[Vertigo](https://www.imdb.com/title/tt0052357/),🌟8.3
Citizen Kane,Directed by Orson Welles,🎉003,1941,USA,[公民凯恩 Citizen Kane](https://movie.douban.com/subject/1292288/),🌟8.8,"导演: 奥逊·威尔斯, 主演: 奥逊·威尔斯 / 约瑟夫·科顿 / 多萝西·康明戈尔, 类型: 剧情 / 悬疑, 制片国家/地区: 美国, 年份: 1941",[Citizen Kane](https://www.imdb.com/title/tt0033467/),🌟8.3
Tokyo Story,Directed by Yasujirō Ozu,🎉004,1953,Japan,[东京物语 東京物語](https://movie.douban.com/subject/1291568/),🌟9.1,"导演: 小津安二郎, 主演: 笠智众 / 原节子 / 杉村春子, 类型: 剧情 / 家庭, 制片国家/地区: 日本, 年份: 1953",[Tokyo Story](https://www.imdb.com/title/tt0046438/),🌟8.1
In the Mood for Love,Directed by Wong Kar Wai,🎉005,2000,"Hong Kong, France",[花样年华 花樣年華](https://movie.douban.com/subject/1291557/),🌟8.7,"导演: 王家卫, 主演: 梁朝伟 / 张曼玉 / 潘迪华, 类型: 剧情 / 爱情, 制片国家/地区: 中国香港, 年份: 2000",[In the Mood for Love](https://www.imdb.com/title/tt0118694/),🌟8.1
2001: A Space Odyssey,Directed by Stanley Kubrick,🎉006,1968,"USA, United Kingdom",[2001太空漫游 2001: A Space Odyssey](https://movie.douban.com/subject/1292226/),🌟8.9,"导演: 斯坦利·库布里克, 主演: 凯尔·杜拉 / 加里·洛克伍德 / 威廉姆·西尔维斯特, 类型: 科幻 / 惊悚 / 冒险, 制片国家/地区: 英国/美国, 年份: 1968",[2001: A Space Odyssey](https://www.imdb.com/title/tt0062622/),🌟8.3
Beau travail,Directed by Claire Denis,🎉007,1998,France,[军中禁恋 Beau travail](https://movie.douban.com/subject/1306791/),🌟7.4,"导演: 克莱尔·德尼, 主演: 德尼·拉旺 / 米歇尔·索博 / 格莱戈尔·科林, 类型: 剧情 / 同性, 制片国家/地区: 法国, 年份: 1999",[Beau travail](https://www.imdb.com/title/tt0209933/),🌟7.3
Mulholland Dr.,Directed by David Lynch,🎉008,2001,"France, USA",[穆赫兰道 Mulholland Dr.](https://movie.douban.com/subject/1292217/),🌟8.4,"导演: 大卫·林奇, 主演: 娜奥米·沃茨 / 劳拉·哈灵 / 安·米勒, 类型: 剧情 / 悬疑 / 惊悚, 制片国家/地区: 法国/美国, 年份: 2001",[Mulholland Drive](https://www.imdb.com/title/tt0166924/),🌟7.9
Man with a Movie Camera,Directed by Dziga Vertov,🎉009,1929,"USSR, Ukraine",[持摄影机的人 Человек с Киноаппаратом](https://movie.douban.com/subject/1293199/),🌟9.1,"导演: 吉加·维尔托夫, 主演: Mikhail Kaufman, 类型: 纪录片, 制片国家/地区: 苏联, 年份: 1929",[Man with a Movie Camera](https://www.imdb.com/title/tt0019760/),🌟8.4
Singin' in the Rain,"Directed by Gene Kelly, Stanley Donen",🎉010,1951,USA,[雨中曲 Singin' in the Rain](https://movie.douban.com/subject/1293460/),🌟9.1,"导演: 斯坦利·多南 / 吉恩·凯利, 主演: 吉恩·凯利 / 唐纳德·奥康纳 / 黛比·雷诺斯, 类型: 喜剧 / 歌舞 / 爱情, 制片国家/地区: 美国, 年份: 1952",[Singin' in the Rain](https://www.imdb.com/title/tt0045152/),🌟8.3
Sunrise: A Song of Two Humans,Directed by F.W. Murnau,🎉011,1927,USA,[日出 Sunrise: A Song of Two Humans](https://movie.douban.com/subject/1295753/),🌟8.8,"导演: F·W·茂瑙, 主演: 乔治·奥布莱恩 / 珍妮·盖诺 / 玛格丽特·利文斯顿, 类型: 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1927",[Sunrise](https://www.imdb.com/title/tt0018455/),🌟8.1
The Godfather,Directed by Francis Ford Coppola,🎉012,1972,USA,[教父 The Godfather](https://movie.douban.com/subject/1291841/),🌟9.3,"导演: 弗朗西斯·福特·科波拉, 主演: 马龙·白兰度 / 阿尔·帕西诺 / 詹姆斯·肯恩, 类型: 剧情 / 犯罪, 制片国家/地区: 美国, 年份: 1972",[The Godfather](https://www.imdb.com/title/tt0068646/),🌟9.2
La Règle du jeu,Directed by Jean Renoir,🎉013,1939,France,[游戏规则 La Règle du jeu](https://movie.douban.com/subject/1401261/),🌟8.4,"导演: 让·雷诺阿, 主演: 诺拉·格雷戈尔 / 波莱特·杜博斯特 / 米拉·帕雷利, 类型: 喜剧 / 剧情, 制片国家/地区: 法国, 年份: 1939",[The Rules of the Game](https://www.imdb.com/title/tt0031885/),🌟7.9
Cléo from 5 to 7,Directed by Agnès Varda,🎉014,1962,"France, Italy",[五至七时的克莱奥 Cléo de 5 à 7](https://movie.douban.com/subject/1294565/),🌟8.7,"导演: 阿涅斯·瓦尔达, 主演: 科琳娜·马尔尚 / 安托万·布尔塞耶 / 多米妮克·达夫雷, 类型: 喜剧 / 剧情 / 音乐, 制片国家/地区: 法国/意大利, 年份: 1962",[Cléo from 5 to 7](https://www.imdb.com/title/tt0055852/),🌟7.9
The Searchers,Directed by John Ford,🎉015,1956,USA,[搜索者 The Searchers](https://movie.douban.com/subject/1292668/),🌟7.9,"导演: 约翰·福特, 主演: 约翰·韦恩 / 杰弗里·亨特 / 维拉·迈尔斯, 类型: 剧情 / 西部 / 冒险, 制片国家/地区: 美国, 年份: 1956",[The Searchers](https://www.imdb.com/title/tt0049730/),🌟7.8
Meshes of the Afternoon,"Directed by Maya Deren, Alexander Hackenschmied",🎉016,1943,USA,[午后的迷惘 Meshes of the Afternoon](https://movie.douban.com/subject/1437390/),🌟8.8,"导演: 梅雅·黛伦 / 亚历山大·罕密德, 主演: 梅雅·黛伦 / 亚历山大·罕密德, 类型: 短片, 制片国家/地区: 美国, 年份: 1943",[Meshes of the Afternoon](https://www.imdb.com/title/tt0036154/),🌟7.9
Close-up,Directed by Abbas Kiarostami,🎉017,1989,Iran,[特写 کلوزآپ](https://movie.douban.com/subject/1303521/),🌟8.8,"导演: 阿巴斯·基亚罗斯塔米, 主演: Hossain Sabzian / 莫森·玛克玛尔巴夫 / Abolfazl Ahankhah, 类型: 犯罪 / 剧情, 制片国家/地区: 伊朗, 年份: 1990",[Close-Up](https://www.imdb.com/title/tt0100234/),🌟8.2
Persona,Directed by Ingmar Bergman,🎉018,1966,Sweden,[假面 Persona](https://movie.douban.com/subject/1294438/),🌟8.8,"导演: 英格玛·伯格曼, 主演: 毕比·安德松 / 丽芙·乌曼 / 玛格丽塔·克罗克, 类型: 剧情 / 惊悚, 制片国家/地区: 瑞典, 年份: 1966",[Persona](https://www.imdb.com/title/tt0060827/),🌟8.1
Apocalypse Now,Directed by Francis Ford Coppola,🎉019,1979,USA,[现代启示录 Apocalypse Now](https://movie.douban.com/subject/1292260/),🌟8.5,"导演: 弗朗西斯·福特·科波拉, 主演: 马丁·辛 / 马龙·白兰度 / 罗伯特·杜瓦尔, 类型: 剧情 / 战争, 制片国家/地区: 美国, 年份: 1979",[Apocalypse Now](https://www.imdb.com/title/tt0078788/),🌟8.4
Seven Samurai,Directed by Akira Kurosawa,🎉020,1954,Japan,[七武士 七人の侍](https://movie.douban.com/subject/1295399/),🌟9.3,"导演: 黑泽明, 主演: 三船敏郎 / 志村乔 / 津岛惠子, 类型: 动作 / 冒险 / 剧情, 制片国家/地区: 日本, 年份: 1954",[Seven Samurai](https://www.imdb.com/title/tt0047478/),🌟8.6
Late Spring,Directed by Yasujirō Ozu,🎉021,1949,Japan,[晚春 晩春](https://movie.douban.com/subject/1307265/),🌟8.7,"导演: 小津安二郎, 主演: 笠智众 / 原节子 / 月丘梦路, 类型: 剧情 / 家庭, 制片国家/地区: 日本, 年份: 1949",[Late Spring](https://www.imdb.com/title/tt0041154/),🌟8.2
The Passion of Joan of Arc,Directed by Carl Th. Dreyer,🎉021,1927,France,[圣女贞德蒙难记 La Passion de Jeanne d'Arc](https://movie.douban.com/subject/1293783/),🌟8.7,"导演: 卡尔·西奥多·德莱叶, 主演: 玛利亚·法奥康涅蒂 / 安德烈·贝利 / 莫里斯·舒茨, 类型: 传记 / 犯罪 / 剧情 / 历史, 制片国家/地区: 法国, 年份: 1928",[The Passion of Joan of Arc](https://www.imdb.com/title/tt0019254/),🌟8.1
Playtime,Directed by Jacques Tati,🎉023,1967,France,[玩乐时间 Play Time](https://movie.douban.com/subject/1303543/),🌟8.8,"导演: 雅克·塔蒂, 主演: 雅克·塔蒂 / Barbara Dennek / France Rumilly, 类型: 喜剧, 制片国家/地区: 法国/意大利, 年份: 1967",[Playtime](https://www.imdb.com/title/tt0062136/),🌟7.8
Do the Right Thing,Directed by Spike Lee,🎉024,1989,USA,[为所应为 Do the Right Thing](https://movie.douban.com/subject/1293958/),🌟8.2,"导演: 斯派克·李, 主演: 丹尼·爱罗 / 奥西·戴维斯 / 露比·迪, 类型: 剧情 / 喜剧, 制片国家/地区: 美国, 年份: 1989",[Do the Right Thing](https://www.imdb.com/title/tt0097216/),🌟8
The Night of the Hunter,Directed by Charles Laughton,🎉025,1955,USA,[猎人之夜 The Night of the Hunter](https://movie.douban.com/subject/1293582/),🌟8.0,"导演: 查尔斯·劳顿, 主演: 罗伯特·米彻姆 / 谢利·温特斯 / 丽莲·吉许, 类型: 犯罪 / 惊悚 / 黑色电影, 制片国家/地区: 美国, 年份: 1955",[The Night of the Hunter](https://www.imdb.com/title/tt0048424/),🌟8
Au hasard Balthazar,Directed by Robert Bresson,🎉025,1966,"France, Sweden",[驴子巴特萨 Au hasard Balthazar](https://movie.douban.com/subject/1401619/),🌟8.3,"导演: 罗伯特·布列松, 主演: 安妮·维亚泽姆斯基 / Walter Green / François Lafarge, 类型: 剧情, 制片国家/地区: 法国/瑞典, 年份: 1966",[Au hasard Balthazar](https://www.imdb.com/title/tt0060138/),🌟7.8
Shoah,Directed by Claude Lanzmann,🎉027,1985,France,[浩劫 Shoah](https://movie.douban.com/subject/1303328/),🌟9.0,"导演: 克洛德·朗兹曼, 主演: 克洛德·朗兹曼 / 西蒙·斯雷尼 / 迈克尔·波迪克雷尼克, 类型: 纪录片 / 历史 / 战争, 制片国家/地区: 法国, 年份: 1985",[Shoah](https://www.imdb.com/title/tt0090015/),🌟8.7
Daisies,Directed by Věra Chytilová,🎉028,1966,Czechoslovakia,[雏菊 Sedmikrásky](https://movie.douban.com/subject/1296500/),🌟8.5,"导演: 维拉·希蒂洛娃, 主演: 雅罗斯拉夫·库切拉 / 伊万娜·卡尔班诺娃 / 埃斯特尔·克伦巴赫乔娃, 类型: 喜剧 / 剧情, 制片国家/地区: 捷克斯洛伐克, 年份: 1966",[Daisies](https://www.imdb.com/title/tt0060959/),🌟7.3
Taxi Driver,Directed by Martin Scorsese,🎉029,1976,USA,[出租车司机 Taxi Driver](https://movie.douban.com/subject/1292222/),🌟8.6,"导演: 马丁·斯科塞斯, 主演: 罗伯特·德尼罗 / 朱迪·福斯特 / 斯碧尔·谢波德, 类型: 剧情 / 犯罪, 制片国家/地区: 美国, 年份: 1976",[Taxi Driver](https://www.imdb.com/title/tt0075314/),🌟8.2
Portrait of a Lady on Fire,Directed by Céline Sciamma,🎉030,2019,France,[燃烧女子的肖像 Portrait de la jeune fille en feu](https://movie.douban.com/subject/30257175/),🌟8.7,"导演: 瑟琳·席安玛, 主演: 诺米·梅兰特 / 阿黛拉·哈内尔 / 卢安娜·巴杰拉米, 类型: 剧情 / 爱情 / 同性, 制片国家/地区: 法国, 年份: 2019",[Portrait of a Lady on Fire](https://www.imdb.com/title/tt8613070/),🌟8.1
8½,Directed by Federico Fellini,🎉031,1963,"Italy, France",[八部半 8½](https://movie.douban.com/subject/1361276/),🌟8.6,"导演: 费德里科·费里尼, 主演: 马塞洛·马斯楚安尼 / 克劳迪娅·卡汀娜 / 阿努克·艾梅, 类型: 剧情, 制片国家/地区: 意大利/法国, 年份: 1963",[8½](https://www.imdb.com/title/tt0056801/),🌟8
Psycho,Directed by Alfred Hitchcock,🎉031,1960,USA,[惊魂记 Psycho](https://movie.douban.com/subject/1293181/),🌟9.0,"导演: 阿尔弗雷德·希区柯克, 主演: 安东尼·博金斯 / 维拉·迈尔斯 / 约翰·加文, 类型: 悬疑 / 惊悚 / 恐怖, 制片国家/地区: 美国, 年份: 1960",[Psycho](https://www.imdb.com/title/tt0054215/),🌟8.5
Mirror,Directed by Andrei Tarkovsky,🎉031,1975,USSR,[镜子 Зеркало](https://movie.douban.com/subject/1299248/),🌟9.0,"导演: 安德烈·塔可夫斯基, 主演: 玛格丽特·捷列霍娃 / 因诺肯季·斯莫克图诺夫斯基 / 奥列格·扬科夫斯基, 类型: 传记 / 剧情 / 历史 / 战争, 制片国家/地区: 苏联, 年份: 1975",[Mirror](https://www.imdb.com/title/tt0072443/),🌟8
L'Atalante,Directed by Jean Vigo,🎉034,1934,France,[亚特兰大号 L'Atalante](https://movie.douban.com/subject/1299433/),🌟8.1,"导演: 让·维果, 主演: 米歇尔·西蒙 / 迪塔·帕尔洛 / 让·达斯特, 类型: 剧情 / 爱情, 制片国家/地区: 法国, 年份: 1934",[L'Atalante](https://www.imdb.com/title/tt0024844/),🌟7.8
Pather Panchali,Directed by Satyajit Ray,🎉035,1955,India,[大地之歌 পথের পাঁচালী](https://movie.douban.com/subject/1306019/),🌟8.9,"导演: 萨蒂亚吉特·雷伊, 主演: 卡奴·班纳杰 / 卡鲁娜·班纳杰 / 楚尼巴拉·德芙, 类型: 剧情, 制片国家/地区: 印度, 年份: 1955",[Pather Panchali](https://www.imdb.com/title/tt0048473/),🌟8.2
M,Directed by Fritz Lang,🎉036,1931,Germany,[M就是凶手 M - Eine Stadt sucht einen Mörder](https://movie.douban.com/subject/1293381/),🌟8.3,"导演: 弗里茨·朗, 主演: 彼得·洛 / 艾伦·维德曼 / 因格·兰德特, 类型: 剧情 / 犯罪 / 惊悚 / 黑色电影, 制片国家/地区: 德国, 年份: 1931",[M](https://www.imdb.com/title/tt0022100/),🌟8.3
City Lights,Directed by Charles Chaplin,🎉036,1931,USA,[城市之光 City Lights](https://movie.douban.com/subject/1293908/),🌟9.3,"导演: 查理·卓别林, 主演: 查理·卓别林 / 弗吉尼亚·切瑞尔 / 佛罗伦斯·李, 类型: 喜剧 / 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1931",[City Lights](https://www.imdb.com/title/tt0021749/),🌟8.5
Rear Window,Directed by Alfred Hitchcock,🎉038,1954,USA,[后窗 Rear Window](https://movie.douban.com/subject/1299080/),🌟8.7,"导演: 阿尔弗雷德·希区柯克, 主演: 詹姆斯·斯图尔特 / 格蕾丝·凯利 / 温戴尔·柯瑞, 类型: 悬疑 / 惊悚, 制片国家/地区: 美国, 年份: 1954",[Rear Window](https://www.imdb.com/title/tt0047396/),🌟8.5
À bout de souffle,Directed by Jean-Luc Godard,🎉038,1960,France,[精疲力尽 À bout de souffle](https://movie.douban.com/subject/1353745/),🌟8.4,"导演: 让-吕克·戈达尔, 主演: 珍·茜宝 / 让-保罗·贝尔蒙多 / 达尼埃尔·布朗热, 类型: 剧情 / 爱情 / 犯罪, 制片国家/地区: 法国, 年份: 1960",[Breathless](https://www.imdb.com/title/tt0053472/),🌟7.7
Some Like It Hot,Directed by Billy Wilder,🎉038,1959,USA,[热情如火 Some Like It Hot](https://movie.douban.com/subject/1292574/),🌟8.9,"导演: 比利·怀尔德, 主演: 玛丽莲·梦露 / 托尼·柯蒂斯 / 杰克·莱蒙, 类型: 喜剧, 制片国家/地区: 美国, 年份: 1959",[Some Like It Hot](https://www.imdb.com/title/tt0053291/),🌟8.2
Rashomon,Directed by Akira Kurosawa,🎉041,1950,Japan,[罗生门 羅生門](https://movie.douban.com/subject/1291879/),🌟8.8,"导演: 黑泽明, 主演: 三船敏郎 / 京町子 / 森雅之, 类型: 剧情 / 犯罪 / 悬疑, 制片国家/地区: 日本, 年份: 1950",[Rashomon](https://www.imdb.com/title/tt0042876/),🌟8.2
Bicycle Thieves,Directed by Vittorio De Sica,🎉041,1948,Italy,[偷自行车的人 Ladri di biciclette](https://movie.douban.com/subject/1295873/),🌟9.1,"导演: 维托里奥·德西卡, 主演: 兰贝托·马乔拉尼 / 恩佐·斯泰奥拉 / 莉安拉·卡雷尔, 类型: 犯罪 / 剧情, 制片国家/地区: 意大利, 年份: 1948",[Bicycle Thieves](https://www.imdb.com/title/tt0040522/),🌟8.3
Stalker,Directed by Andrei Tarkovsky,🎉043,1979,USSR,[潜行者 Сталкер](https://movie.douban.com/subject/1295656/),🌟8.8,"导演: 安德烈·塔可夫斯基, 主演: 亚历山大·凯伊达诺夫斯基 / 阿丽萨·弗雷因德利赫 / 安纳托利·索洛尼岑, 类型: 剧情 / 科幻 / 悬疑, 制片国家/地区: 苏联, 年份: 1979",[Stalker](https://www.imdb.com/title/tt0079944/),🌟8.1
Killer of Sheep,Directed by Charles Burnett,🎉043,1977,USA,[杀羊人 Killer of Sheep](https://movie.douban.com/subject/1303494/),🌟7.3,"导演: 查尔斯·伯内特, 主演: 亨利·G.桑德斯 / Kaycee Moore / Charles Bracy, 类型: 剧情, 制片国家/地区: 美国, 年份: 1978",[Killer of Sheep](https://www.imdb.com/title/tt0076263/),🌟7.2
Barry Lyndon,Directed by Stanley Kubrick,🎉045,1975,"USA, United Kingdom",[巴里·林登 Barry Lyndon](https://movie.douban.com/subject/1292472/),🌟8.8,"导演: 斯坦利·库布里克, 主演: 瑞安·奥尼尔 / 马里莎·贝伦森 / 帕特里克·马基, 类型: 剧情 / 爱情 / 战争, 制片国家/地区: 英国/美国, 年份: 1975",[Barry Lyndon](https://www.imdb.com/title/tt0072684/),🌟8.1
North by Northwest,Directed by Alfred Hitchcock,🎉045,1959,USA,[西北偏北 North by Northwest](https://movie.douban.com/subject/1295872/),🌟8.3,"导演: 阿尔弗雷德·希区柯克, 主演: 加里·格兰特 / 爱娃·玛丽·森特 / 詹姆斯·梅森, 类型: 悬疑 / 惊悚 / 冒险, 制片国家/地区: 美国, 年份: 1959",[North by Northwest](https://www.imdb.com/title/tt0053125/),🌟8.3
The Battle of Algiers,Directed by Gillo Pontecorvo,🎉045,1966,"Italy, Algeria",[阿尔及尔之战 La battaglia di Algeri](https://movie.douban.com/subject/1419005/),🌟8.6,"导演: 吉洛·彭泰科沃, 主演: Brahim Hadjadj / 让·马丹 / Yacef Saadi, 类型: 剧情 / 历史 / 战争, 制片国家/地区: 意大利/阿尔及利亚, 年份: 1966",[The Battle of Algiers](https://www.imdb.com/title/tt0058946/),🌟8.1
Ordet,Directed by Carl Th. Dreyer,🎉048,1955,Denmark,[词语 Ordet](https://movie.douban.com/subject/1303566/),🌟8.3,"导演: 卡尔·西奥多·德莱叶, 主演: Hanne Agesen / Kirsten Andreasen / Sylvia Eckhausen, 类型: 剧情, 制片国家/地区: 丹麦, 年份: 1955",[Ordet](https://www.imdb.com/title/tt0048452/),🌟8.3
Wanda,Directed by Barbara Loden,🎉048,1970,USA,[旺达 Wanda](https://movie.douban.com/subject/1855338/),🌟8.2,"导演: 芭芭拉·洛登, 主演: 芭芭拉·洛登 / 迈克尔·希金斯, 类型: 剧情 / 犯罪, 制片国家/地区: 美国, 年份: 1970",[Wanda](https://www.imdb.com/title/tt0067961/),🌟7.1
The Piano,Directed by Jane Campion,🎉050,1992,"Australia, France",[钢琴课 The Piano](https://movie.douban.com/subject/1293818/),🌟8.1,"导演: 简·坎皮恩, 主演: 霍利·亨特 / 哈威·凯特尔 / 山姆·尼尔, 类型: 剧情 / 爱情 / 音乐, 制片国家/地区: 新西兰/澳大利亚/法国, 年份: 1993",[The Piano](https://www.imdb.com/title/tt0107822/),🌟7.5
The 400 Blows,Directed by François Truffaut,🎉050,1959,France,[四百击 Les quatre cents coups](https://movie.douban.com/subject/1300056/),🌟8.9,"导演: 弗朗索瓦·特吕弗, 主演: 让-皮埃尔·利奥德 / 克莱尔·莫里耶 / 阿尔贝·雷米, 类型: 犯罪 / 剧情, 制片国家/地区: 法国, 年份: 1959",[The 400 Blows](https://www.imdb.com/title/tt0053198/),🌟8.1
News from Home,Directed by Chantal Akerman,🎉052,1976,"France, Belgium",[家乡的消息 News from Home](https://movie.douban.com/subject/1902009/),🌟8.0,"导演: 香特尔·阿克曼, 主演: 香特尔·阿克曼, 类型: 纪录片, 制片国家/地区: 法国/比利时/西德, 年份: 1976",[News from Home](https://www.imdb.com/title/tt0076452/),🌟7.3
Fear Eats the Soul,Directed by Rainer Werner Fassbinder,🎉052,1974,Federal Republic of Germany,[恐惧吞噬灵魂 Angst essen Seele auf](https://movie.douban.com/subject/1294092/),🌟8.5,"导演: 赖纳·维尔纳·法斯宾德, 主演: 布里吉特·米拉 / 埃尔·赫迪·本·萨利姆 / 芭芭拉·瓦伦汀, 类型: 剧情 / 爱情, 制片国家/地区: 西德, 年份: 1974",[Ali: Fear Eats the Soul](https://www.imdb.com/title/tt0071141/),🌟8
The Apartment,Directed by Billy Wilder,🎉054,1960,USA,[桃色公寓 The Apartment](https://movie.douban.com/subject/1394218/),🌟8.8,"导演: 比利·怀尔德, 主演: 杰克·莱蒙 / 雪莉·麦克雷恩 / 弗莱德·麦克莫瑞, 类型: 爱情 / 喜剧 / 剧情, 制片国家/地区: 美国, 年份: 1960",[The Apartment](https://www.imdb.com/title/tt0053604/),🌟8.3
Sherlock Jr.,Directed by Buster Keaton,🎉054,1924,USA,[福尔摩斯二世 Sherlock Jr.](https://movie.douban.com/subject/1303408/),🌟9.5,"导演: 巴斯特·基顿, 主演: 巴斯特·基顿 / 凯瑟琳·麦奎尔 / 乔·基顿, 类型: 喜剧 / 动作 / 爱情, 制片国家/地区: 美国, 年份: 1924",[Sherlock Jr.](https://www.imdb.com/title/tt0015324/),🌟8.2
Le Mépris,Directed by Jean-Luc Godard,🎉054,1963,"France, Italy",[蔑视 Le mépris](https://movie.douban.com/subject/1303555/),🌟7.7,"导演: 让-吕克·戈达尔, 主演: 碧姬·芭铎 / 米歇尔·皮科利 / 杰克·帕兰斯, 类型: 剧情 / 爱情, 制片国家/地区: 法国/意大利, 年份: 1963",[Contempt](https://www.imdb.com/title/tt0057345/),🌟7.5
Battleship Potemkin,Directed by Sergei M. Eisenstein,🎉054,1925,USSR,[战舰波将金号 Броненосец Потёмкин](https://movie.douban.com/subject/1293492/),🌟8.7,"导演: 谢尔盖·爱森斯坦, 主演: 亚历山大·安东诺夫 / 弗拉迪米尔·巴斯基 / 格里高利·亚历山德罗夫, 类型: 剧情 / 历史 / 战争, 制片国家/地区: 苏联, 年份: 1925",[Battleship Potemkin](https://www.imdb.com/title/tt0015648/),🌟7.9
Blade Runner,Directed by Ridley Scott,🎉054,1982,"USA, Hong Kong",[银翼杀手 Blade Runner](https://movie.douban.com/subject/1291839/),🌟8.6,"导演: 雷德利·斯科特, 主演: 哈里森·福特 / 鲁格·豪尔 / 肖恩·杨, 类型: 科幻 / 惊悚, 制片国家/地区: 美国, 年份: 1982",[Blade Runner](https://www.imdb.com/title/tt0083658/),🌟8.1
Sans Soleil,Directed by Chris Marker,🎉059,1982,France,[日月无光 Sans soleil](https://movie.douban.com/subject/1401901/),🌟8.5,"导演: 克里斯·马克, 主演: 弗洛朗丝·德莱 / 阿丽尔·朵巴丝勒 / Riyoko Ikeda, 类型: 纪录片, 制片国家/地区: 法国, 年份: 1983",[Sans Soleil](https://www.imdb.com/title/tt0084628/),🌟7.8
Daughters of the Dust,Directed by Julie Dash,🎉060,1991,USA,[大地的女儿 Daughters of the Dust](https://movie.douban.com/subject/1890283/),🌟7.3,"导演: 茱莉·黛许, 主演: 科拉·李·戴 / Alva Rogers / Barbarao, 类型: 剧情 / 爱情, 制片国家/地区: 美国/英国, 年份: 1991",[Daughters of the Dust](https://www.imdb.com/title/tt0104057/),🌟6.6
La dolce vita,Directed by Federico Fellini,🎉060,1960,"Italy, France",[甜蜜的生活 La dolce vita](https://movie.douban.com/subject/1293271/),🌟8.6,"导演: 费德里科·费里尼, 主演: 马塞洛·马斯楚安尼 / 安妮塔·艾克伯格 / 阿努克·艾梅, 类型: 剧情 / 喜剧, 制片国家/地区: 意大利/法国, 年份: 1960",[La Dolce Vita](https://www.imdb.com/title/tt0053779/),🌟8
Moonlight,Directed by Barry Jenkins,🎉060,2016,USA,[月光男孩 Moonlight](https://movie.douban.com/subject/26648249/),🌟7.4,"导演: 巴里·詹金斯, 主演: 崔凡特·罗兹 / 安德烈·霍兰 / 马赫沙拉·阿里, 类型: 剧情 / 同性, 制片国家/地区: 美国, 年份: 2016",[Moonlight](https://www.imdb.com/title/tt4975722/),🌟7.4
The Third Man,Directed by Carol Reed,🎉063,1949,United Kingdom,[第三人 The Third Man](https://movie.douban.com/subject/1295451/),🌟8.2,"导演: 卡罗尔·里德, 主演: 约瑟夫·科顿 / 阿莉达·瓦利 / 奥逊·威尔斯, 类型: 黑色电影 / 悬疑 / 惊悚, 制片国家/地区: 英国, 年份: 1949",[The Third Man](https://www.imdb.com/title/tt0041959/),🌟8.1
GoodFellas,Directed by Martin Scorsese,🎉063,1990,USA,[好家伙 GoodFellas](https://movie.douban.com/subject/1292268/),🌟8.5,"导演: 马丁·斯科塞斯, 主演: 罗伯特·德尼罗 / 雷·利奥塔 / 乔·佩西, 类型: 剧情 / 传记 / 犯罪, 制片国家/地区: 美国, 年份: 1990",[Goodfellas](https://www.imdb.com/title/tt0099685/),🌟8.7
Casablanca,Directed by Michael Curtiz,🎉063,1942,USA,[卡萨布兰卡 Casablanca](https://movie.douban.com/subject/1296753/),🌟8.7,"导演: 迈克尔·柯蒂兹, 主演: 亨弗莱·鲍嘉 / 英格丽·褒曼 / 保罗·亨雷德, 类型: 剧情 / 爱情 / 战争, 制片国家/地区: 美国, 年份: 1942",[Casablanca](https://www.imdb.com/title/tt0034583/),🌟8.5
Touki Bouki,Directed by Djibril Diop Mambéty,🎉066,1973,Senegal,[土狼之旅 Touki Bouki](https://movie.douban.com/subject/1424576/),🌟7.6,"导演: 吉布里尔·迪奥普·曼贝蒂, 主演: Magaye Niang / Mareme Niang / Christoph Colomb, 类型: 剧情, 制片国家/地区: 塞内加尔, 年份: 1973",[Touki Bouki](https://www.imdb.com/title/tt0070820/),🌟7
The Red Shoes,"Directed by Michael Powell, Emeric Pressburger",🎉067,1948,United Kingdom,[红菱艳 The Red Shoes](https://movie.douban.com/subject/1299204/),🌟8.2,"导演: 迈克尔·鲍威尔 / 埃默里克·普雷斯伯格, 主演: 莫伊拉·希勒 / 安东·沃尔布鲁克 Anton Walbrook / 马留斯·戈尔林, 类型: 剧情 / 爱情 / 音乐, 制片国家/地区: 英国, 年份: 1948",[The Red Shoes](https://www.imdb.com/title/tt0040725/),🌟8.1
