Group 分类,Rank 排名,Title 电影,ID 豆瓣,Score 打分,Staff 人员,Region 地区
豆瓣2015评分最高的|短片,7,功之怒 / Kung Fury,[25802407](https://movie.douban.com/subject/25802407/),7.8,大卫·桑德伯格 / 大卫·桑德伯格 / 乔玛·塔科内,瑞典
豆瓣2015评分最高的|短片,8,刺客聂隐娘前传,[26595432](https://movie.douban.com/subject/26595432/),7.6,翁劼,中国大陆 中国台湾
豆瓣2015评分最高的|短片,9,我的狼人男友 / Dirty Paws,[26602340](https://movie.douban.com/subject/26602340/),7.8,Karina Farek / Brian Perry / Tyler Nolan,美国
豆瓣2015评分最高的|短片,10,炫富战争 / Vaskduellen,[26322983](https://movie.douban.com/subject/26322983/),7.4,Crazy Pictures / 克里斯托弗·努登罗特 / 艾兰·阿德勒,瑞典
 , , , , , , 
豆瓣2015年度LGBT电影,1,卡罗尔 / Carol,[10757577](https://movie.douban.com/subject/10757577/),8.4,托德·海因斯 / 凯特·布兰切特 / 鲁妮·玛拉,英国 美国
豆瓣2015年度LGBT电影,2,审判八号提案 / The Case Against 8,[25785108](https://movie.douban.com/subject/25785108/),9.0,本·科特纳 / 西奥多·奥尔森 / Christopher D. Dusseault,美国
豆瓣2015年度LGBT电影,3,丹麦女孩 / The Danish Girl,[3071604](https://movie.douban.com/subject/3071604/),8.3,汤姆·霍伯 / 埃迪·雷德梅恩 / 艾丽西亚·维坎德,英国 美国 比利时 丹麦 德国
豆瓣2015年度LGBT电影,4,新女友 / Une nouvelle amie,[25755608](https://movie.douban.com/subject/25755608/),7.5,弗朗索瓦·欧容 / 罗曼·杜里斯 / 阿娜伊斯·德穆斯蒂埃,法国
豆瓣2015年度LGBT电影,5,爱森斯坦在瓜纳华托 / Eisenstein in Guanajuato,[6048838](https://movie.douban.com/subject/6048838/),7.5,彼得·格林纳威 / 斯特里奥·萨万特 / 埃尔默·拜克,荷兰 墨西哥 芬兰 比利时 法国
豆瓣2015年度LGBT电影,6,醉·生梦死,[26306656](https://movie.douban.com/subject/26306656/),7.2,张作骥 / 李鸿其 / 黄尚禾,中国台湾
豆瓣2015年度LGBT电影,7,男孩遇见女孩 / Boy Meets Girl,[25965348](https://movie.douban.com/subject/25965348/),7.5,埃里克·谢弗 / 迈克·韦尔奇 / 米歇尔·亨德利,美国
豆瓣2015年度LGBT电影,8,四个月亮 / Cuatro lunas,[25767853](https://movie.douban.com/subject/25767853/),7.9,Sergio Tovar Velarde / 安东尼奥·委拉斯凯兹 / 亚历桑德罗·德·拉·马德里德,墨西哥
豆瓣2015年度LGBT电影,9,圈子 / Der Kreis,[25825586](https://movie.douban.com/subject/25825586/),7.6,斯蒂凡·豪普特 / Sven Schelker / Matthias Hungerbühler,瑞士
豆瓣2015年度LGBT电影,10,圣罗兰传 / Saint Laurent,[21370611](https://movie.douban.com/subject/21370611/),7.2,贝特朗·波尼洛 / 加斯帕德·尤利尔 / 杰瑞米·雷乃,法国
 , , , , , , 
豆瓣2015最受关注的|电影,1,重返20岁,[25870084](https://movie.douban.com/subject/25870084/),7.1,陈正道 / 杨子姗 / 归亚蕾,中国大陆 韩国
豆瓣2015最受关注的|电影,2,霍比特人3：五军之战 / The Hobbit: The Battle of the Five Armies,[2973079](https://movie.douban.com/subject/2973079/),8.6,彼得·杰克逊 / 马丁·弗瑞曼 / 伊恩·麦克莱恩,美国 新西兰
豆瓣2015最受关注的|电影,3,博物馆奇妙夜3 / Night at the Museum: Secret of the Tomb,[21349734](https://movie.douban.com/subject/21349734/),7.3,肖恩·利维 / 本·斯蒂勒 / 罗宾·威廉姆斯,美国 英国
豆瓣2015最受关注的|电影,4,前目的地 / Predestination,[20278505](https://movie.douban.com/subject/20278505/),8.0,迈克尔·斯派瑞 / 伊桑·霍克 / 莎拉·斯努克,澳大利亚 美国
