Title 电影,Rank 排名,Rank-2022,Director 导演,豆瓣电影,豆瓣打分,豆瓣信息,Year 年份,Region 地区,Genre 类型,IMDb Movie,IMDb Score
Red Desert,🎉232,🎉295,Michelangelo Antonioni,[红色沙漠 Il deserto rosso](https://movie.douban.com/subject/1299261/),🌟8.0,米开朗基罗·安东尼奥尼 / 莫尼卡·维蒂 / 理查德·哈里斯 / Carlo Chionetti / 剧情 / 意大利/法国 / 1964,1964,Italy-France,Drama,[Red Desert](https://www.imdb.com/title/tt0058003/),🌟7.5
Ashes and Diamonds,🎉233,🎉222,Andrzej Wajda,[灰烬与钻石 Popiół i diament](https://movie.douban.com/subject/1303174/),🌟8.2,安杰伊·瓦伊达 / 兹比格涅夫·齐布尔斯基 / 夏娃·克尔齐塞夫斯卡 / 瓦克劳·扎斯特泽金斯基 / 剧情 / 战争 / 波兰 / 1958,1958,Poland,War-Drama-Political,[Ashes and Diamonds](https://www.imdb.com/title/tt0052080/),🌟7.8
"Crowd, The",🎉234,🎉255,King Vidor,[群众 The Crowd](https://movie.douban.com/subject/1293273/),🌟8.3,金·维多 / 埃莉诺·博德曼 / 詹姆斯·默里 / 伯特·罗奇 / 剧情 / 爱情 / 美国 / 1928,1928,USA,Drama,[The Crowd](https://www.imdb.com/title/tt0018806/),🌟8.1
Where is the Friend's House?,🎉235,🎉305,Abbas Kiarostami,[何处是我朋友的家 خانه دوست کجاست؟‎](https://movie.douban.com/subject/1301897/),🌟8.9,阿巴斯·基亚罗斯塔米 / 巴比·艾哈迈德·波 / 艾哈迈德·艾哈迈德·波 / 科达·巴和·迪范 / 剧情 / 伊朗 / 1987,1987,Iran,Drama,[Where Is the Friend's House?](https://www.imdb.com/title/tt0093342/),🌟8.1
Brazil,🎉236,🎉171,Terry Gilliam,[妙想天开 Brazil](https://movie.douban.com/subject/1293823/),🌟8.1,特瑞·吉列姆 / 乔纳森·普雷斯 / 罗伯特·德尼罗 / 凯瑟琳·海蒙德 / 剧情 / 科幻 / 英国/美国 / 1985,1985,UK,Science Fiction-Fantasy,[Brazil](https://www.imdb.com/title/tt0088846/),🌟7.9
Sullivan's Travels,🎉237,🎉241,Preston Sturges,[苏利文的旅行 Sullivan's Travels](https://movie.douban.com/subject/1303416/),🌟7.6,普莱斯顿·斯特奇斯 / 乔尔·麦克雷 / 维罗妮卡·莱克 / 罗伯特·沃里克 / 冒险 / 喜剧 / 剧情 / 爱情 / 美国 / 1941,1941,USA,Romance-Comedy,[Sullivan's Travels](https://www.imdb.com/title/tt0034240/),🌟7.9
Eraserhead,🎉238,🎉272,David Lynch,[橡皮头 Eraserhead](https://movie.douban.com/subject/1293925/),🌟7.9,大卫·林奇 / 杰克·南斯 / 夏洛特·斯图尔特 / 艾伦·约瑟夫 / 奇幻 / 恐怖 / 美国 / 1977,1977,USA,Horror-Fantasy-Science Fiction,[Eraserhead](https://www.imdb.com/title/tt0074486/),🌟7.3
McCabe & Mrs. Miller,🎉239,🎉195,Robert Altman,[花村 McCabe & Mrs. Miller](https://movie.douban.com/subject/1293950/),🌟7.9,罗伯特·奥特曼 / 沃伦·比蒂 / 朱莉·克里斯蒂 / 勒内·奥贝尔若努瓦 / 剧情 / 西部 / 美国 / 1971,1971,USA,Western-Drama,[McCabe & Mrs. Miller](https://www.imdb.com/title/tt0067411/),🌟7.6
"Ivan the Terrible, Part 2",🎉240,🎉207,Sergei Eisenstein,[伊凡雷帝2 Иван Грозный 2: Боярский заговор](https://movie.douban.com/subject/1474367/),🌟8.2,谢尔盖·爱森斯坦 / 尼古拉·切尔卡索夫 / 帕维尔·卡道奇尼科夫 / 弗谢沃罗德·普多夫金 / 传记 / 历史 / 苏联 / 1958,1946,USSR,History-Drama-Biography,"[Ivan the Terrible, Part II: The Boyars' Plot](https://www.imdb.com/title/tt0051790/)",🌟7.8
"House is Black, The",🎉241,🎉351,Forugh Farrokhzad,[房屋是黑的 خانه سیاه است](https://movie.douban.com/subject/1499492/),🌟8.8,芙茹弗·法洛克扎德 / 芙茹弗·法洛克扎德 / 艾布拉希姆·格勒斯坦 / Hossein Mansouri / 纪录片 / 短片 / 伊朗 / 1963,1963,Iran,Documentary-Short,[The House Is Black](https://www.imdb.com/title/tt0336693/),🌟7.8
Memories of Underdevelopment,🎉242,🎉254,Tomás Gutiérrez Alea,[低度开发的回忆 Memorias del subdesarrollo](https://movie.douban.com/subject/1484154/),🌟8.1,托马斯·古铁雷兹·阿莱 / 塞吉欧·柯瑞里 / 黛西·加纳多斯 / 埃丝琳达·努涅斯 / 剧情 / 古巴 / 1968,1968,Cuba,Political-Romance-Drama,[Memories of Underdevelopment](https://www.imdb.com/title/tt0063291/),🌟7.6
"Band Wagon, The",🎉243,🎉234,Vincente Minnelli,[篷车队 The Band Wagon](https://movie.douban.com/subject/1850003/),🌟8.0,文森特·明奈利 / 弗雷德·阿斯泰尔 / 赛德·查里斯 / 奥斯卡·黎凡特 / 喜剧 / 家庭 / 歌舞 / 爱情 / 美国 / 1953,1953,USA,Musical-Dance-Comedy,[The Band Wagon](https://www.imdb.com/title/tt0045537/),🌟7.4
"Thin Red Line, The",🎉244,🎉188,Terrence Malick,[细细的红线 The Thin Red Line](https://movie.douban.com/subject/1292781/),🌟7.8,泰伦斯·马力克 / 西恩·潘 / 伊莱亚斯·科泰斯 / 吉姆·卡维泽 / 剧情 / 战争 / 美国 / 1998,1998,USA,War-Drama,[The Thin Red Line](https://www.imdb.com/title/tt0120863/),🌟7.6
"Ivan the Terrible, Part 1",🎉245,🎉249,Sergei Eisenstein,[伊凡雷帝 Иван Грозный](https://movie.douban.com/subject/1298182/),🌟8.0,谢尔盖·爱森斯坦 / 尼古拉·切尔卡索夫 / Lyudmila Tselikovskaya / Serafima Birman / 传记 / 历史 / 苏联 / 1944,1944,USSR,History-Drama-Biography,"[Ivan the Terrible, Part I](https://www.imdb.com/title/tt0037824/)",🌟7.7
Performance,🎉246,🎉223,Nicolas & Donald Cammell Roeg,[迷幻演出 Performance](https://movie.douban.com/subject/1294331/),🌟7.0,尼古拉斯·罗伊格 / 唐纳德·卡梅尔 / 詹姆斯·福克斯 / 米克·贾格尔 / 安妮塔·帕里博格 / 犯罪 / 剧情 / 奇幻 / 音乐 / 英国 / 1970,1970,UK,Drama-Crime,[Performance](https://www.imdb.com/title/tt0066214/),🌟6.7
"Best Years of Our Lives, The",🎉247,🎉229,William Wyler,[黄金时代 The Best Years of Our Lives](https://movie.douban.com/subject/1294100/),🌟8.2,威廉·惠勒 / 玛娜·洛伊 / 弗雷德里克·马奇 / 达纳·安德鲁斯 / 剧情 / 爱情 / 战争 / 美国 / 1946,1946,USA,War-Drama,[The Best Years of Our Lives](https://www.imdb.com/title/tt0036868/),🌟8.1
