Title 电影,Director 导演,Rank 排名,Year 年份,豆瓣电影,豆瓣打分,豆瓣信息,IMDb电影,IMDb打分
Unforgiven,Clint Eastwood,🎉068,1992,[不可饶恕 Unforgiven](https://movie.douban.com/subject/1293566/),🌟8.5,"导演: 克林特·伊斯特伍德, 主演: 克林特·伊斯特伍德 / 吉恩·哈克曼 / 摩根·弗里曼, 类型: 剧情 / 西部, 制片国家/地区: 美国, 年份: 1992",[Unforgiven](https://www.imdb.com/title/tt0105695/),🌟8.2
Tootsie,Sydney Pollack,🎉069,1982,[窈窕淑男 Tootsie](https://movie.douban.com/subject/1297737/),🌟8.1,"导演: 西德尼·波拉克, 主演: 达斯汀·霍夫曼 / 杰西卡·兰格 / 特瑞·加尔, 类型: 喜剧 / 爱情, 制片国家/地区: 美国, 年份: 1982",[Tootsie](https://www.imdb.com/title/tt0084805/),🌟7.4
A Clockwork Orange,Stanley Kubrick,🎉070,1971,[发条橙 A Clockwork Orange](https://movie.douban.com/subject/1292233/),🌟8.6,"导演: 斯坦利·库布里克, 主演: 马尔科姆·麦克道威尔 / 帕特里克·马基 / 迈克尔·贝茨, 类型: 犯罪 / 剧情 / 科幻, 制片国家/地区: 英国/美国, 年份: 1971",[A Clockwork Orange](https://www.imdb.com/title/tt0066921/),🌟8.3
Saving Private Ryan,Steven Spielberg,🎉071,1998,[拯救大兵瑞恩 Saving Private Ryan](https://movie.douban.com/subject/1292849/),🌟9.1,"导演: 史蒂文·斯皮尔伯格, 主演: 汤姆·汉克斯 / 汤姆·塞兹摩尔 / 爱德华·伯恩斯, 类型: 剧情 / 战争, 制片国家/地区: 美国, 年份: 1998",[Saving Private Ryan](https://www.imdb.com/title/tt0120815/),🌟8.6
The Shawshank Redemption,Frank Darabont,🎉072,1994,[肖申克的救赎 The Shawshank Redemption](https://movie.douban.com/subject/1292052/),🌟9.7,"导演: 弗兰克·德拉邦特, 主演: 蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿, 类型: 犯罪 / 剧情, 制片国家/地区: 美国, 年份: 1994",[The Shawshank Redemption](https://www.imdb.com/title/tt0111161/),🌟9.3
Butch Cassidy and the Sundance Kid,George Roy Hill,🎉073,1969,[虎豹小霸王 Butch Cassidy and the Sundance Kid](https://movie.douban.com/subject/1297602/),🌟8.6,"导演: 乔治·罗伊·希尔, 主演: 保罗·纽曼 / 罗伯特·雷德福 / 凯瑟琳·罗斯, 类型: 冒险 / 犯罪 / 剧情 / 西部, 制片国家/地区: 美国, 年份: 1969",[Butch Cassidy and the Sundance Kid](https://www.imdb.com/title/tt0064115/),🌟8
The Silence of the Lambs,Jonathan Demme,🎉074,1991,[沉默的羔羊 The Silence of the Lambs](https://movie.douban.com/subject/1293544/),🌟8.9,"导演: 乔纳森·戴米, 主演: 朱迪·福斯特 / 安东尼·霍普金斯 / 斯科特·格伦, 类型: 剧情 / 犯罪 / 惊悚, 制片国家/地区: 美国, 年份: 1991",[The Silence of the Lambs](https://www.imdb.com/title/tt0102926/),🌟8.6
In the Heat of the Night,Norman Jewison,🎉075,1967,[炎热的夜晚 In the Heat of the Night](https://movie.douban.com/subject/1295480/),🌟7.8,"导演: 诺曼·杰威森, 主演: 西德尼·波蒂埃 / 罗德·斯泰格尔 / 沃伦·奥茨, 类型: 犯罪 / 剧情 / 悬疑 / 惊悚, 制片国家/地区: 美国, 年份: 1967",[In the Heat of the Night](https://www.imdb.com/title/tt0061811/),🌟7.9
Forrest Gump,Robert Zemeckis,🎉076,1994,[阿甘正传 Forrest Gump](https://movie.douban.com/subject/1292720/),🌟9.5,"导演: 罗伯特·泽米吉斯, 主演: 汤姆·汉克斯 / 罗宾·怀特 / 加里·西尼斯, 类型: 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1994",[Forrest Gump](https://www.imdb.com/title/tt0109830/),🌟8.8
All the President's Men,Alan J. Pakula,🎉077,1976,[总统班底 All the President's Men](https://movie.douban.com/subject/1293715/),🌟8.0,"导演: 艾伦·J·帕库拉, 主演: 达斯汀·霍夫曼 / 罗伯特·雷德福 / 杰克·瓦尔登, 类型: 剧情 / 历史 / 惊悚, 制片国家/地区: 美国, 年份: 1976",[All the President's Men](https://www.imdb.com/title/tt0074119/),🌟7.9
Modern Times,Charlie Chaplin,🎉078,1936,[摩登时代 Modern Times](https://movie.douban.com/subject/1294371/),🌟9.3,"导演: 查理·卓别林, 主演: 查理·卓别林 / 宝莲·高黛 / 亨利·伯格曼, 类型: 剧情 / 喜剧 / 爱情, 制片国家/地区: 美国, 年份: 1936",[Modern Times](https://www.imdb.com/title/tt0027977/),🌟8.5
The Wild Bunch,Sam Peckinpah,🎉079,1969,[日落黄沙 The Wild Bunch](https://movie.douban.com/subject/1296963/),🌟8.3,"导演: 萨姆·佩金帕, 主演: 威廉·霍尔登 / 欧内斯特·博格宁 / 罗伯特·瑞安, 类型: 动作 / 西部, 制片国家/地区: 美国, 年份: 1969",[The Wild Bunch](https://www.imdb.com/title/tt0065214/),🌟7.9
The Apartment,Billy Wilder,🎉080,1960,[桃色公寓 The Apartment](https://movie.douban.com/subject/1394218/),🌟8.8,"导演: 比利·怀尔德, 主演: 杰克·莱蒙 / 雪莉·麦克雷恩 / 弗莱德·麦克莫瑞, 类型: 爱情 / 喜剧 / 剧情, 制片国家/地区: 美国, 年份: 1960",[The Apartment](https://www.imdb.com/title/tt0053604/),🌟8.3
Spartacus,"Stanley Kubrick, Anthony Mann",🎉081,1960,[斯巴达克斯 Spartacus](https://movie.douban.com/subject/1298366/),🌟8.1,"导演: 斯坦利·库布里克, 主演: 柯克·道格拉斯 / 劳伦斯·奥利弗 / 简·西蒙斯, 类型: 动作 / 冒险 / 传记 / 剧情 / 历史, 制片国家/地区: 美国, 年份: 1960",[Spartacus](https://www.imdb.com/title/tt0054331/),🌟7.9
Sunrise:  A Song of Two Humans,F. W. Murnau,🎉082,1927,[日出 Sunrise: A Song of Two Humans](https://movie.douban.com/subject/1295753/),🌟8.8,"导演: F·W·茂瑙, 主演: 乔治·奥布莱恩 / 珍妮·盖诺 / 玛格丽特·利文斯顿, 类型: 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1927",[Sunrise](https://www.imdb.com/title/tt0018455/),🌟8.1
Titanic,James Cameron,🎉083,1997,[泰坦尼克号 Titanic](https://movie.douban.com/subject/1292722/),🌟9.5,"导演: 詹姆斯·卡梅隆, 主演: 莱昂纳多·迪卡普里奥 / 凯特·温丝莱特 / 比利·赞恩, 类型: 剧情 / 爱情 / 灾难, 制片国家/地区: 美国/墨西哥, 年份: 1997",[Titanic](https://www.imdb.com/title/tt0120338/),🌟7.9
Easy Rider,Dennis Hopper,🎉084,1969,[逍遥骑士 Easy Rider](https://movie.douban.com/subject/1297646/),🌟8.3,"导演: 丹尼斯·霍珀, 主演: 彼得·方达 / 丹尼斯·霍珀 / 杰克·尼科尔森, 类型: 剧情 / 冒险, 制片国家/地区: 美国, 年份: 1969",[Easy Rider](https://www.imdb.com/title/tt0064276/),🌟7.3
A Night at the Opera,Sam Wood,🎉085,1935,[歌声俪影 A Night at the Opera](https://movie.douban.com/subject/1296879/),🌟7.2,"导演: 山姆·伍德 / 爱德芒德·古尔丁, 主演: 格劳乔·马克斯 / 奇科·马克斯 / 哈勃·马克斯, 类型: 喜剧 / 音乐 / 歌舞, 制片国家/地区: 美国, 年份: 1935",[A Night at the Opera](https://www.imdb.com/title/tt0026778/),🌟7.8
Platoon,Oliver Stone,🎉086,1986,[野战排 Platoon](https://movie.douban.com/subject/1293396/),🌟8.2,"导演: 奥利佛·斯通, 主演: 威廉·达福 / 查理·辛 / 汤姆·贝伦杰, 类型: 动作 / 剧情 / 战争, 制片国家/地区: 美国/英国, 年份: 1986",[Platoon](https://www.imdb.com/title/tt0091763/),🌟8.1
12 Angry Men,Sidney Lumet,🎉087,1957,[十二怒汉 12 Angry Men](https://movie.douban.com/subject/1293182/),🌟9.4,"导演: 西德尼·吕美特, 主演: 亨利·方达 / 马丁·鲍尔萨姆 / 约翰·菲德勒, 类型: 剧情, 制片国家/地区: 美国, 年份: 1957",[12 Angry Men](https://www.imdb.com/title/tt0050083/),🌟9
Bringing Up Baby,Howard Hawks,🎉088,1938,[育婴奇谭 Bringing Up Baby](https://movie.douban.com/subject/1297657/),🌟7.3,"导演: 霍华德·霍克斯, 主演: 凯瑟琳·赫本 / 加里·格兰特 / 查尔斯·拉格尔斯, 类型: 喜剧 / 爱情, 制片国家/地区: 美国, 年份: 1938",[Bringing Up Baby](https://www.imdb.com/title/tt0029947/),🌟7.8
The Sixth Sense,M. Night Shyamalan,🎉089,1999,[第六感 The Sixth Sense](https://movie.douban.com/subject/1297630/),🌟8.9,"导演: M·奈特·沙马兰, 主演: 布鲁斯·威利斯 / 海利·乔·奥斯蒙 / 托妮·科莱特, 类型: 剧情 / 悬疑 / 惊悚, 制片国家/地区: 美国, 年份: 1999",[The Sixth Sense](https://www.imdb.com/title/tt0167404/),🌟8.2
Swing Time,George Stevens,🎉090,1936,[摇摆乐时代 Swing Time](https://movie.douban.com/subject/1306624/),🌟7.6,"导演: 乔治·史蒂文斯, 主演: 弗雷德·阿斯泰尔 / 金杰·罗杰斯 / 维克托·摩尔, 类型: 喜剧 / 歌舞 / 爱情, 制片国家/地区: 美国, 年份: 1936",[Swing Time](https://www.imdb.com/title/tt0028333/),🌟7.5
Sophie's Choice,Alan J. Pakula,🎉091,1982,[苏菲的抉择 Sophie's Choice](https://movie.douban.com/subject/1293077/),🌟8.4,"导演: 艾伦·J·帕库拉, 主演: 梅丽尔·斯特里普 / 凯文·克莱恩 / 彼特·麦尼科, 类型: 剧情 / 爱情, 制片国家/地区: 英国/美国, 年份: 1982",[Sophie's Choice](https://www.imdb.com/title/tt0084707/),🌟7.5
Goodfellas,Martin Scorsese,🎉092,1990,[好家伙 GoodFellas](https://movie.douban.com/subject/1292268/),🌟8.5,"导演: 马丁·斯科塞斯, 主演: 罗伯特·德尼罗 / 雷·利奥塔 / 乔·佩西, 类型: 剧情 / 传记 / 犯罪, 制片国家/地区: 美国, 年份: 1990",[Goodfellas](https://www.imdb.com/title/tt0099685/),🌟8.7
The French Connection,William Friedkin,🎉093,1971,[法国贩毒网 The French Connection](https://movie.douban.com/subject/3013046/),🌟7.8,"导演: 威廉·弗莱德金, 主演: 吉恩·哈克曼 / 费尔南多·雷伊 / 罗伊·谢德, 类型: 动作 / 犯罪 / 惊悚, 制片国家/地区: 美国, 年份: 1971",[The French Connection](https://www.imdb.com/title/tt0067116/),🌟7.7
Pulp Fiction,Quentin Tarantino,🎉094,1994,[低俗小说 Pulp Fiction](https://movie.douban.com/subject/1291832/),🌟8.9,"导演: 昆汀·塔伦蒂诺, 主演: 约翰·特拉沃尔塔 / 乌玛·瑟曼 / 阿曼达·普拉莫, 类型: 剧情 / 喜剧 / 犯罪, 制片国家/地区: 美国, 年份: 1994",[Pulp Fiction](https://www.imdb.com/title/tt0110912/),🌟8.9
The Last Picture Show,Peter Bogdanovich,🎉095,1971,[最后一场电影 The Last Picture Show](https://movie.douban.com/subject/1298026/),🌟8.0,"导演: 彼得·博格丹诺维奇, 主演: 蒂姆斯·伯特姆斯 / 杰夫·布里吉斯 / 斯碧尔·谢波德, 类型: 剧情, 制片国家/地区: 美国, 年份: 1971",[The Last Picture Show](https://www.imdb.com/title/tt0067328/),🌟8
Do the Right Thing,Spike Lee,🎉096,1989,[为所应为 Do the Right Thing](https://movie.douban.com/subject/1293958/),🌟8.2,"导演: 斯派克·李, 主演: 丹尼·爱罗 / 奥西·戴维斯 / 露比·迪, 类型: 剧情 / 喜剧, 制片国家/地区: 美国, 年份: 1989",[Do the Right Thing](https://www.imdb.com/title/tt0097216/),🌟8
Blade Runner,Ridley Scott,🎉097,1982,[银翼杀手 Blade Runner](https://movie.douban.com/subject/1291839/),🌟8.6,"导演: 雷德利·斯科特, 主演: 哈里森·福特 / 鲁格·豪尔 / 肖恩·杨, 类型: 科幻 / 惊悚, 制片国家/地区: 美国, 年份: 1982",[Blade Runner](https://www.imdb.com/title/tt0083658/),🌟8.1
Yankee Doodle Dandy,Michael Curtiz,🎉098,1942,[胜利之歌 Yankee Doodle Dandy](https://movie.douban.com/subject/1295014/),🌟7.8,"导演: 迈克尔·柯蒂兹, 主演: 詹姆斯·卡格尼 / 琼·莱斯利 / 沃尔特·休斯顿, 类型: 传记 / 剧情 / 歌舞 / 爱情, 制片国家/地区: 美国, 年份: 1942",[Yankee Doodle Dandy](https://www.imdb.com/title/tt0035575/),🌟7.6
Toy Story,John Lasseter,🎉099,1995,[玩具总动员 Toy Story](https://movie.douban.com/subject/1291575/),🌟8.6,"导演: 约翰·拉塞特, 主演: 汤姆·汉克斯 / 蒂姆·艾伦 / 唐·里克斯, 类型: 喜剧 / 动画 / 家庭, 制片国家/地区: 美国, 年份: 1995",[Toy Story](https://www.imdb.com/title/tt0114709/),🌟8.3
Ben-Hur,William Wyler,🎉100,1959,[宾虚 Ben-Hur](https://movie.douban.com/subject/1293150/),🌟8.7,"导演: 威廉·惠勒, 主演: 查尔顿·赫斯顿 / 杰克·霍金斯 / 哈雅·哈拉里特, 类型: 剧情 / 动作 / 历史 / 战争 / 冒险, 制片国家/地区: 美国, 年份: 1959",[Ben-Hur](https://www.imdb.com/title/tt0052618/),🌟8.1
