Index,排名,电影名,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区
50,51,51、《幸福的黄手帕》（山田洋次，1977）,幸福的黄手帕 幸福の黄色いハンカチ,1977,[1305294](https://movie.douban.com/subject/1305294/),8.2,山田洋次,喜剧 / 剧情,日本
51,52,52、《蓝色山脉》（今井正，1949）,青色山峦 青い山脈,1949,[1479545](https://movie.douban.com/subject/1479545/),7.5,今井正,剧情 / 爱情,日本
52,52,52、《人间的条件》（全六部）（小林正树，1959－1961）,人间的条件(第一、二部) 人間の條件,1959,[1298561](https://movie.douban.com/subject/1298561/),8.8,小林正树,剧情 / 战争,日本
53,52,52、《野狗》（黑泽明，1949）,野良犬,1949,[1293107](https://movie.douban.com/subject/1293107/),8.4,黑泽明,剧情 / 犯罪,日本
54,52,52、《意乱情迷》（成濑巳喜男，1964）,情迷意乱 乱れる,1964,[1422091](https://movie.douban.com/subject/1422091/),9.1,成濑巳喜男,剧情 / 爱情 / 家庭,日本
55,52,52、《我出生了，但……》（小津安二郎，1932）,我出生了，但…… 大人の見る絵本 生れてはみたけれど,1932,[1299360](https://movie.douban.com/subject/1299360/),8.7,小津安二郎,喜剧 / 剧情,日本
56,52,52、《红发女》（神代辰已，1979）,红发女郎 赫い髪の女,1979,[1308123](https://movie.douban.com/subject/1308123/),5.7,神代辰巳,剧情 / 情色,日本
57,58,58、《山椒大夫》（沟口健二，1954）,山椒大夫,1954,[1303573](https://movie.douban.com/subject/1303573/),8.1,沟口健二,剧情,日本
58,58,58、《东京奥林匹克运动会》（市川昆，1965）,东京奥林匹克 東京オリンピック,1965,[1301138](https://movie.douban.com/subject/1301138/),8.6,市川昆,纪录片 / 运动,日本
59,58,58、《化铁炉之街》（浦山桐郎，1962）,化铁炉的街 キューポラのある街,1962,[1755008](https://movie.douban.com/subject/1755008/),7.8,浦山桐郎,剧情,日本
60,58,58、《安详之兽》（川岛雄三，1962）,安详之兽 しとやかな獣,1962,[1819305](https://movie.douban.com/subject/1819305/),8.1,川岛雄三,喜剧 / 剧情,日本
61,58,58、《三里冢，边田部落》（小川绅介，1973）,三里塚 边田部落 三里塚 辺田部落,1973,[1845753](https://movie.douban.com/subject/1845753/),8.8,小川绅介,纪录片,日本
62,63,63、《烧毁》（市川昆，1958）,野火,1959,[1296872](https://movie.douban.com/subject/1296872/),8.2,市川昆,剧情 / 战争,日本
63,63,63、《元禄忠臣藏，前后篇》（沟口健二，1941－1942）,元禄忠臣藏 前篇 元禄忠臣蔵 前篇,1941,[1298969](https://movie.douban.com/subject/1298969/),7.8,沟口健二,动作 / 剧情 / 历史,日本
64,63,63、《歌行灯》（成濑巳喜男，1943）,歌行灯 歌行燈,1943,[1467028](https://movie.douban.com/subject/1467028/),7.1,成濑巳喜男,剧情,日本
65,63,63、《陆军》（木下惠介，1944）,陆军 陸軍,1944,[1770478](https://movie.douban.com/subject/1770478/),7.3,木下惠介,剧情 / 战争,日本
66,67,67、《弟弟》（市川昆，1960）,弟弟 おとうと,1960,[1302213](https://movie.douban.com/subject/1302213/),7.4,市川昆,剧情,日本
67,67,67、《饭》（成濑巳喜男，1951）,饭 めし,1951,[1424618](https://movie.douban.com/subject/1424618/),8.2,成濑巳喜男,剧情,日本
68,67,67、《你像一朵野菊花》（木下惠介，1955）,野菊之墓 野菊の如き君なりき,1955,[1308447](https://movie.douban.com/subject/1308447/),8.1,木下惠介,剧情 / 爱情,日本
69,67,67、《(秘)色情应召市场》（田中登，1974）,秘记·色情雌性市场 (秘)色情めす市場,1974,[3714084](https://movie.douban.com/subject/3714084/),7.0,田中登, ,日本
70,67,67、《仪式》（大岛渚，1971）,仪式 儀式,1971,[1300510](https://movie.douban.com/subject/1300510/),8.1,大岛渚,剧情,日本
71,72,72、《一条小百合，湿濡的情欲》（神代辰巳，1972）,百合潮湿的欲望（一条小百合，湿濡的情欲） 一条さゆり 濡れた欲情,1972,[1760293](https://movie.douban.com/subject/1760293/),5.7,神代辰巳,剧情,日本
72,72,72、《呼风唤雨的十八人》（吉田喜重，1963）,风暴时代 嵐を呼ぶ十八人,1963,[2160610](https://movie.douban.com/subject/2160610/),7.3,吉田喜重,剧情,日本
73,72,72、《次郎长三国志》（全九部）（牧野雅弘，1952－1954）,次郎長三国志 第一部 次郎長売出す,1952,[4168183](https://movie.douban.com/subject/4168183/), ,牧野正博,动作 / 剧情,日本
74,72,72、《诸神的欲望》（今村昌平，1968）,诸神的欲望 神々の深き欲望,1968,[1299125](https://movie.douban.com/subject/1299125/),8.4,今村昌平,剧情,日本
75,72,72、《奋发》（野村芳太郎，1958）,监视 張込み,1958,[1840429](https://movie.douban.com/subject/1840429/),7.6,野村芳太郎,剧情 / 犯罪 / 悬疑,日本
