序号,豆瓣电影,年份,豆瓣打分,豆瓣信息,IMDb电影,IMDb年份,IMDb打分,IMDb信息,烂番茄电影,烂番茄年份,烂番茄新鲜度
989,[夺金三王 Three Kings](https://movie.douban.com/subject/1294202/),1999.0,7.0,导演: 大卫·O·拉塞尔; 类型: 喜剧; 地区: 美国,[The Sixth Sense](https://www.imdb.com/title/tt0167404/),1999,8.2,"PG-13 | 107 min | Drama, Mystery, Thriller",[Being John Malkovich](https://www.rottentomatoes.com/m/being_john_malkovich/),1999,94%
990,[随风而逝 باد ما را خواهد برد](https://movie.douban.com/subject/1303444/),1999.0,8.1,导演: 阿巴斯·基亚罗斯塔米; 类型: 剧情; 地区: 伊朗/法国,[Three Kings](https://www.imdb.com/title/tt0120188/),1999,7.1,"R | 114 min | Action, Adventure, Comedy",[The Sixth Sense](https://www.rottentomatoes.com/m/sixth_sense/),1999,86%
991,,0.0,,,[Magnolia](https://www.imdb.com/title/tt0175880/),1999,8,R | 188 min | Drama,[Three Kings](https://www.rottentomatoes.com/m/three_kings/),1999,94%
992,"[追忆似水年华 Le temps retrouvé, d'après l'oeuvre de Marcel Proust](https://movie.douban.com/subject/1301670/)",1999.0,7.6,导演: 劳尔·鲁伊斯; 类型: 剧情; 地区: 法国/意大利/葡萄牙,[Fight Club](https://www.imdb.com/title/tt0137523/),1999,8.8,R | 139 min | Drama,[Magnolia](https://www.rottentomatoes.com/m/magnolia/),1999,83%
993,[搏击俱乐部 Fight Club](https://movie.douban.com/subject/1292000/),1999.0,9.0,导演: 大卫·芬奇; 类型: 剧情; 地区: 美国,[Ôdishon](https://www.imdb.com/title/tt0235198/),1999,7.1,"R | 115 min | Drama, Horror, Mystery",[Fight Club](https://www.rottentomatoes.com/m/fight_club/),1999,79%
994,[成为约翰·马尔科维奇 Being John Malkovich](https://movie.douban.com/subject/1292279/),1999.0,8.3,导演: 斯派克·琼斯; 类型: 喜剧; 地区: 美国,[American Beauty](https://www.imdb.com/title/tt0169547/),1999,8.3,R | 122 min | Drama,[Audition](https://www.rottentomatoes.com/m/audition_1999/),1999,82%
995,[美国丽人 American Beauty](https://movie.douban.com/subject/1292062/),1999.0,8.5,导演: 萨姆·门德斯; 类型: 剧情; 地区: 美国,[Beau Travail](https://www.imdb.com/title/tt0209933/),1999,7.3,"92 min | Drama, War",[American Beauty](https://www.rottentomatoes.com/m/american_beauty/),1999,87%
996,[加油站袭击事件 주유소 습격 사건](https://movie.douban.com/subject/1302165/),1999.0,7.6,导演: 金相辰; 类型: 喜剧; 地区: 韩国,[Todo sobre mi madre](https://www.imdb.com/title/tt0185125/),1999,7.8,"R | 101 min | Comedy, Drama, Romance",[Beau Travail](https://www.rottentomatoes.com/m/beau_travail/),2000,85%
997,[大开眼戒 Eyes Wide Shut](https://movie.douban.com/subject/1300275/),1999.0,8.1,导演: 斯坦利·库布里克; 类型: 剧情; 地区: 英国/美国,[The Matrix](https://www.imdb.com/title/tt0133093/),1999,8.7,"R | 136 min | Action, Sci-Fi",[All About My Mother](https://www.rottentomatoes.com/m/todo_sobre_mi_madre_1999/),1999,98%
998,[第六感 The Sixth Sense](https://movie.douban.com/subject/1297630/),1999.0,8.9,导演: M·奈特·沙马兰; 类型: 剧情; 地区: 美国,[Gohatto](https://www.imdb.com/title/tt0213682/),1999,6.8,"100 min | Drama, History, Thriller",[Taboo](https://www.rottentomatoes.com/m/taboo_2000/),1999,71%
999,[黑客帝国 The Matrix](https://movie.douban.com/subject/1291843/),1999.0,9.1,导演: 莉莉·沃卓斯基; 类型: 动作; 地区: 美国,[Rosetta](https://www.imdb.com/title/tt0200071/),1999,7.4,R | 95 min | Drama,[Rosetta](https://www.rottentomatoes.com/m/rosetta/),1999,90%
1000,[玩具总动员2 Toy Story 2](https://movie.douban.com/subject/1291574/),1999.0,8.5,导演: 约翰·拉塞特; 类型: 喜剧; 地区: 美国,[Bad ma ra khahad bord](https://www.imdb.com/title/tt0209463/),1999,7.4,118 min | Drama,[The Wind Will Carry Us](https://www.rottentomatoes.com/m/the_wind_will_carry_us/),1999,97%
1001,[九个皇后 Nueve reinas](https://movie.douban.com/subject/1400650/),2000.0,7.5,导演: 法比安·别林斯基; 类型: 喜剧; 地区: 阿根廷,"[Le temps retrouvé, d'après l'oeuvre de Marcel Proust](https://www.imdb.com/title/tt0189142/)",1999,6.7,"169 min | Drama, Romance, War",[Time Regained](https://www.rottentomatoes.com/m/time_regained/),1999,71%
1002,[迷惑 La Captive](https://movie.douban.com/subject/1303443/),2000.0,7.3,导演: 香特尔·阿克曼; 类型: 剧情; 地区: 法国/比利时,[Juyuso seubgyuksageun](https://www.imdb.com/title/tt0262246/),1999,6.9,"R | 113 min | Comedy, Crime",Attack the Gas Station!,1999,
1003,[花样年华 花樣年華](https://movie.douban.com/subject/1291557/),2000.0,8.7,导演: 王家卫; 类型: 剧情; 地区: 中国香港,[Eyes Wide Shut](https://www.imdb.com/title/tt0120663/),1999,7.5,"R | 159 min | Drama, Mystery, Thriller",[Eyes Wide Shut](https://www.rottentomatoes.com/m/eyes_wide_shut/),1999,75%
1004,"[摩洛哥街童 Ali Zaoua, prince de la rue](https://movie.douban.com/subject/1300596/)",2000.0,7.6,导演: 那比尔·艾奥殊; 类型: 剧情; 地区: 比利时/法国/摩洛哥/突尼斯,[Les glaneurs et la glaneuse](https://www.imdb.com/title/tt0247380/),2000,7.7,82 min | Documentary,[The Gleaners & I](https://www.rottentomatoes.com/m/the_gleaners_and_i/),2000,93%
1005,[角斗士 Gladiator](https://movie.douban.com/subject/1293530/),2000.0,8.6,导演: 雷德利·斯科特; 类型: 剧情; 地区: 美国/英国/马耳他/摩洛哥,[Fa yeung nin wah](https://www.imdb.com/title/tt0118694/),2000,8.1,"PG | 98 min | Drama, Romance",[In the Mood for Love](https://www.rottentomatoes.com/m/in_the_mood_for_love_2001/),2000,91%
1006,[赎罪日 Kippur](https://movie.douban.com/subject/1306497/),2000.0,6.4,导演: 阿莫斯·吉泰; 类型: 剧情; 地区: 以色列/法国,[Gladiator](https://www.imdb.com/title/tt0172495/),2000,8.5,"R | 155 min | Action, Adventure, Drama",[Gladiator](https://www.rottentomatoes.com/m/gladiator/),2000,77%
1007,[一一](https://movie.douban.com/subject/1292434/),2000.0,9.1,导演: 杨德昌; 类型: 剧情; 地区: 中国台湾/日本,[Kippur](https://www.imdb.com/title/tt0218379/),2000,6.4,"117 min | Drama, War",[Kippur](https://www.rottentomatoes.com/m/very-private-lesson/),2000,81%
1008,[梦之安魂曲 Requiem for a Dream](https://movie.douban.com/subject/1292270/),2000.0,8.8,导演: 达伦·阿伦诺夫斯基; 类型: 剧情; 地区: 美国,[Yi yi](https://www.imdb.com/title/tt0244316/),2000,8.1,"173 min | Drama, Romance",Yi Yi,2000,
1009,[爱情是狗娘 Amores perros](https://movie.douban.com/subject/1292216/),2000.0,8.2,导演: 亚利桑德罗·冈萨雷斯·伊纳里多; 类型: 剧情; 地区: 墨西哥,[Requiem for a Dream](https://www.imdb.com/title/tt0180093/),2000,8.3,R | 102 min | Drama,[Requiem for a Dream](https://www.rottentomatoes.com/m/requiem_for_a_dream/),2000,79%
1010,[拜见岳父大人 Meet the Parents](https://movie.douban.com/subject/1294829/),2000.0,7.1,导演: 杰伊·罗奇; 类型: 喜剧; 地区: 美国,[Amores perros](https://www.imdb.com/title/tt0245712/),2000,8.1,"R | 154 min | Drama, Thriller",[Amores Perros](https://www.rottentomatoes.com/m/amores_perros/),2000,93%
1011,[不义之徒 Signs & Wonders](https://movie.douban.com/subject/1998155/),2000.0,,导演: 乔纳森·诺西特; 类型: 剧情; 地区: 法国,[Memento](https://www.imdb.com/title/tt0209144/),2000,8.4,"R | 113 min | Mystery, Thriller",[Memento](https://www.rottentomatoes.com/m/memento/),2000,93%
1012,[卧虎藏龙 臥虎藏龍](https://movie.douban.com/subject/1301168/),2000.0,8.4,导演: 李安; 类型: 剧情; 地区: 中国台湾/中国香港/美国/中国大陆,[Wo hu cang long](https://www.imdb.com/title/tt0190332/),2000,7.9,"PG-13 | 120 min | Action, Adventure, Drama","[Crouching Tiger, Hidden Dragon](https://www.rottentomatoes.com/m/crouching_tiger_hidden_dragon/)",2000,97%
1013,[毒品网络 Traffic](https://movie.douban.com/subject/1299235/),2000.0,7.6,导演: 史蒂文·索德伯格; 类型: 犯罪; 地区: 美国/墨西哥/德国,[Nueve reinas](https://www.imdb.com/title/tt0247586/),2000,7.9,"R | 114 min | Crime, Drama, Thriller",[Nine Queens](https://www.rottentomatoes.com/m/nine_queens/),2000,92%
1014,[拾穗者 Les glaneurs et la glaneuse](https://movie.douban.com/subject/1301279/),2000.0,9.1,导演: 阿涅斯·瓦尔达; 类型: 纪录片; 地区: 法国,[La captive](https://www.imdb.com/title/tt0216605/),2000,6,"118 min | Drama, Music, Romance",[The Captive](https://www.rottentomatoes.com/m/la-captive-the-captive/),2000,77%
1015,[记忆碎片 Memento](https://movie.douban.com/subject/1304447/),2000.0,8.7,导演: 克里斯托弗·诺兰; 类型: 犯罪; 地区: 美国,"[Ali Zaoua, prince de la rue](https://www.imdb.com/title/tt0260688/)",2000,7.3,"99 min | Drama, Crime",[Ali Zaoua: Prince of the Streets](https://www.rottentomatoes.com/m/ali-zaoua/),2000,73%
1016,[黑暗中的舞者 Dancer in the Dark](https://movie.douban.com/subject/1291562/),2000.0,8.2,导演: 拉斯·冯·提尔; 类型: 剧情; 地区: 丹麦/德国/荷兰/意大利/美国/英国/法国/瑞典/芬兰/冰岛/阿根廷/挪威/中国台湾/比利时,[Meet the Parents](https://www.imdb.com/title/tt0212338/),2000,7,"PG-13 | 108 min | Comedy, Romance",[Meet the Parents](https://www.rottentomatoes.com/m/meet_the_parents/),2000,84%
1017,"[逃狱三王 O Brother, Where Art Thou?](https://movie.douban.com/subject/1292264/)",2000.0,7.9,导演: 乔尔·科恩; 类型: 喜剧; 地区: 英国/法国/美国,[Signs & Wonders](https://www.imdb.com/title/tt0230783/),2000,5.9,105 min | Drama,[Signs & Wonders](https://www.rottentomatoes.com/m/signs_and_wonders/),2001,66%
1018,[天使爱美丽 Le fabuleux destin d'Amélie Poulain](https://movie.douban.com/subject/1292215/),2001.0,8.7,导演: 让-皮埃尔·热内; 类型: 剧情; 地区: 法国/德国,[Traffic](https://www.imdb.com/title/tt0181865/),2000,7.6,"R | 147 min | Crime, Drama, Thriller",[Traffic](https://www.rottentomatoes.com/m/1103281-traffic/),2000,92%
1019,[你那边几点 你那邊幾點](https://movie.douban.com/subject/1294540/),2001.0,8.0,导演: 蔡明亮; 类型: 剧情; 地区: 法国/中国台湾,[Dancer in the Dark](https://www.imdb.com/title/tt0168629/),2000,7.9,"R | 140 min | Crime, Drama, Musical",[Dancer in the Dark](https://www.rottentomatoes.com/m/dancer_in_the_dark/),2000,69%
1020,[你妈妈也一样 Y tu mamá también](https://movie.douban.com/subject/1303333/),2001.0,7.6,导演: 阿方索·卡隆; 类型: 剧情; 地区: 墨西哥,"[O Brother, Where Art Thou?](https://www.imdb.com/title/tt0190590/)",2000,7.7,"PG-13 | 107 min | Adventure, Comedy, Crime","[O Brother, Where Art Thou?](https://www.rottentomatoes.com/m/o_brother_where_art_thou/)",2000,78%
1021,[坎大哈 سفر قندهار](https://movie.douban.com/subject/1295091/),2001.0,8.0,导演: 莫森·玛克玛尔巴夫; 类型: 传记; 地区: 伊朗/法国,[The Lord of the Rings: The Fellowship of the Ring](https://www.imdb.com/title/tt0120737/),2001,8.8,"PG-13 | 178 min | Action, Adventure, Drama",[The Lord of the Rings: The Fellowship of the Ring](https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring/),2001,91%
1022,[千与千寻 千と千尋の神隠し](https://movie.douban.com/subject/1291561/),2001.0,9.4,导演: 宫崎骏; 类型: 剧情; 地区: 日本,[The Lord of the Rings: The Two Towers](https://www.imdb.com/title/tt0167261/),2002,8.8,"PG-13 | 179 min | Action, Adventure, Drama",[The Lord of the Rings: The Two Towers](https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_two_towers/),2002,95%
1023,[钢琴教师 La pianiste](https://movie.douban.com/subject/1306730/),2001.0,7.5,导演: 迈克尔·哈内克; 类型: 剧情; 地区: 奥地利/法国/德国,[The Lord of the Rings: The Return of the King](https://www.imdb.com/title/tt0167260/),2003,9,"PG-13 | 201 min | Action, Adventure, Drama",[The Lord of the Rings: The Return of the King](https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king/),2003,93%
1024,[儿子的房间 La stanza del figlio](https://movie.douban.com/subject/1306524/),2001.0,7.9,导演: 南尼·莫莱蒂; 类型: 剧情; 地区: 法国/意大利,[Sen to Chihiro no kamikakushi](https://www.imdb.com/title/tt0245429/),2001,8.6,"PG | 125 min | Animation, Adventure, Family",[Spirited Away](https://www.rottentomatoes.com/m/spirited_away/),2001,97%
1025,[无主之地 Ničija zemlja](https://movie.douban.com/subject/1306303/),2001.0,8.6,导演: 丹尼斯·塔诺维奇; 类型: 剧情; 地区: 波黑/斯洛文尼亚/意大利/法国/英国/比利时,[No Man's Land](https://www.imdb.com/title/tt0283509/),2001,7.9,"R | 98 min | Comedy, Drama, War",[No Man's Land](https://www.rottentomatoes.com/m/no_mans_land/),2001,93%
1026,[红磨坊 Moulin Rouge!](https://movie.douban.com/subject/1304641/),2001.0,7.9,导演: 巴兹·鲁赫曼; 类型: 剧情; 地区: 澳大利亚/美国,[Le fabuleux destin d'Amélie Poulain](https://www.imdb.com/title/tt0211915/),2001,8.3,"R | 122 min | Comedy, Romance",[Amélie](https://www.rottentomatoes.com/m/amelie/),2001,89%
1027,[季风婚宴 Monsoon Wedding](https://movie.douban.com/subject/1307772/),2001.0,7.6,导演: 米拉·奈尔; 类型: 喜剧; 地区: 印度/美国/法国/意大利/德国,[Ni na bian ji dian](https://www.imdb.com/title/tt0269746/),2001,7.3,"116 min | Drama, Romance",[What Time Is It There?](https://www.rottentomatoes.com/m/what_time_is_it_there/),2001,85%
1028,,0.0,,,[Y tu mamá también](https://www.imdb.com/title/tt0245574/),2001,7.7,R | 106 min | Drama,[Y Tu Mamá También](https://www.rottentomatoes.com/m/y_tu_mama_tambien/),2001,92%
1029,[穆赫兰道 Mulholland Dr.](https://movie.douban.com/subject/1292217/),2001.0,8.4,导演: 大卫·林奇; 类型: 剧情; 地区: 法国/美国,[Safar-e Ghandehar](https://www.imdb.com/title/tt0283431/),2001,6.8,85 min | Drama,[Kandahar](https://www.rottentomatoes.com/m/kandahar/),2001,89%
1030,[天才一族 The Royal Tenenbaums](https://movie.douban.com/subject/1306031/),2001.0,8.1,导演: 韦斯·安德森; 类型: 剧情; 地区: 美国,[La pianiste](https://www.imdb.com/title/tt0254686/),2001,7.5,"R | 131 min | Drama, Music",[The Piano Teacher](https://www.rottentomatoes.com/m/piano_teacher/),2001,73%
1031,[指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring](https://movie.douban.com/subject/1291571/),2001.0,9.1,导演: 彼得·杰克逊; 类型: 剧情; 地区: 新西兰/美国,[La stanza del figlio](https://www.imdb.com/title/tt0208990/),2001,7.3,R | 99 min | Drama,[The Son's Room](https://www.rottentomatoes.com/m/la_stanza_del_figlio/),2001,85%
1032,[人工智能 A.I. Artificial Intelligence](https://movie.douban.com/subject/1302827/),2001.0,8.7,导演: 史蒂文·斯皮尔伯格; 类型: 剧情; 地区: 美国/英国,[Moulin Rouge!](https://www.imdb.com/title/tt0203009/),2001,7.6,"PG-13 | 127 min | Drama, Musical, Romance",[Moulin Rouge!](https://www.rottentomatoes.com/m/1107863-moulin_rouge/),2001,76%
1033,[爱情无色无味 Lantana](https://movie.douban.com/subject/1303123/),2001.0,7.4,导演: 雷·劳伦斯; 类型: 剧情; 地区: 澳大利亚/德国,[Monsoon Wedding](https://www.imdb.com/title/tt0265343/),2001,7.3,"R | 114 min | Comedy, Drama, Romance",[Monsoon Wedding](https://www.rottentomatoes.com/m/monsoon_wedding/),2001,95%
1034,[纽约黑帮 Gangs of New York](https://movie.douban.com/subject/1301061/),2002.0,7.6,导演: 马丁·斯科塞斯; 类型: 剧情; 地区: 美国/意大利,[À ma soeur!](https://www.imdb.com/title/tt0243255/),2001,6.4,95 min | Drama,[Fat Girl](https://www.rottentomatoes.com/m/fat_girl/),2001,74%
1035,[钢琴家 The Pianist](https://movie.douban.com/subject/1296736/),2002.0,9.3,导演: 罗曼·波兰斯基; 类型: 剧情; 地区: 英国/法国/波兰/德国,[Mulholland Dr.](https://www.imdb.com/title/tt0166924/),2001,7.9,"R | 147 min | Drama, Mystery, Thriller",[Mulholland Drive](https://www.rottentomatoes.com/m/mulholland_dr/),2001,84%
1036,[对她说 Hable con ella](https://movie.douban.com/subject/1292211/),2002.0,8.5,导演: 佩德罗·阿莫多瓦; 类型: 剧情; 地区: 西班牙,[The Royal Tenenbaums](https://www.imdb.com/title/tt0265666/),2001,7.6,"R | 110 min | Comedy, Drama",[The Royal Tenenbaums](https://www.rottentomatoes.com/m/the_royal_tenenbaums/),2001,81%
1037,[上帝之城 Cidade de Deus](https://movie.douban.com/subject/1292208/),2002.0,9.0,导演: 费尔南多·梅里尔斯; 类型: 犯罪; 地区: 巴西/法国,[Lantana](https://www.imdb.com/title/tt0259393/),2001,7.2,"R | 121 min | Drama, Mystery, Romance",[Lantana](https://www.rottentomatoes.com/m/lantana/),2001,90%
1038,[俄罗斯方舟 Русский ковчег](https://movie.douban.com/subject/1302279/),2002.0,7.5,导演: 亚历山大·索科洛夫; 类型: 剧情; 地区: 俄罗斯/德国/日本/加拿大/芬兰/丹麦,[A.I. Artificial Intelligence](https://www.imdb.com/title/tt0212720/),2001,7.2,"PG-13 | 146 min | Drama, Sci-Fi",[A.I. Artificial Intelligence](https://www.rottentomatoes.com/m/ai_artificial_intelligence/),2001,75%
1039,[芝加哥 Chicago](https://movie.douban.com/subject/1307697/),2002.0,8.9,导演: 罗伯·马歇尔; 类型: 喜剧; 地区: 美国/德国,[Gangs of New York](https://www.imdb.com/title/tt0217505/),2002,7.5,"R | 167 min | Crime, Drama",[Gangs of New York](https://www.rottentomatoes.com/m/gangs_of_new_york/),2002,72%
1040,[改编剧本 Adaptation.](https://movie.douban.com/subject/1302193/),2002.0,7.6,导演: 斯派克·琼斯; 类型: 喜剧; 地区: 美国,[Russkiy kovcheg](https://www.imdb.com/title/tt0318034/),2002,7.2,"99 min | Drama, Fantasy, History",[Russian Ark](https://www.rottentomatoes.com/m/russian_ark/),2002,89%
1041,[远离天堂 Far from Heaven](https://movie.douban.com/subject/1305986/),2002.0,7.6,导演: 托德·海因斯; 类型: 剧情; 地区: 美国/法国,[Bowling for Columbine](https://www.imdb.com/title/tt0310793/),2002,8,"R | 120 min | Documentary, Crime, Drama",[Bowling for Columbine](https://www.rottentomatoes.com/m/bowling_for_columbine/),2002,95%
1042,[英雄](https://movie.douban.com/subject/1306123/),2002.0,7.6,导演: 张艺谋; 类型: 剧情; 地区: 中国大陆/中国香港,[Cidade de Deus](https://www.imdb.com/title/tt0317248/),2002,8.6,"R | 130 min | Crime, Drama",[City of God](https://www.rottentomatoes.com/m/city_of_god/),2002,91%
1043,[指环王2：双塔奇兵 The Lord of the Rings: The Two Towers](https://movie.douban.com/subject/1291572/),2002.0,9.2,导演: 彼得·杰克逊; 类型: 剧情; 地区: 美国/新西兰,[Hable con ella](https://www.imdb.com/title/tt0287467/),2002,7.9,"R | 112 min | Drama, Mystery, Romance",[Talk to Her](https://www.rottentomatoes.com/m/talk_to_her/),2002,91%
1044,[巴士174事件 Ônibus 174](https://movie.douban.com/subject/1419267/),2002.0,8.2,导演: 何塞·帕迪里亚; 类型: 纪录片; 地区: 巴西,[The Pianist](https://www.imdb.com/title/tt0253474/),2002,8.5,"R | 150 min | Biography, Drama, Music",[The Pianist](https://www.rottentomatoes.com/m/pianist/),2002,95%
1045,[远方 Uzak](https://movie.douban.com/subject/1307921/),2002.0,8.3,导演: 努里·比格·锡兰; 类型: 剧情; 地区: 土耳其,[Adaptation.](https://www.imdb.com/title/tt0268126/),2002,7.7,"R | 115 min | Comedy, Drama",[Adaptation.](https://www.rottentomatoes.com/m/1118700-adaptation/),2002,90%
1046,[漫漫回家路 Rabbit-Proof Fence](https://movie.douban.com/subject/1305399/),2002.0,7.8,导演: 菲利普·诺伊斯; 类型: 冒险; 地区: 澳大利亚,[Far from Heaven](https://www.imdb.com/title/tt0297884/),2002,7.3,"PG-13 | 107 min | Drama, Romance",[Far From Heaven](https://www.rottentomatoes.com/m/far_from_heaven/),2002,87%
1047,,0.0,,,[Chicago](https://www.imdb.com/title/tt0299658/),2002,7.2,"PG-13 | 113 min | Comedy, Crime, Musical",[Chicago](https://www.rottentomatoes.com/m/chicago/),2002,86%
1048,[科伦拜校园事件 Bowling for Columbine](https://movie.douban.com/subject/1297112/),2002.0,8.6,导演: 迈克尔·摩尔; 类型: 纪录片; 地区: 加拿大/美国/德国,[Ying xiong](https://www.imdb.com/title/tt0299977/),2002,7.9,"PG-13 | 120 min | Action, Adventure, Drama",[Hero](https://www.rottentomatoes.com/m/hero),2002,94%
1049,[野蛮入侵 Les invasions barbares](https://movie.douban.com/subject/1301148/),2003.0,7.7,导演: 丹尼斯·阿康特; 类型: 喜剧; 地区: 加拿大/法国,[Uzak](https://www.imdb.com/title/tt0346094/),2002,7.5,110 min | Drama,[Distant](https://www.rottentomatoes.com/m/distant/),2002,87%
1050,[杀死比尔 Kill Bill: Vol. 1](https://movie.douban.com/subject/1291580/),2003.0,8.3,导演: 昆汀·塔伦蒂诺; 类型: 动作; 地区: 美国,[Rabbit-Proof Fence](https://www.imdb.com/title/tt0252444/),2002,7.4,"PG | 94 min | Biography, Drama",[Rabbit-Proof Fence](https://www.rottentomatoes.com/m/rabbitproof_fence/),2002,88%
1051,[老男孩 올드보이](https://movie.douban.com/subject/1308865/),2003.0,8.3,导演: 朴赞郁; 类型: 剧情; 地区: 韩国,[Irréversible](https://www.imdb.com/title/tt0290673/),2002,7.3,"97 min | Crime, Drama, Mystery",[Irreversible](https://www.rottentomatoes.com/m/irreversible/),2002,57%
1052,[再见列宁 Good Bye Lenin!](https://movie.douban.com/subject/1292055/),2003.0,8.8,导演: 沃尔夫冈·贝克; 类型: 剧情; 地区: 德国,[Ônibus 174](https://www.imdb.com/title/tt0340468/),2002,7.8,"R | 150 min | Documentary, Crime",[Bus 174](https://www.rottentomatoes.com/m/bus_174/),2002,96%
1053,[指环王3：王者无敌 The Lord of the Rings: The Return of the King](https://movie.douban.com/subject/1291552/),2003.0,9.3,导演: 彼得·杰克逊; 类型: 剧情; 地区: 美国/新西兰,[Elephant](https://www.imdb.com/title/tt0363589/),2003,7.1,"R | 81 min | Crime, Drama, Thriller",[Elephant](https://www.rottentomatoes.com/m/elephant/),2003,73%
1054,[灿烂人生 La meglio gioventù](https://movie.douban.com/subject/1291831/),2003.0,9.4,导演: 马可·图利奥·吉奥达纳; 类型: 剧情; 地区: 意大利,[Aileen: Life and Death of a Serial Killer](https://www.imdb.com/title/tt0364930/),2003,7.1,"R | 93 min | Documentary, Crime",[Aileen: Life and Death of a Serial Killer](https://www.rottentomatoes.com/m/aileen_life_and_death_of_a_serial_killer/),2003,86%
1055,[迷失东京 Lost in Translation](https://movie.douban.com/subject/1291835/),2003.0,7.8,导演: 索菲亚·科波拉; 类型: 剧情; 地区: 美国/日本,[Oldeuboi](https://www.imdb.com/title/tt0364569/),2003,8.4,"17 | 120 min | Action, Drama, Mystery",[Oldboy](https://www.rottentomatoes.com/m/oldboy/),2003,81%
1056,[大象 Elephant](https://movie.douban.com/subject/1292272/),2003.0,7.9,导演: 格斯·范·桑特; 类型: 犯罪; 地区: 美国,[Good Bye Lenin!](https://www.imdb.com/title/tt0301357/),2003,7.7,"R | 121 min | Comedy, Drama, Romance","[Good Bye, Lenin!](https://www.rottentomatoes.com/m/good_bye_lenin/)",2003,90%
1057,[一个连环杀手的生与死 Aileen: Life and Death of a Serial Killer](https://movie.douban.com/subject/1424476/),2003.0,8.0,导演: Nick Broomfield; 类型: 纪录片; 地区: 英国/美国,[Osama](https://www.imdb.com/title/tt0368913/),2003,7.3,PG-13 | 83 min | Drama,[Osama](https://www.rottentomatoes.com/m/osama/),2003,96%
1058,[奥萨玛 Osama](https://movie.douban.com/subject/1400889/),2003.0,7.9,导演: 斯迪克·巴尔马克; 类型: 剧情; 地区: 阿富汗/爱尔兰/日本/伊朗/荷兰,[Les invasions barbares](https://www.imdb.com/title/tt0338135/),2003,7.5,"R | 99 min | Comedy, Crime, Drama",[The Barbarian Invasions](https://www.rottentomatoes.com/m/barbarian_invasions/),2003,81%
1059,[华氏9/11 Fahrenheit 9/11](https://movie.douban.com/subject/1308774/),2004.0,7.9,导演: 迈克尔·摩尔; 类型: 历史; 地区: 美国,[Kill Bill: Vol. 1](https://www.imdb.com/title/tt0266697/),2003,8.2,"R | 111 min | Action, Crime, Thriller",[Kill Bill: Vol. 1](https://www.rottentomatoes.com/m/kill_bill_vol_1/),2003,85%
1060,[耶稣受难记 The Passion of the Christ](https://movie.douban.com/subject/1308750/),2004.0,7.9,导演: 梅尔·吉布森; 类型: 剧情; 地区: 美国,[La meglio gioventù](https://www.imdb.com/title/tt0346336/),2003,8.5,"R | 366 min | Drama, Romance",[The Best of Youth](https://www.rottentomatoes.com/m/best_of_youth/),2003,94%
1061,[借刀杀人 Collateral](https://movie.douban.com/subject/1308762/),2004.0,7.5,导演: 迈克尔·曼; 类型: 犯罪; 地区: 美国,[Lost in Translation](https://www.imdb.com/title/tt0335266/),2003,7.7,"R | 102 min | Comedy, Drama",[Lost in Translation](https://www.rottentomatoes.com/m/lost_in_translation/),2003,95%
1062,[飞行家 The Aviator](https://movie.douban.com/subject/1309070/),2004.0,8.1,导演: 马丁·斯科塞斯; 类型: 剧情; 地区: 美国/德国,[Gegen die Wand](https://www.imdb.com/title/tt0347048/),2004,7.9,"R | 121 min | Drama, Romance",[Head-On](https://www.rottentomatoes.com/m/punk-drunk-love-the-images-of-mick-rock/),2004,90%
1063,[百万美元宝贝 Million Dollar Baby](https://movie.douban.com/subject/1309016/),2004.0,8.7,导演: 克林特·伊斯特伍德; 类型: 剧情; 地区: 美国,[Le conseguenze dell'amore](https://www.imdb.com/title/tt0398883/),2004,7.5,"100 min | Crime, Drama, Romance",[The Consequences of Love](https://www.rottentomatoes.com/m/consequences_of_love/),2004,83%
1064,[帝国的毁灭 Der Untergang](https://movie.douban.com/subject/1309115/),2004.0,8.9,导演: 奥利弗·希施比格尔; 类型: 剧情; 地区: 德国/奥地利/意大利,[Moolaadé](https://www.imdb.com/title/tt0416991/),2003,7.6,124 min | Drama,[Moolaadé](https://www.rottentomatoes.com/m/moolaade/),2004,99%
1065,[漫长的婚约 Un long dimanche de fiançailles](https://movie.douban.com/subject/1292234/),2004.0,8.1,导演: 让-皮埃尔·热内; 类型: 剧情; 地区: 法国/美国,[Der Untergang](https://www.imdb.com/title/tt0363163/),2004,8.2,"R | 156 min | Biography, Drama, History",[Downfall](https://www.rottentomatoes.com/m/downfall),2004,90%
1066,[杯酒人生 Sideways](https://movie.douban.com/subject/1291833/),2004.0,7.9,导演: 亚历山大·佩恩; 类型: 剧情; 地区: 美国/匈牙利,[Fahrenheit 9/11](https://www.imdb.com/title/tt0361596/),2004,7.5,"R | 122 min | Documentary, Drama, War",[Fahrenheit 9/11](https://www.rottentomatoes.com/m/fahrenheit_911/),2004,82%
