序号,豆瓣电影,年份,豆瓣打分,豆瓣信息,IMDb电影,IMDb年份,IMDb打分,IMDb信息,烂番茄电影,烂番茄年份,烂番茄新鲜度
356,[桃色血案 Anatomy of a Murder](https://movie.douban.com/subject/1293177/),1959.0,8.2,导演: 奥托·普雷明格; 类型: 剧情; 地区: 美国,[Pickpocket](https://www.imdb.com/title/tt0053168/),1959,7.6,"76 min | Crime, Drama",[Pickpocket](https://www.rottentomatoes.com/m/1053613-pickpocket/),1959,93%
357,[单格屠龙 Ride Lonesome](https://movie.douban.com/subject/1302046/),1959.0,6.6,导演: 巴德·伯蒂彻; 类型: 西部; 地区: 美国,[Hiroshima mon amour](https://www.imdb.com/title/tt0052893/),1959,7.8,"90 min | Drama, Romance",[Hiroshima Mon Amour](https://www.rottentomatoes.com/m/hiroshima_mon_amour/),1959,98%
358,[黑人奥菲尔 Orfeu Negro](https://movie.douban.com/subject/1295967/),1959.0,6.4,导演: 马塞尔·加缪; 类型: 喜剧; 地区: 巴西/法国/意大利,[Ride Lonesome](https://www.imdb.com/title/tt0053220/),1959,7.1,73 min | Western,[Ride Lonesome](https://www.rottentomatoes.com/m/ride-lonesome/),1959,86%
359,[影子 Shadows](https://movie.douban.com/subject/1295167/),1958.0,7.7,导演: 约翰·卡萨维蒂; 类型: 剧情; 地区: 美国,[Orfeu Negro](https://www.imdb.com/title/tt0053146/),1959,7.4,"100 min | Drama, Musical, Romance",[Black Orpheus](https://www.rottentomatoes.com/m/black_orpheus/),1959,87%
360,[大树之歌 অপুর সংসার](https://movie.douban.com/subject/1295720/),1959.0,8.7,导演: 萨蒂亚吉特·雷伊; 类型: 剧情; 地区: 印度,[Ben-Hur](https://www.imdb.com/title/tt0052618/),1959,8.1,"(Banned) | 212 min | Adventure, Drama",[Ben-Hur](https://www.rottentomatoes.com/m/benhur/),1959,86%
361,[宾虚 Ben-Hur](https://movie.douban.com/subject/1293150/),1959.0,8.7,导演: 威廉·惠勒; 类型: 剧情; 地区: 美国,[Anatomy of a Murder](https://www.imdb.com/title/tt0052561/),1959,8,"161 min | Drama, Mystery",[Anatomy of a Murder](https://www.rottentomatoes.com/m/anatomy-of-a-murder/),1959,100%
362,[扒手 Pickpocket](https://movie.douban.com/subject/1303559/),1959.0,8.3,导演: 罗伯特·布列松; 类型: 剧情; 地区: 法国,[Shadows](https://www.imdb.com/title/tt0053270/),1958,7.2,"81 min | Drama, Music, Romance",[Shadows](https://www.rottentomatoes.com/m/1066229-shadows/),1959,100%
363,[广岛之恋 Hiroshima mon amour](https://movie.douban.com/subject/1302050/),1959.0,7.9,导演: 阿伦·雷乃; 类型: 剧情; 地区: 法国/日本,[Apur Sansar](https://www.imdb.com/title/tt0052572/),1959,8.5,105 min | Drama,[The World of Apu](https://www.rottentomatoes.com/m/apur_sansar/),1959,96%
364,[赤胆屠龙 Rio Bravo](https://movie.douban.com/subject/1298497/),1959.0,8.1,导演: 霍华德·霍克斯; 类型: 剧情; 地区: 美国,[Rio Bravo](https://www.imdb.com/title/tt0053221/),1959,8,"141 min | Drama, Western",[Rio Bravo](https://www.rottentomatoes.com/m/rio_bravo/),1959,98%
365,[浮草](https://movie.douban.com/subject/1297841/),1959.0,8.6,导演: 小津安二郎; 类型: 剧情; 地区: 日本,[Ukigusa](https://www.imdb.com/title/tt0053390/),1959,7.9,119 min | Drama,[Floating Weeds](https://www.rottentomatoes.com/m/floating_weeds/),1959,96%
