Group 分类,Rank 排名,Title 电影,ID 豆瓣,Score 打分,Staff 人员,Genre 类型
豆瓣2014年5月最受关注电影,4,归来,[21352814](https://movie.douban.com/subject/21352814/),8.1, , 
豆瓣2014年5月最受关注电影,5,奇怪的她,[24879820](https://movie.douban.com/subject/24879820/),8.3, , 
 , , , , , , 
豆瓣2014年6月最受关注电影,1,明日边缘,[4746257](https://movie.douban.com/subject/4746257/),8.2, , 
豆瓣2014年6月最受关注电影,2,哥斯拉,[2063914](https://movie.douban.com/subject/2063914/),6.6, , 
豆瓣2014年6月最受关注电影,3,变形金刚4：绝迹重生,[7054604](https://movie.douban.com/subject/7054604/),6.7, , 
豆瓣2014年6月最受关注电影,4,布达佩斯大饭店,[11525673](https://movie.douban.com/subject/11525673/),8.9, , 
豆瓣2014年6月最受关注电影,5,沉睡魔咒,[4301224](https://movie.douban.com/subject/4301224/),7.4, , 
 , , , , , , 
豆瓣2014年7月最受关注电影,1,后会无期,[25805741](https://movie.douban.com/subject/25805741/),7.2, , 
豆瓣2014年7月最受关注电影,2,小时代3：刺金时代,[24847340](https://movie.douban.com/subject/24847340/),4.8, , 
豆瓣2014年7月最受关注电影,3,分手大师,[24879858](https://movie.douban.com/subject/24879858/),5.2, , 
豆瓣2014年7月最受关注电影,4,老男孩猛龙过江,[25755645](https://movie.douban.com/subject/25755645/),5.8, , 
豆瓣2014年7月最受关注电影,5,少年斯派维的奇异旅行,[6985803](https://movie.douban.com/subject/6985803/),8.5, , 
 , , , , , , 
豆瓣2014年8月最受关注电影,1,驯龙高手2,[4824512](https://movie.douban.com/subject/4824512/),8.1, , 
豆瓣2014年8月最受关注电影,2,绣春刀,[24745500](https://movie.douban.com/subject/24745500/),7.7, , 
豆瓣2014年8月最受关注电影,3,暴力街区,[3718269](https://movie.douban.com/subject/3718269/),7.1, , 
豆瓣2014年8月最受关注电影,4,闺蜜,[25777330](https://movie.douban.com/subject/25777330/),5.3, , 
豆瓣2014年8月最受关注电影,5,催眠大师,[24743711](https://movie.douban.com/subject/24743711/),7.6, , 
 , , , , , , 
豆瓣2014年9月最受关注电影,1,猩球崛起2：黎明之战,[7046723](https://movie.douban.com/subject/7046723/),7.7, , 
豆瓣2014年9月最受关注电影,2,亲爱的,[25798222](https://movie.douban.com/subject/25798222/),8.4, , 
豆瓣2014年9月最受关注电影,3,敢死队3,[11610281](https://movie.douban.com/subject/11610281/),6.9, , 
豆瓣2014年9月最受关注电影,4,一生一世,[25713408](https://movie.douban.com/subject/25713408/),5.3, , 
豆瓣2014年9月最受关注电影,5,分歧者：异类觉醒,[6424814](https://movie.douban.com/subject/6424814/),6.6, , 
 , , , , , , 
豆瓣2014年10月最受关注电影,1,心花路放,[25717233](https://movie.douban.com/subject/25717233/),7.2, , 
豆瓣2014年10月最受关注电影,2,银河护卫队,[7065154](https://movie.douban.com/subject/7065154/),8.1, , 
豆瓣2014年10月最受关注电影,3,黄金时代,[10545939](https://movie.douban.com/subject/10545939/),7.4, , 
豆瓣2014年10月最受关注电影,4,彗星来的那一夜,[25807345](https://movie.douban.com/subject/25807345/),8.6, , 
豆瓣2014年10月最受关注电影,5,再次出发之纽约遇见你,[6874403](https://movie.douban.com/subject/6874403/),8.6, , 
 , , , , , , 
豆瓣2014年11月最受关注电影,1,星际穿越,[1889243](https://movie.douban.com/subject/1889243/),9.4, , 
豆瓣2014年11月最受关注电影,2,超体,[24404677](https://movie.douban.com/subject/24404677/),7.4, , 
豆瓣2014年11月最受关注电影,3,忍者神龟：变种时代,[3217149](https://movie.douban.com/subject/3217149/),6.6, , 
豆瓣2014年11月最受关注电影,4,移动迷宫,[21349345](https://movie.douban.com/subject/21349345/),7.1, , 
豆瓣2014年11月最受关注电影,5,狂怒,[23331914](https://movie.douban.com/subject/23331914/),8.0, , 
 , , , , , , 
豆瓣2014年12月最受关注电影,1,一步之遥,[6126442](https://movie.douban.com/subject/6126442/),6.6, , 
豆瓣2014年12月最受关注电影,2,匆匆那年,[25779218](https://movie.douban.com/subject/25779218/),5.6, , 
豆瓣2014年12月最受关注电影,3,消失的爱人,[21318488](https://movie.douban.com/subject/21318488/),8.7, , 
豆瓣2014年12月最受关注电影,4,太平轮(上),[3078390](https://movie.douban.com/subject/3078390/),6.0, , 
豆瓣2014年12月最受关注电影,5,撒娇女人最好命,[4881607](https://movie.douban.com/subject/4881607/),5.7, , 
 , , , , , , 
豆瓣2014年度最受关注的2010s电影,1,盗梦空间,[3541415](https://movie.douban.com/subject/3541415/),9.4,导演：克里斯托弗·诺兰,类型：剧情 科幻 悬疑 冒险
豆瓣2014年度最受关注的2010s电影,2,地心引力,[3793783](https://movie.douban.com/subject/3793783/),7.9,导演：阿方索·卡隆,类型：科幻 惊悚 灾难
豆瓣2014年度最受关注的2010s电影,3,素媛,[21937452](https://movie.douban.com/subject/21937452/),9.3,导演：李濬益,类型：剧情
豆瓣2014年度最受关注的2010s电影,4,熔炉,[5912992](https://movie.douban.com/subject/5912992/),9.4,导演：黄东赫,类型：剧情
豆瓣2014年度最受关注的2010s电影,5,怦然心动,[3319755](https://movie.douban.com/subject/3319755/),9.1,导演：罗伯·莱纳,类型：剧情 喜剧 爱情
