Index,Y2024 排名,豆瓣,IMDb,TSPDT-ID,Title 电影,Director 导演,Year 年份,Region 地区,Genre 类型,Length 片长,Colour 色彩
947,948,[被咒之爱 Amor de Perdição-曼努埃尔·德·奥利维拉](https://movie.douban.com/subject/3012443/),[https://www.imdb.com/title/tt9249616/](https://www.imdb.com/title/https://www.imdb.com/title/tt9249616//),21861,Doomed Love [TV],Manoel de Oliveira,1978,Portugal,Drama-Romance,262,Col
948,949,[禁忌 Tabu-米格尔·戈麦斯](https://movie.douban.com/subject/10438585/),[https://www.imdb.com/title/tt2153963/](https://www.imdb.com/title/https://www.imdb.com/title/tt2153963//),33369,Tabu,Miguel Gomes,2012,Portugal-Germany-Brazil-France,Drama-Romance,118,BW
949,950,[母狗 La Chienne-让·雷诺阿](https://movie.douban.com/subject/1306486/),[https://www.imdb.com/title/tt0021739/](https://www.imdb.com/title/https://www.imdb.com/title/tt0021739//),802,"Chienne, La",Jean Renoir,1931,France,Drama-Crime,95,BW
950,951,[甜蜜的梦魇 Mababangong bangungot-奇拉·塔希米克](https://movie.douban.com/subject/3118188/),[https://www.imdb.com/title/tt0076341/](https://www.imdb.com/title/https://www.imdb.com/title/tt0076341//),12740,Perfumed Nightmare,Kidlat Tahimik,1977,Philippines,Drama-Comedy,93,Col
951,952,[小丑之夜 Gycklarnas afton-英格玛·伯格曼](https://movie.douban.com/subject/1300957/),[https://www.imdb.com/title/tt0045848/](https://www.imdb.com/title/https://www.imdb.com/title/tt0045848//),5875,Sawdust and Tinsel,Ingmar Bergman,1953,Sweden,Drama,92,BW
952,953,[狐及其友 Faustrecht der Freiheit-赖纳·维尔纳·法斯宾德](https://movie.douban.com/subject/1437326/),[https://www.imdb.com/title/tt0072976/](https://www.imdb.com/title/https://www.imdb.com/title/tt0072976//),12196,Fox and His Friends,Rainer Werner Fassbinder,1975,West Germany,Drama,123,Col
953,954,[阳光下的决斗 Duel in the Sun-金·维多](https://movie.douban.com/subject/1294860/),[https://www.imdb.com/title/tt0038499/](https://www.imdb.com/title/https://www.imdb.com/title/tt0038499//),3656,Duel in the Sun,King Vidor,1946,USA,Western,130,Col
954,955,[奥林匹亚1：民族的节日 Olympia 1. Teil - Fest der Völker-莱妮·里芬施塔尔](https://movie.douban.com/subject/1297424/),[https://www.imdb.com/title/tt0030522/](https://www.imdb.com/title/https://www.imdb.com/title/tt0030522//),1118,Olympia,Leni Riefenstahl,1938,Germany,Documentary-Sport,201,BW
955,956,[真心的苏西 True Heart Susie-D·W·格里菲斯](https://movie.douban.com/subject/2155524/),[https://www.imdb.com/title/tt0010806/](https://www.imdb.com/title/https://www.imdb.com/title/tt0010806//),1647,True Heart Susie,D.W. Griffith,1919,USA,Drama-Comedy-Romance,87,BW
956,957,[美国风情画 American Graffiti-乔治·卢卡斯](https://movie.douban.com/subject/1300106/),[https://www.imdb.com/title/tt0069704/](https://www.imdb.com/title/https://www.imdb.com/title/tt0069704//),11612,American Graffiti,George Lucas,1973,USA,Drama-Comedy,110,Col
957,958,[这个杀手不太冷 Léon-吕克·贝松](https://movie.douban.com/subject/1295644/),[https://www.imdb.com/title/tt0110413/](https://www.imdb.com/title/https://www.imdb.com/title/tt0110413//),17936,Léon,Luc Besson,1994,France,Thriller-Crime,119,Col
958,959,"[我是一个黑人 Moi, un noir-让·鲁什](https://movie.douban.com/subject/1434232/)",[https://www.imdb.com/title/tt0051942/](https://www.imdb.com/title/https://www.imdb.com/title/tt0051942//),18700,"Moi, un Noir",Jean Rouch,1958,France,Drama,70,Col
959,960,[碧海青天夜夜心 The Tarnished Angels-道格拉斯·塞克](https://movie.douban.com/subject/1825703/),[https://www.imdb.com/title/tt0051055/](https://www.imdb.com/title/https://www.imdb.com/title/tt0051055//),7671,"Tarnished Angels, The",Douglas Sirk,1957,USA,Drama,91,BW
960,961,[奥赛罗 The Tragedy of Othello: The Moor of Venice-奥逊·威尔斯](https://movie.douban.com/subject/1296289/),[https://www.imdb.com/title/tt0045251/](https://www.imdb.com/title/https://www.imdb.com/title/tt0045251//),5485,Othello,Orson Welles,1951,Italy-Morocco-USA,Drama,90,BW
961,962,[雾码头 Le quai des brumes-马塞尔·卡尔内](https://movie.douban.com/subject/1416910/),[https://www.imdb.com/title/tt0030643/](https://www.imdb.com/title/https://www.imdb.com/title/tt0030643//),1213,Port of Shadows,Marcel Carné,1938,France,Drama-Romance-Crime,91,BW
962,963,[僵尸肖恩 Shaun of the Dead-埃德加·赖特](https://movie.douban.com/subject/1308755/),[https://www.imdb.com/title/tt0365748/](https://www.imdb.com/title/https://www.imdb.com/title/tt0365748//),22008,Shaun of the Dead,Edgar Wright,2004,UK-USA-France,Action-Comedy-Horror,99,Col
963,964,[枪疯 Gun Crazy-约瑟夫·刘易斯](https://movie.douban.com/subject/1297016/),[https://www.imdb.com/title/tt0042530/](https://www.imdb.com/title/https://www.imdb.com/title/tt0042530//),4456,Gun Crazy,Joseph H. Lewis,1950,USA,Drama-Crime,86,BW
964,965,[回归 Возвращение-安德烈·兹维亚金采夫](https://movie.douban.com/subject/1308074/),[https://www.imdb.com/title/tt0376968/](https://www.imdb.com/title/https://www.imdb.com/title/tt0376968//),22104,"Return, The",Andrey Zvyagintsev,2003,Russia,Drama,110,Col
