Index,排名,电影名,豆瓣电影,豆瓣年份,豆瓣打分,导演,主演,类型,地区
195,182,《不法之徒》（1986，吉姆·贾木许 Jim Jarmusch）,[不法之徒 Down by Law](https://movie.douban.com/subject/1301798/),1986,8.1,吉姆·贾木许,汤姆·威兹 / 约翰·劳瑞 / 罗伯托·贝尼尼,剧情 / 喜剧 / 犯罪,美国/西德
196,182,《乌鸦与麻雀》（1949，郑君里 Junli Zheng）,[乌鸦与麻雀 烏鴉与麻雀](https://movie.douban.com/subject/1424627/),1949,8.7,郑君里,赵丹 / 上官云珠 / 孙道临,剧情,中国大陆
197,182,《乱》（1985，黑泽明 Akira Kurosawa）,[乱](https://movie.douban.com/subject/1296196/),1985,8.9,黑泽明,仲代达矢 / 寺尾聪 / 根津甚八,剧情 / 动作,日本/法国
198,182,《乱云》（1967，成濑巳喜男 Mikio Naruse）,[乱云 乱れ雲](https://movie.douban.com/subject/1302082/),1967,8.4,成濑巳喜男,司叶子 / 加山雄三 / 森光子,剧情,日本
199,182,《二楼传来的歌声》（2000，罗伊·安德森 Roy Andersson）,[二楼传来的歌声 Sånger från andra våningen](https://movie.douban.com/subject/1295877/),2000,8.2,罗伊·安德森,拉斯·诺德 / 本基特·卡尔森 / Stefan Larsson,喜剧 / 剧情,丹麦/挪威/瑞典
200,182,《云上的日子》（1995，米开朗基罗·安东尼奥尼 Michelangelo Antonioni）,[云上的日子 Al di là delle nuvole](https://movie.douban.com/subject/1291558/),1995,7.6,米开朗基罗·安东尼奥尼 / 维姆·文德斯,苏菲·玛索 / 约翰·马尔科维奇 / 芬妮·阿尔丹,剧情 / 爱情 / 情色,法国/意大利/德国
201,182,《五至七时的奇奥》（1962，阿涅斯·瓦尔达 Agnès Varda）,[五至七时的克莱奥 Cléo de 5 à 7](https://movie.douban.com/subject/1294565/),1962,8.7,阿涅斯·瓦尔达,科琳娜·马尔尚 / 安托万·布尔塞耶 / 多米妮克·达夫雷,喜剧 / 剧情 / 音乐,法国/意大利
202,182,《仁心与冠冕》（1949，罗伯特·汉默 Robert Hamer）,[仁心与冠冕 Kind Hearts and Coronets](https://movie.douban.com/subject/1295995/),1949,8.5,罗伯特·哈默,亚历克·吉尼斯 / 瓦莱莉娅·霍布森 / 丹尼斯·普莱斯,喜剧 / 犯罪,英国
203,182,《伍》（2005，阿巴斯·基亚罗斯塔米 Abbas Kiarostami）,[伍 پنج‎](https://movie.douban.com/subject/1401919/),2005,7.6,阿巴斯·基亚罗斯塔米, ,纪录片,伊朗/日本/法国
204,182,《伍德斯托克音乐节1969》（1970，迈克尔·沃德利 Michael Wadleigh）,[伍德斯托克音乐节1969 Woodstock](https://movie.douban.com/subject/1292342/),1970,9.2,迈克尔·沃德利,琼·贝兹 / 里奇·海文思 / 罗杰·达尔特雷,纪录片 / 历史 / 音乐,美国
205,182,《休日》（1968，李晚熙 Man-hui Lee）,[休日 휴일](https://movie.douban.com/subject/4265289/),1968,6.9,李晚熙,申星一 / 全智英,剧情 / 爱情,韩国
206,182,《伯爵夫人的耳环》（1953，马克斯·奥菲尔斯 Max Ophüls）,[伯爵夫人的耳环 Madame de...](https://movie.douban.com/subject/1301122/),1953,8.1,马克斯·奥菲尔斯,达尼埃尔·达里约 / 维托里奥·德西卡 / 查尔斯·博耶,剧情 / 爱情,法国/意大利
207,182,《何处是我朋友的家》（1987，阿巴斯·基亚罗斯塔米 Abbas Kiarostami）,[何处是我朋友的家 خانه دوست کجاست؟‎](https://movie.douban.com/subject/1301897/),1987,8.9,阿巴斯·基亚罗斯塔米,巴比·艾哈迈德·波 / 艾哈迈德·艾哈迈德·波 / 科达·巴和·迪范,剧情,伊朗
208,182,《你逃我也逃》（1942，恩斯特·刘别谦 Ernst Lubitsch）,[你逃我也逃 To Be or Not to Be](https://movie.douban.com/subject/1303418/),1942,9.3,恩斯特·刘别谦,卡洛·朗白 / 杰克·本尼 / 罗伯特·斯塔克,喜剧 / 爱情 / 战争,美国
209,182,《你那边几点》（2001，蔡明亮 Tsai Ming-liang）,[你那边几点 你那邊幾點](https://movie.douban.com/subject/1294540/),2001,8.0,蔡明亮,李康生 / 陈湘琪 / 陆弈静,剧情 / 爱情,法国/中国台湾
210,182,《倒扣的王牌》（1951，比利·怀尔德 Billy Wilder）,[倒扣的王牌 Ace in the Hole](https://movie.douban.com/subject/1293841/),1951,8.7,比利·怀尔德,柯克·道格拉斯 / 简·斯特林 / 罗伯特·亚瑟,剧情 / 黑色电影,美国
211,182,《偶然与巧合》（1998，克劳德·勒鲁什 Claude Lelouch）,[偶然与巧合 Hasards ou coïncidences](https://movie.douban.com/subject/1420124/),1998,8.7,克洛德·勒卢什,Alessandra Martines / Pierre Arditi,剧情,法国/加拿大
212,182,《偷吻》（1968，弗朗索瓦·特吕弗 François Truffaut）,[偷吻 Baisers volés](https://movie.douban.com/subject/1298197/),1968,7.9,弗朗索瓦·特吕弗,让-皮埃尔·利奥德 / 德菲因·塞里格 / 克洛德·雅德,剧情 / 爱情 / 喜剧,法国
213,182,《儿子》（2002，达内兄弟 Jean-Pierre & Luc Dardenne）,[他人之子 Le fils](https://movie.douban.com/subject/1305337/),2002,8.1,让-皮埃尔·达内 / 吕克·达内,奥利维埃·古尔梅 / 摩根·马林 / 伊莎贝拉·索帕特,剧情,比利时/法国
214,182,《克莱尔的膝盖》（1970，埃里克·侯麦 Eric Rohmer）,[克莱尔的膝盖 Le genou de Claire](https://movie.douban.com/subject/1294915/),1970,7.8,埃里克·侯麦,让-克洛德·布里亚利 / 奥罗拉·康纽 / 碧翠丝·罗曼德,剧情 / 爱情,法国
215,182,《全金属外壳》（1987，斯坦利·库布里克 Stanley Kubrick）,[全金属外壳 Full Metal Jacket](https://movie.douban.com/subject/1300055/),1987,8.6,斯坦利·库布里克,马修·莫迪恩 / 亚当·鲍德温 / 文森特·多诺费奥,剧情 / 战争,英国/美国
216,182,《兰闺艳血》（1950，尼古拉斯·雷 Nicholas Ray）,[兰闺艳血 In a Lonely Place](https://movie.douban.com/subject/1302923/),1950,7.9,尼古拉斯·雷,亨弗莱·鲍嘉 / 格洛丽亚·格雷厄姆 / 弗兰克·洛夫乔伊,剧情 / 黑色电影 / 悬疑 / 爱情 / 惊悚,美国
217,182,《内心的伤痕》（1972，菲利普·加瑞尔 Philippe Garrel）,[内心的伤痕 La cicatrice intérieure](https://movie.douban.com/subject/1439985/),1972,7.5,菲利普·加瑞尔,尼可 / 菲利普·加瑞尔 / Christian Aaron Boulogne,剧情 / 奇幻 / 音乐,法国
218,182,《内陆帝国》（2006，大卫·林奇 David Lynch）,[内陆帝国 Inland Empire](https://movie.douban.com/subject/1438734/),2006,7.7,大卫·林奇,劳拉·邓恩 / 杰瑞米·艾恩斯 / 贾斯汀·塞洛克斯,剧情 / 悬疑 / 惊悚,法国/波兰/美国
219,182,《军中禁恋》（1999，克莱尔·德尼 Claire Denis）,[军中禁恋 Beau travail](https://movie.douban.com/subject/1306791/),1999,7.4,克莱尔·德尼,德尼·拉旺 / 米歇尔·索博 / 格莱戈尔·科林,剧情 / 同性,法国
220,182,《冬日之光》（1962，英格玛·伯格曼 Ingmar Bergman）,[冬日之光 Nattvardsgästerna](https://movie.douban.com/subject/1296792/),1963,8.3,英格玛·伯格曼,古纳尔·布约恩施特兰德 / 马克斯·冯·叙多夫 / 英格丽·图林,剧情,瑞典
221,182,《冰血暴》（1996，科恩兄弟 Joel & Ethan Coen）,[冰血暴 Fargo](https://movie.douban.com/subject/1292067/),1996,8.0,乔尔·科恩,威廉姆·H·梅西 / 史蒂夫·布西密 / 彼得·斯特曼,犯罪 / 剧情 / 惊悚,美国/英国
222,182,《凯斯》（1970，肯·洛奇 Ken Loach）,[小孩与鹰 Kes](https://movie.douban.com/subject/1297920/),1969,8.6,肯·洛奇,大卫·布拉德利 / Freddie Fletcher / 琳内·佩里,剧情 / 儿童,英国
223,182,《前进青春》（2006，佩德罗·科斯塔 Pedro Costa）,[前进青春 Juventude em Marcha](https://movie.douban.com/subject/1937459/),2006,7.4,佩德罗·科斯塔,Ventura / Vanda Duarte / Beatriz Duarte,剧情,葡萄牙/法国/瑞士
224,182,《加斯·荷伯之迷》（1974，沃纳·赫尔佐格 Werner Herzog）, , , , , , , 
225,182,《动物之血》（1949，乔治·弗朗叙 Georges Franju）, , , , , , , 
226,182,《动物电影》（1981，维克多·宋菲尔德 / 米莉亚姆·阿劳克斯 Victor Schonfeld / Myriam Alaux）, , , , , , , 
227,182,《北方的纳努克》（1922，罗伯特·J.弗拉哈迪 Robert J. Flaherty）, , , , , , , 
228,182,《十诫之六: 切勿沉湎于情欲》（1990，克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski）, , , , , , , 
229,182,《千钧一发》（1997，安德鲁·尼科尔 Andrew Niccol）, , , , , , , 
230,182,《午后的迷惘》（1943，梅雅·黛伦 Maya Deren）, , , , , , , 
231,182,《午夜钟声》（1965，奥逊·威尔斯 Orson Welles）, , , , , , , 
232,182,《半边人》（1983，方育平 Allen Fong）, , , , , , , 
233,182,《单车少年》（2011，达内兄弟 Jean-Pierre & Luc Dardenne）, , , , , , , 
234,182,《南国再见，南国》（1996，侯孝贤 Hsiao-hsien Hou）, , , , , , , 
235,182,《南方》（1988，费尔南多·索拉纳斯 Fernando E. Solanas）, , , , , , , 
236,182,《卡宾枪手》（1963，让-吕克·戈达尔 Jean-Luc Godard）, , , , , , , 
237,182,《卡门》（1983，卡洛斯·绍拉 Carlos Saura）, , , , , , , 
238,182,《印度母亲》（1957，梅布·卡恩 Mehboob Khan）, , , , , , , 
239,182,《危楼春晓》（1953，李铁 Tie Li）, , , , , , , 
240,182,《历劫佳人》（1958，奥逊·威尔斯 Orson Welles）, , , , , , , 
241,182,《压路机和小提琴》（1961，安德烈·塔科夫斯基 Andrei Tarkovsky）, , , , , , , 
242,182,《受难记》（1982，让-吕克·戈达尔 Jean-Luc Godard）, , , , , , , 
243,182,《另一个女人》（1988，伍迪·艾伦 Woody Allen）, , , , , , , 
244,182,《史密斯先生到华盛顿》（1939，弗兰克·卡普拉 Frank Capra）, , , , , , , 
245,182,《同流者》（1970，贝纳尔多·贝托鲁奇 Bernardo Bertolucci）, , , , , , , 
246,182,《吸血鬼》（1915，路易·费雅德 Louis Feuillade）, , , , , , , 
247,182,《吸血鬼》（1932，卡尔·西奥多·德莱叶 Carl Theodor Dreyer）, , , , , , , 
248,182,《呐喊》（1957，米开朗基罗·安东尼奥尼 Michelangelo Antonioni）, , , , , , , 
249,182,《周末》（1967，让-吕克·戈达尔 Jean-Luc Godard）, , , , , , , 
250,182,《呼喊与细语》（1972，英格玛·伯格曼 Ingmar Bergman）, , , , , , , 
251,182,《咖啡时光》（2003，侯孝贤 Hsiao-hsien Hou）, , , , , , , 
252,182,《哨兵》（1992，阿诺·德斯普里钦 Arnaud Desplechin）, , , , , , , 
253,182,《回到未来》（1985，罗伯特·泽米基斯 Robert Zemeckis）, , , , , , , 
254,182,《回归》（2003，安德烈·日瓦金采夫 Andrei Zvyagintsev）, , , , , , , 
255,182,《国王迷》（1975，约翰·休斯顿 John Huston）, , , , , , , 
256,182,《圣山》（1973，亚历桑德罗·佐杜洛夫斯基 Alejandro Jodorowsky）, , , , , , , 
257,182,《在人生的另一边》（2007，法提·阿金 Fatih Akin）, , , , , , , 
258,182,《在桥下》（1946，海尔姆特·考特纳 Helmut Käutner）, , , , , , , 
259,182,《地下情》（1986，关锦鹏 Stanley Kwan）, , , , , , , 
260,182,《坠入》（2006，塔西姆·辛 Tarsem Singh）, , , , , , , 
261,182,《外部空间》（2000，彼特·契尔卡斯基 Peter Tscherkassky）, , , , , , , 
262,182,《夜船》（1979，玛格丽特·杜拉 Marguerite Duras）, , , , , , , 
263,182,《夜逃鸳鸯》（1949，尼古拉斯·雷 Nicholas Ray）, , , , , , , 
264,182,《大地在波动》（1948，卢奇诺·维斯康蒂 Luchino Visconti）, , , , , , , 
265,182,《大树之歌》（1959，萨蒂亚吉特·雷伊 Satyajit Ray）, , , , , , , 
266,182,《大菩萨岭》（1966，冈本喜八 Kihachi Okamoto）, , , , , , , 
267,182,《大话西游》（1995，刘镇伟 Jeffrey Lau）, , , , , , , 
268,182,《大闹天宫》（1965，万籁鸣 / 唐澄 Laiming Wan / Cheng Tang）, , , , , , , 
269,182,《天使爱美丽》（2001，让-皮埃尔·热内 Jean-Pierre Jeunet）, , , , , , , 
270,182,《天国与地狱》（1963，黑泽明 Akira Kurosawa）, , , , , , , 
271,182,《天堂电影院》（1988，朱塞佩·托纳多雷 Giuseppe Tornatore）, , , , , , , 
272,182,《天堂里的烦恼》（1932，恩斯特·刘别谦 Ernst Lubitsch）, , , , , , , 
273,182,《天意》（1977，阿伦·雷乃 Alain Resnais）, , , , , , , 
274,182,《太阳照常升起》（2007，姜文 Wen Jiang）, , , , , , , 
275,182,《夺命剑》（1967，小林正树 Masaki Kobayashi）, , , , , , , 
276,182,《奇爱博士》（1964，斯坦利·库布里克 Stanley Kubrick）, , , , , , , 
277,182,《奇迹》（2011，是枝裕和 Hirokazu Koreeda）, , , , , , , 
278,182,《奥兰多》（1992，莎莉·波特 Sally Potter）, , , , , , , 
279,182,《奥林匹亚》（1938，莱尼·里芬斯塔尔 Leni Riefenstahl）, , , , , , , 
280,182,《女人步上楼梯时》（1960，成濑巳喜男 Mikio Naruse）, , , , , , , 
281,182,《女友礼拜五》（1940，霍华德·霍克斯 Howard Hawks）, , , , , , , 
282,182,《女巫》（1922，本杰明·克里斯滕森 Benjamin Christensen）, , , , , , , 
283,182,《女收藏家》（1967，埃里克·侯麦 Eric Rohmer）, , , , , , , 
284,182,《女继承人》（1949，威廉·惠勒 William Wyler）, , , , , , , 
285,182,《好家伙》（1990，马丁·斯科塞斯 Martin Scorsese）, , , , , , , 
286,182,《如果……》（1968，林赛·安德森 Lindsay Anderson）, , , , , , , 
287,182,《娜塞琳》（1959，路易斯·布努埃尔 Luis Buñuel）, , , , , , , 
288,182,《子弹横飞百老汇》（1994，伍迪·艾伦 Woody Allen）, , , , , , , 
289,182,《孤独的妻子》（1964，萨蒂亚吉特·雷伊 Satyajit Ray）, , , , , , , 
290,182,《定理》（1968，皮埃尔·保罗·帕索里尼 Pier Paolo Pasolini）, , , , , , , 
291,182,《审判》（1962，奥逊·威尔斯 Orson Welles）, , , , , , , 
292,182,《寂静的生活》（1995，伊丹十三 Juzo Itami）, , , , , , , 
293,182,《对她说》（2002，佩德罗·阿莫多瓦 Pedro Almodóvar）, , , , , , , 
294,182,《小鞋子》（1999，马基德·马基迪 Majid Majidi）, , , , , , , 
295,182,《山椒大夫》（1954，沟口健二 Kenji Mizoguchi）, , , , , , , 
296,182,《巨蟒与圣杯》（1975，特里·吉连姆 / 特里·琼斯 Terry Gilliam / Terry Jones）, , , , , , , 
297,182,《巴顿将军》（1970，弗兰克·J.沙夫纳 ranklin J. Schaffner）, , , , , , , 
298,182,《希林公主》（2008，阿巴斯·基亚罗斯塔米 Abbas Kiarostami）, , , , , , , 
299,182,《幸福》（1965，阿涅斯·瓦尔达 Agnès Varda）, , , , , , , 
300,182,《幽灵马车》（1921，维克多·斯约斯特罗姆 Victor Sjöström）, , , , , , , 
301,182,《异形》（1979，雷德利·斯科特 Ridley Scott）, , , , , , , 
302,182,《影子部队》（1969，让-皮埃尔·梅尔维尔 Jean-Pierre Melville）, , , , , , , 
303,182,《往日情怀》（1973，西德尼·波拉克 Sydney Pollack）, , , , , , , 
304,182,《德州巴黎》（1984，维姆·文德斯 Wim Wenders）, , , , , , , 
305,182,《忘忧森林》（1986，罗伯特·加德纳 Robert Gardner）, , , , , , , 
306,182,《恋恋风尘》（1987，侯孝贤 Hsiao-hsien Hou）, , , , , , , 
307,182,《恋爱与义务》（1931，卜万苍 Wancang Bu）, , , , , , , 
308,182,《恋爱症候群》（2006，阿彼察邦·韦拉斯哈古 Apichatpong Weerasethakul）, , , , , , , 
309,182,《情枭的黎明》（1993，布莱恩·德·帕尔玛 Brian De Palma）, , , , , , , 
310,182,《情欲与虐杀》（1970，吉田喜重 Yoshishige Yoshida）, , , , , , , 
311,182,《惩罚公园》（1971，彼得·沃特金斯 Peter Watkins）, , , , , , , 
312,182,《感官世界》（1976，大岛渚 Nagisa Ôshima）, , , , , , , 
313,182,《戏梦巴黎》（2003，贝纳尔多·贝托鲁奇 Bernardo Bertolucci）, , , , , , , 
314,182,《我们如此相爱》（1974，埃托尔·斯科拉 Ettore Scola）, , , , , , , 
315,182,《我是古巴》（1968，米哈依尔·卡拉托佐夫 Mikhail Kalatozov）, , , , , , , 
316,182,《我略知她一二》（1967，让-吕克·戈达尔 Jean-Luc Godard）, , , , , , , 
317,182,《我要》（2004，莎莉·波特 Sally Potter）, , , , , , , 
318,182,《战地浪漫曲》（1985，皮奥特·托多罗夫斯基 Pyotr Todorovskiy）, , , , , , , 
319,182,《战场上的快乐圣诞》（1983，大岛渚 Nagisa Ôshima）, , , , , , , 
320,182,《房屋是黑的》（2008，芙茹弗·法洛克扎德 Forugh Farrokhzad）, , , , , , , 
321,182,《扎布里斯基角》（1970，米开朗基罗·安东尼奥尼 Michelangelo Antonioni）, , , , , , , 
322,182,《抛掉书本上街去》（1971，寺山修司 Shuji Terayama）, , , , , , , 
323,182,《拿破仑》（1927，阿贝尔·冈斯 Abel Gance）, , , , , , , 
324,182,《捕鼠者》（1999，琳恩·拉姆塞 Lynne Ramsay）, , , , , , , 
325,182,《操行零分》（1933，让·维果 Jean Vigo）, , , , , , , 
326,182,《收播新闻》（1987，詹姆斯·L·布鲁克斯 James L. Brooks）, , , , , , , 
327,182,《无姓之人》（2009，雅克·范·多梅尔 Jaco van Dormael）, , , , , , , 
328,182,《无辜》（1976，卢奇诺·维斯康蒂 Luchino Visconti）, , , , , , , 
329,182,《日以作夜》（1973，弗朗索瓦·特吕弗 François Truffaut）, , , , , , , 
330,182,《早安》（1959，小津安二郎 Yasujiro Ozu）, , , , , , , 
331,182,《旺妲的房间》（2000，佩德罗·科斯塔 Pedro Costa）, , , , , , , 
332,182,《星期天的人们》（1930，柯特·西奥德马克 / 罗伯特·西奥德马克 / 埃德加·G.乌尔默 / 弗雷德·金尼曼 / 洛克斯·格里希 Curt Siodmak / Robert Siodmak / Edgar G. Ulmer / Fred Zinnemann / Rochus Gliese）, , , , , , , 
333,182,《普通的法西斯》（1966，米哈伊尔·罗姆 Mikhail Romm）, , , , , , , 
334,182,《普里斯特法官》（1934，约翰·福特 John Ford）, , , , , , , 
335,182,《暴雨将至》（1994，米尔科·曼彻夫斯基 Milcho Manchevski）, , , , , , , 
336,182,《曼哈顿》（1979，伍迪·艾伦 Woody Allen）, , , , , , , 
337,182,《最卑贱的人》（1924，F·W·茂瑙 F.W. Murnau）, , , , , , , 
338,182,《月亮在跳舞》（1996，加林·努格罗 Garin Nugroho）, , , , , , , 
339,182,《月球旅行记》（1902，乔治·梅里爱 Georges Méliès）, , , , , , , 
340,182,《朦胧的欲望》（1977，路易斯·布努埃尔 Luis Buñuel）, , , , , , , 
341,182,《木屐树》（1978，埃曼诺·奥米 Ermanno Olmi）, , , , , , , 
342,182,《机遇之歌》（1987，克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski）, , , , , , , 
343,182,《杀人短片》（1988，克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski）, , , , , , , 
344,182,《杀手烙印》（1967，铃木清顺 (Seijun Suzuki)）, , , , , , , 
345,182,《杀羊人》（1977，查尔斯·伯内特 Charles Burnett）, , , , , , , 
346,182,《枪疯》（1950，约瑟夫·H.刘易斯 Joseph H. Lewis）, , , , , , , 
347,182,《柏林谍影》（1965，马丁·里特 Martin Ritt）, , , , , , , 
348,182,《梦》（1990，黑泽明 Akira Kurosawa）, , , , , , , 
349,182,《梵高》（1991，莫里斯·皮亚拉 Maurice Pialat）, , , , , , , 
350,182,《樱桃的滋味》（1997，阿巴斯·基亚罗斯塔米 Abbas Kiarostami）, , , , , , , 
351,182,《橄榄树下的情人》（1994，阿巴斯·基亚罗斯塔米 Abbas Kiarostami）, , , , , , , 
352,182,《欲望法则》（1987，佩德罗·阿莫多瓦 Pedro Almodóvar）, , , , , , , 
353,182,《正午》（1952，弗雷德·金尼曼 Fred Zinnemann）, , , , , , , 
354,182,《步履不停》（2008，是枝裕和 Hirokazu Koreeda）, , , , , , , 
355,182,《武训传》（1952，孙瑜 Yu Sun）, , , , , , , 
356,182,《死吻》（1955，罗伯特·奥尔德里奇 Robert Aldrich）, , , , , , , 
357,182,《比丽迪亚娜》（1961，路易斯·布努埃尔 Luis Buñuel）, , , , , , , 
358,182,《水中刀》（1962，罗曼·波兰斯基 Roman Polanski）, , , , , , , 
359,182,《沙家浜》（1971，武兆堤 Zhaodi Wu）, , , , , , , 
360,182,《没有过去的男人》（2002，阿基·考里斯马基 Aki Kaurismaki）, , , , , , , 
361,182,《法国康康舞》（1954，让·雷诺阿 Jean Renoir）, , , , , , , 
362,182,《洛可兄弟》（1960，卢奇诺·维斯康蒂 Luchino Visconti）, , , , , , , 
363,182,《洞》（1998，蔡明亮 Tsai Ming-liang）, , , , , , , 
364,182,《活着》（1994，张艺谋 Yimou Zhang）, , , , , , , 
365,182,《流浪者之歌》（1988，埃米尔·库斯图里卡 Emir Kusturica）, , , , , , , 
366,182,《浩劫》（1985，克劳德·朗兹曼 Claude Lanzmann）, , , , , , , 
367,182,《浪花悲歌》（1936，沟口健二 Kenji Mizoguchi）, , , , , , , 
368,182,《浪荡儿》（1956，费德里科·费里尼 Federico Fellini）, , , , , , , 
369,182,《浮云世事》（1996，阿基·考里斯马基 Aki Kaurismaki）, , , , , , , 
370,182,《浮生一日》（2011，凯文·麦克唐纳 Kevin Macdonald）, , , , , , , 
371,182,《海上花》（1998，侯孝贤 Hsiao-hsien Hou）, , , , , , , 
372,182,《海滩的一天》（1983，杨德昌 Edward Yang）, , , , , , , 
373,182,《淑女伊芙》（1941，普莱斯顿·斯特奇斯 Preston Sturges）, , , , , , , 
374,182,《深锁春光一院愁》（1955，道格拉斯·塞克 Douglas Sirk）, , , , , , , 
375,182,《清作之妻》（1965，增村保造 Yasuzo Masumura）, , , , , , , 
376,182,《漩涡之外》（1947，雅克·特纳 Jacques Tourneur）, , , , , , , 
377,182,《漫长的告别》（1971，琪拉·穆拉托娃 Kira Muratova）, , , , , , , 
378,182,《漫长的告别》（1973，罗伯特·奥特曼 Robert Altman）, , , , , , , 
379,182,《火柴厂女工》（1990，阿基·考里斯马基 Aki Kaurismaki）, , , , , , , 
380,182,《火树银花》（1948，文森特·明奈利 Vincente Minnelli）, , , , , , , 
381,182,《火车大劫案》（1903，埃德温·S.波特 Edwin S. Porter）, , , , , , , 
382,182,《火车进站》（1896，卢米埃尔兄弟 Auguste & Louis Lumière）, , , , , , , 
383,182,《热天午后》（1975，西德尼·吕美特 Sidney Lumet）, , , , , , , 
384,182,《燃火的时刻》（1970，费尔南多·索拉纳斯 Fernando Solanas）, , , , , , , 
385,182,《爱情短片》（1988，克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski）, , , , , , , 
386,182,《爱情神话》（1969，费德里科·费里尼 Federico Fellini）, , , , , , , 
387,182,《牧场之家好做伴》（2006，罗伯特·奥特曼 Robert Altman）, , , , , , , 
388,182,《猎人之夜》（1955，查尔斯·劳顿 Charles Laughton）, , , , , , , 
389,182,《猜火车》（1996，丹尼·鲍尔 Danny Boyle）, , , , , , , 
390,182,《玛丽娅·布劳恩的婚姻》（1979，赖纳·维尔纳·法斯宾德 Rainer Werner Fassbinder）, , , , , , , 
391,182,《玩家马布斯博士》（1922，弗里茨·朗 Fritz Lang）, , , , , , , 
392,182,《甜蜜蜜》（1996，陈可辛 Peter Chan）, , , , , , , 
393,182,《生之欲》（1952，黑泽明 Akira Kurosawa）, , , , , , , 
394,182,《生活的发现》（2002，洪尚秀 Sang-soo Hong）, , , , , , , 
395,182,《电视台风云》（1976，西德尼·吕美特 Sidney Lumet）, , , , , , , 
396,182,《男人的争斗》（1955，朱尔斯·达辛 Jules Dassin）, , , , , , , 
397,182,《疯劫》（1979，许鞍华 Ann Hui）, , , , , , , 
398,182,《白痴》（1999，拉斯·冯·提尔 Lars von Trier）, , , , , , , 
399,182,《百花深处》（2002，陈凯歌 Kaige Chen）, , , , , , , 
400,182,《盗马贼》（1986，田壮壮 Zhuangzhuang Tian）, , , , , , , 
401,182,《真实罗曼史》（1993，托尼·斯科特 Tony Scott）, , , , , , , 
402,182,《神女》（1934，吴永刚 Yonggang Wu）, , , , , , , 
403,182,《福利》（1975，弗雷德里克·怀斯曼 Frederick Wiseman）, , , , , , , 
404,182,《福尔摩斯二世》（1924，巴斯特·基顿 Buster Keaton）, , , , , , , 
405,182,《离魂异客》（1995，吉姆·贾木许 Jim Jarmusch）, , , , , , , 
406,182,《秋日和》（1960，小津安二郎 Yasujirô Ozu）, , , , , , , 
407,182,《稻草狗》（1971，萨姆·佩金帕 Sam Peckinpah）, , , , , , , 
408,182,《窃听大阴谋》（1974，弗朗西斯·福特·科波拉 Francis Ford Coppola）, , , , , , , 
409,182,《窃听风暴》（2006，弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck）, , , , , , , 
410,182,《第三类接触》（1977，史蒂文·斯皮尔伯格 Steven Spielberg）, , , , , , , 
411,182,《第二号》（1975，让-吕克·戈达尔 Jean-Luc Godard）, , , , , , , 
412,182,《第二层地狱》（1990，亚历山大·索科洛夫 Alexander Sokurov）, , , , , , , 
413,182,《米兰奇迹》（1951，维托里奥·德·西卡 Vittorio De Sica）, , , , , , , 
414,182,《索多玛120天》（1976，皮埃尔·保罗·帕索里尼 Pier Paolo Pasolini）, , , , , , , 
415,182,《红在革命蔓延时》（1977，克利斯·马克 Chris Marker）, , , , , , , 
416,182,《红色海报》（1976，弗兰克·卡塞蒂 Frank Cassenti）, , , , , , , 
417,182,《红菱艳》（1948，艾默力·皮斯伯格 / 迈克尔·鲍威尔 Emeric Pressburger / Michael Powell）, , , , , , , 
418,182,《红辣椒》（2006，今敏 Satoshi Kon）, , , , , , , 
419,182,《绅士们，我把爱因斯坦给宰掉了哦》（1970，奥德里奇·利普斯基 Oldrich Lipský）, , , , , , , 
420,182,《绘图师的合约》（1982，彼得·格林纳威 Peter Greenaway）, , , , , , , 
421,182,《绿光》（1986，埃里克·侯麦 Eric Rohmer）, , , , , , , 
422,182,《罗拉快跑》（1998，汤姆·提克威 Tom Tykwer）, , , , , , , 
423,182,《罗拉秘史》（1944，奥托·普莱明格 Otto Preminger）, , , , , , , 
424,182,《罗马风情画》（1972，费德里科·费里尼 Federico Fellini）, , , , , , , 
425,182,《美人计》（1946，阿尔弗雷德·希区柯克 Alfred Hitchcock）, , , , , , , 
426,182,《老无所依》（2007，科恩兄弟 Joel & Ethan Coen）, , , , , , , 
427,182,《耶利米启示录》（2006，拉夫·达兹 Lav Diaz）, , , , , , , 
428,182,《聪明笨伯古惑车》（1971，雅克·塔蒂 Jacques Tati）, , , , , , , 
429,182,《肖申克的救赎》（1994，弗兰克·德拉邦特 Frank Darabont）, , , , , , , 
430,182,《育婴奇谭》（1938，霍华德·霍克斯 Howard Hawks）, , , , , , , 
431,182,《自由》（2001，里山德罗·阿隆索 Lisandro Alonso）, , , , , , , 
432,182,《致命档案》（1990，肯·洛奇 Ken Loach）, , , , , , , 
433,182,《芭玛戈》（2006，阿伯德拉马纳·希萨柯 Abderrahmane Sissako）, , , , , , , 
434,182,《花园》（1990，德里克·贾曼 Derek Jarman）, , , , , , , 
435,182,《苏州河》（2000，娄烨 Ye Lou）, , , , , , , 
436,182,《苦月亮》（1992，罗曼·波兰斯基 Roman Polanski）, , , , , , , 
