Index,排名,电影名,豆瓣电影,豆瓣年份,豆瓣打分,导演,主演,类型,地区
79,63,《莫里埃尔》（1963，阿伦·雷乃 Alain Resnais）,[莫里埃尔 Muriel ou Le temps d'un retour](https://movie.douban.com/subject/1293844/),1963,7.7,阿伦·雷乃,德菲因·塞里格 / 让-皮埃尔·凯里安 / 妮特·克莱因,剧情,法国/意大利
80,63,《葛楚》（1964，卡尔·西奥多·德莱叶 Carl Theodor Dreyer）,[葛楚 Gertrud](https://movie.douban.com/subject/1420116/),1964,8.0,卡尔·西奥多·德莱叶,尼娜·彭斯·罗德 / 本特·罗斯 / 埃贝·罗德,剧情,丹麦
81,63,《蓝白红三部曲之蓝》（1993，克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski）,[蓝白红三部曲之蓝 Trois couleurs: Bleu](https://movie.douban.com/subject/1292048/),1993,8.5,克日什托夫·基耶斯洛夫斯基,朱丽叶·比诺什 / 贝努特·里格恩特 / 弗罗伦斯·派梅尔,剧情 / 爱情 / 音乐,法国/波兰/瑞士
82,63,《蜂巢精灵》（1973，维克多·艾里斯 Víctor Erice）,[蜂巢幽灵 El espíritu de la colmena](https://movie.douban.com/subject/1401900/),1973,8.5,维克多·艾里斯,费尔南多·费尔南·戈麦斯 / 特雷莎·希梅拉 / 安娜·托伦特,剧情,西班牙
83,63,《银翼杀手》（1982，雷德利·斯科特 Ridley Scott）,[银翼杀手 Blade Runner](https://movie.douban.com/subject/1291839/),1982,8.6,雷德利·斯科特,哈里森·福特 / 鲁格·豪尔 / 肖恩·杨,科幻 / 惊悚,美国
84,63,《雨月物语》（1953，沟口健二 Kenji Mizoguchi）,[雨月物语 雨月物語](https://movie.douban.com/subject/1303577/),1953,8.6,沟口健二,田中绢代 / 森雅之 / 小泽荣太郎,剧情 / 战争 / 奇幻,日本
85,86,《一条安达鲁狗》（1929，路易斯·布努埃尔 Luis Buñuel）,[一条安达鲁狗 Un chien andalou](https://movie.douban.com/subject/1298962/),1929,8.2,路易斯·布努埃尔,西蒙妮·玛勒伊 / Pierre Batcheff / 路易斯·布努埃尔,短片 / 奇幻,法国
86,86,《两生花》（1991，克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski）,[两生花 La Double vie de Véronique](https://movie.douban.com/subject/1291877/),1991,8.4,克日什托夫·基耶斯洛夫斯基,伊莲娜·雅各布 / 哈丽娜·格雷格拉谢夫斯卡 / 卡里娜·谢鲁斯克,剧情 / 爱情 / 奇幻,法国/波兰/挪威
87,86,《乡愁》（1983，安德烈·塔科夫斯基 Andrei Tarkovsky）,[乡愁 Ностальгия](https://movie.douban.com/subject/1291556/),1983,9.1,安德烈·塔可夫斯基,奥列格·扬科夫斯基 / 厄兰·约瑟夫森 / 多米齐亚娜·焦尔达诺,剧情,苏联/意大利
88,86,《乱世佳人》（1939，维克多·弗莱明 Victor Fleming）,[乱世佳人 Gone with the Wind](https://movie.douban.com/subject/1300267/),1939,9.3,维克多·弗莱明 / 乔治·库克 / 山姆·伍德,费雯·丽 / 克拉克·盖博 / 奥利维娅·德哈维兰,剧情 / 历史 / 爱情 / 战争,美国
