Index,Title 电影,Rank 排名,Rank-2022,Director 导演,豆瓣电影,豆瓣打分,豆瓣信息,Year 年份,Region 地区,Genre 类型,IMDb Movie,IMDb Score
918,Portrait of Jennie,🎉919,🎉1341,William Dieterle,[珍妮的画像 Portrait of Jennie](https://movie.douban.com/subject/1292509/),🌟8.0,威廉·迪亚特尔 / 珍妮弗·琼斯 / 约瑟夫·科顿 / 埃塞尔·巴里摩尔 / 剧情 / 爱情 / 奇幻 / 悬疑 / 美国 / 1948,1948,USA,Romance-Fantasy-Mystery,[Portrait of Jennie](https://www.imdb.com/title/tt0040705/),🌟7.6
919,"Last Temptation of Christ, The",🎉920,🎉899,Martin Scorsese,[基督最后的诱惑 The Last Temptation of Christ](https://movie.douban.com/subject/1292889/),🌟7.8,马丁·斯科塞斯 / 威廉·达福 / 哈威·凯特尔 / Paul Greco / 剧情 / 加拿大/美国 / 1988,1988,USA-Canada,Religious-Drama,[The Last Temptation of Christ](https://www.imdb.com/title/tt0095497/),🌟7.5
920,"Bridges of Madison County, The",🎉921,🎉897,Clint Eastwood,[廊桥遗梦 The Bridges of Madison County](https://movie.douban.com/subject/1293929/),🌟8.7,克林特·伊斯特伍德 / 克林特·伊斯特伍德 / 梅丽尔·斯特里普 / 安妮·科利 / 剧情 / 爱情 / 美国 / 1995,1995,USA,Romance-Drama,[The Bridges of Madison County](https://www.imdb.com/title/tt0112579/),🌟7.6
921,"Last Emperor, The",🎉922,🎉824,Bernardo Bertolucci,[末代皇帝 The Last Emperor](https://movie.douban.com/subject/1293172/),🌟9.3,贝纳尔多·贝托鲁奇 / 尊龙 / 陈冲 / 邬君梅 / 剧情 / 传记 / 历史 / 英国/意大利/中国大陆/法国 / 1987,1987,China-Italy-UK-France,History-Biography-Drama,[The Last Emperor](https://www.imdb.com/title/tt0093389/),🌟7.7
922,Dirty Harry,🎉923,🎉766,Don Siegel,[肮脏的哈里 Dirty Harry](https://movie.douban.com/subject/1293045/),🌟7.7,唐·希格尔 / 克林特·伊斯特伍德 / 哈里·古蒂诺 / 雷尼·桑托尼 / 动作 / 犯罪 / 惊悚 / 美国 / 1971,1971,USA,Crime-Action,[Dirty Harry](https://www.imdb.com/title/tt0066999/),🌟7.7
923,Let the Right One In,🎉924,🎉592,Tomas Alfredson,[生人勿进 Låt den rätte komma in](https://movie.douban.com/subject/2968813/),🌟7.6,托马斯·阿尔弗莱德森 / 凯尔·赫德布朗特 / 莉娜·林德尔森 / 皮尔·拉格纳 / 剧情 / 爱情 / 恐怖 / 瑞典 / 2008,2008,Sweden-Norway,Drama-Horror-Romance,[Let the Right One In](https://www.imdb.com/title/tt1139797/),🌟7.8
924,"Khrustalyov, My Car!",🎉925,🎉1080,Aleksey German,"[赫鲁斯塔廖夫，开车！ Хрусталёв, машину!](https://movie.douban.com/subject/2142191/)",🌟7.6,Aleksei German / Yuri Tsurilo / Nina Ruslanova / Mikhail Dementyev / 喜剧 / 剧情 / 俄罗斯/法国 / 1999,1998,Russia-France,Drama-Comedy,"[Khrustalyov, My Car!](https://www.imdb.com/title/tt0156701/)",🌟7.4
925,Doomed Love [TV],🎉926,🎉1348,Manoel de Oliveira,[被咒之爱 Amor de Perdição](https://movie.douban.com/subject/3012443/),🌟,曼努埃尔·德·奥利维拉 / António Lopes Ribeiro / Cristina Hauser / Elsa Wallencamp / 爱情 / 葡萄牙 / 1979,1978,Portugal,Drama-Romance,[Amor de Perdição](https://www.imdb.com/title/tt9249616/),🌟7.5
926,Meek's Cutoff,🎉927,🎉1083,Kelly Reichardt,[米克的近路 Meek's Cutoff](https://movie.douban.com/subject/4067195/),🌟7.2,凯莉·莱卡特 / 米歇尔·威廉姆斯 / 保罗·达诺 / 布鲁斯·格林伍德 / 西部 / 美国 / 2010,2010,USA,Western-Drama,[Meek's Cutoff](https://www.imdb.com/title/tt1518812/),🌟6.5
927,"Fountainhead, The",🎉928,🎉1122,King Vidor,[源泉 The Fountainhead](https://movie.douban.com/subject/1299716/),🌟7.2,金·维多 / 加里·库珀 / 帕德里夏·妮尔 / 雷蒙德·马西 / 剧情 / 美国 / 1949,1949,USA,Drama,[The Fountainhead](https://www.imdb.com/title/tt0041386/),🌟7
928,Seven Beauties,🎉929,🎉1454,Lina Wertmüller,[七美人 Pasqualino Settebellezze](https://movie.douban.com/subject/1292985/),🌟7.6,里娜·韦特缪勒 / 吉安卡罗·吉安尼尼 / 费尔南多·雷伊 / 雪莉·斯托勒 / 剧情 / 历史 / 战争 / 犯罪 / 意大利 / 1975,1975,Italy,Drama-Comedy-War,[Seven Beauties](https://www.imdb.com/title/tt0075040/),🌟7.7
929,Airplane!,🎉930,🎉693,Jim/David Zucker/Jerry Zucker Abrahams,[空前绝后满天飞 Airplane!](https://movie.douban.com/subject/1292785/),🌟7.5,大卫·扎克 / 杰瑞·扎克 / 吉姆·艾布拉姆斯 / 卡里姆·阿卜杜尔-贾巴尔 / 劳埃德·布里吉斯 / 皮特·格拉维斯 / 喜剧 / 美国 / 1980,1980,USA,Comedy,[Airplane!](https://www.imdb.com/title/tt0080339/),🌟7.7
930,Sawdust and Tinsel,🎉931,🎉872,Ingmar Bergman,[小丑之夜 Gycklarnas afton](https://movie.douban.com/subject/1300957/),🌟8.0,英格玛·伯格曼 / 奥克·格伦贝里 / 哈里特·安德森 / 哈塞·埃克曼 / 剧情 / 瑞典 / 1953,1953,Sweden,Drama,[Sawdust and Tinsel](https://www.imdb.com/title/tt0045848/),🌟7.4
931,"Long Farewell, The",🎉932,🎉1066,Kira Muratova,[漫长的告别 Долгие проводы](https://movie.douban.com/subject/1299857/),🌟7.5,琪拉·穆拉托娃 / 季纳伊达·沙尔科 / Oleg Vladimirsky / Tatyana Mychko / 剧情 / 苏联 / 1971,1971,USSR,Drama,[The Long Farewell](https://www.imdb.com/title/tt0092905/),🌟7.4
