Index,年度十佳,排名,豆瓣电影,豆瓣年份,豆瓣打分,导演,主演,类型,制片国家/地区
580,1955年,9,[荒漠怪客 Johnny Guitar](https://movie.douban.com/subject/1303575/),1954.0,7.8, 尼古拉斯·雷, 琼·克劳馥 / 斯特林·海登 / 梅赛德丝·麦坎布雷奇, 剧情 / 西部, 美国
581,1955年,10,[死吻 Kiss Me Deadly](https://movie.douban.com/subject/1303569/),1955.0,7.0, 罗伯特·奥尔德里奇, 拉尔夫·米克 / 阿尔伯特·德科 / 保罗·斯图尔特, 犯罪 / 剧情 / 黑色电影 / 惊悚, 美国
582,1954年,1,[他 El](https://movie.douban.com/subject/1401598/),1953,7.5, 路易斯·布努埃尔, 阿图罗·德·科尔多瓦 / 德利娅·加尔塞斯 / 奥萝拉·瓦尔克, 剧情 / 爱情, 墨西哥
583,1954年,2,[钱财勿动 Touchez pas au grisbi](https://movie.douban.com/subject/1304495/),1954,7.3, 雅克·贝克, 让·迦本 / 勒内·达里 / 多拉·多尔, 剧情 / 犯罪, 法国/意大利
584,1954年,3,[相逢 Monsieur Ripois](https://movie.douban.com/subject/1304803/),1954, , 雷内·克莱芒, 钱拉·菲利普 / 瓦莱莉娅·霍布森 / 琼·格林伍德, 喜剧 / 剧情, 法国/英国
585,1954年,4,[飞车党 The Wild One](https://movie.douban.com/subject/1296478/),1953,7.2, 拉斯洛·拜奈代克, 马龙·白兰度 / 玛丽·墨菲 / 罗伯特·基思, 剧情, 美国
586,1954年,5,[绅士爱美人 Gentlemen Prefer Blondes](https://movie.douban.com/subject/1294244/),1953,7.9, 霍华德·霍克斯, 简·拉塞尔 / 玛丽莲·梦露 / 查尔斯·科本, 喜剧 / 剧情 / 歌舞 / 爱情, 美国
587,1954年,6,[浪荡儿 I vitelloni](https://movie.douban.com/subject/1300779/),1953,8.4, 费德里科·费里尼, 弗朗科·英特朗吉 / 阿尔贝托·索尔迪 / 佛朗哥·法布里齐, 剧情 / 喜剧, 意大利/法国
588,1954年,7,[模特儿趣事 It Should Happen to You](https://movie.douban.com/subject/1295628/),1954,7.3, 乔治·库克, 朱迪·霍利德 / 彼特·劳福德 / 杰克·莱蒙, 喜剧 / 爱情, 美国
589,1954年,8,[蓝色栀子 The Blue Gardenia](https://movie.douban.com/subject/2061678/),1953,6.9, 弗里茨·朗, 安妮·巴克斯特 / 理查德·康特 / 安·萨森, 犯罪 / 剧情 / 黑色电影 / 悬疑 / 惊悚, 美国
590,1954年,9,[鲁宾逊漂流记 Robinson Crusoe](https://movie.douban.com/subject/1401596/),1954,7.3, 路易斯·布努埃尔, 菲利普·德·阿尔巴 / 何塞·查韦斯 / 海梅·费尔南德斯, 冒险 / 剧情, 墨西哥
591,1954年,10,[母亲 おかあさん](https://movie.douban.com/subject/1404698/),1952,8.0, 成濑巳喜男 (Mikio Naruse), 田中绢代 / 香川京子, 剧情, 日本
592,1951年,1,[大河 The River](https://movie.douban.com/subject/1416677/),1951.0,7.6, 让·雷诺阿, 托马斯·E·布林 / Suprova Mukerjee / 帕特里夏·沃尔特斯, 剧情 / 爱情, 法国/美国/印度
593,1951年,2,[乡村牧师日记 Journal d'un curé de campagne](https://movie.douban.com/subject/1401618/),1951.0,8.2, 罗伯特·布列松, 克罗德·莱杜 / 让·里韦尔 / Adrien Borel, 剧情, 法国
594,1951年,3,[米兰的奇迹 Miracolo a Milano](https://movie.douban.com/subject/1303578/),1951.0,7.9, 维托里奥·德西卡, 埃玛·格拉马蒂卡 / Francesco Golisano / 保罗·斯托帕, 剧情 / 奇幻 / 喜剧, 意大利
595,1951年,4,[被遗忘的人们 Los Olvidados](https://movie.douban.com/subject/1303579/),1950.0,8.3, 路易斯·布努埃尔, Estela Inda / Alfonso Mejía / Roberto Cobo, 犯罪 / 剧情, 墨西哥
596,1951年,5,[彗星美人 All About Eve](https://movie.douban.com/subject/1401385/),1950.0,8.7, 约瑟夫·L·曼凯维奇, 贝蒂·戴维斯 / 安妮·巴克斯特 / 乔治·桑德斯, 剧情, 美国
597,1951年,6,[朱丽小姐 Fröken Julie](https://movie.douban.com/subject/1471839/),1951.0,7.8, 阿尔夫·斯约堡, 安尼塔·布耶尔克 / 乌尔夫·帕姆 / Märta Dorff, 剧情, 瑞典
598,1951年,7,[某种爱的纪录 Cronaca di un amore](https://movie.douban.com/subject/1303581/),1950.0,7.2, 米开朗基罗·安东尼奥尼, 露西娅·波塞 / 马西莫·吉洛蒂 / 费迪南多·萨尔米, 犯罪 / 剧情 / 爱情, 意大利
599,1951年,8,[日落大道 Sunset Blvd.](https://movie.douban.com/subject/1298733/),1950.0,8.8, 比利·怀尔德, 威廉·霍尔登 / 葛洛丽亚·斯旺森 / 埃里克·冯·施特罗海姆, 剧情 / 黑色电影, 美国
600,1951年,9,[爱德华与卡罗琳 Édouard et Caroline](https://movie.douban.com/subject/1958427/),1951.0,7.4, 雅克·贝克, 丹尼尔·盖林 / 安妮·维尔侬 / 伊莲娜·劳波蒂尔, 喜剧, 法国
601,1951年,10,"[圣弗朗西斯之花 Francesco, giullare di Dio](https://movie.douban.com/subject/1303580/)",1950.0,7.9, 罗伯托·罗西里尼, 阿尔多·法布里齐 / 詹弗兰科·贝利尼 / 佩帕罗洛, 剧情 / 传记 / 历史, 意大利
