Index,Group 分榜,Rank 排名,Title 电影,Score 打分,Region 地区,Genre 类型,Staff 人员
95,豆瓣2017评分最高的日本电影,8,滚烫的爱,8.00,日本, ,中野量太 / 宫泽理惠 / 杉咲花
96,豆瓣2017评分最高的日本电影,9,愚行录,7.80,日本, ,石川庆 / 妻夫木聪 / 满岛光
97,豆瓣2017评分最高的日本电影,10,奇迹，那天如此重要,7.70,日本, ,兼重淳 / 松坂桃李 / 菅田将晖
98, , , , , , , 
99,豆瓣2017评分最高的欧洲电影,1,看不见的客人,8.80,西班牙, ,奥里奥尔·保罗 / 马里奥·卡萨斯 / 阿娜·瓦格纳
100,豆瓣2017评分最高的欧洲电影,2,请以你的名字呼唤我,8.80,意大利 法国 巴西 美国, ,卢卡·瓜达尼诺 / 艾米·汉莫 / 提莫西·查拉梅
101,豆瓣2017评分最高的欧洲电影,3,至暗时刻,8.50,英国 美国, ,乔·赖特 / 加里·奥德曼 / 克里斯汀·斯科特·托马斯
102,豆瓣2017评分最高的欧洲电影,4,帕丁顿熊2,8.00,英国 法国 美国, ,保罗·金 / 本·卫肖 / 休·格兰特
103,豆瓣2017评分最高的欧洲电影,5,我是布莱克,8.30,英国 法国 比利时, ,肯·洛奇 / 戴夫·琼斯 / 海莉·斯奎尔斯
104,豆瓣2017评分最高的欧洲电影,6,弗兰兹,8.40,法国 德国, ,弗朗索瓦·欧容 / 皮埃尔·尼内 / 葆拉·贝尔
105,豆瓣2017评分最高的欧洲电影,7,每分钟120击,8.30,法国, ,罗宾·坎皮略 / 纳威尔·佩雷兹·毕斯卡亚特 / 阿诺德·瓦卢瓦
106,豆瓣2017评分最高的欧洲电影,8,猜火车2,8.00,英国, ,丹尼·博伊尔 / 伊万·麦克格雷格 / 约翰尼·李·米勒
107,豆瓣2017评分最高的欧洲电影,9,希望的另一面,7.90,芬兰 德国, ,阿基·考里斯马基 / 韦勒·维坦恩 / 卡蒂·奥廷宁
108,豆瓣2017评分最高的欧洲电影,10,肌肤,7.70,西班牙, ,爱德华多·卡萨诺瓦 / 玛卡蕾娜·戈麦斯 / 洪·科塔哈雷纳
109, , , , , , , 
110,豆瓣2017年度LGBT电影,1,请以你的名字呼唤我,8.80,意大利 法国 巴西 美国, ,卢卡·瓜达尼诺 / 艾米·汉莫 / 提莫西·查拉梅
111,豆瓣2017年度LGBT电影,2,人生密密缝,8.50,日本, ,荻上直子 / 生田斗真 / 桐谷健太
112,豆瓣2017年度LGBT电影,3,每分钟120击,8.30,法国, ,罗宾·坎皮略 / 纳威尔·佩雷兹·毕斯卡亚特 / 阿诺德·瓦卢瓦
113,豆瓣2017年度LGBT电影,4,日常对话,8.40,中国台湾, ,黄惠侦 / 黄惠侦
114,豆瓣2017年度LGBT电影,5,怒,7.70,日本, ,李相日 / 渡边谦 / 森山未来
115,豆瓣2017年度LGBT电影,6,心之石,7.70,冰岛 丹麦, ,古德蒙达尔·阿诺尔·古德蒙松 / 巴尔德尔·埃纳尔松 / 布勒·辛瑞克松
116,豆瓣2017年度LGBT电影,7,恋爱谈,7.80,韩国, ,李贤珠 / 李相喜 / 柳善英
117,豆瓣2017年度LGBT电影,8,二次旅程,7.80,美国, ,尼克·科尔波龙 / 塔克·霍金斯 / 德文·格拉耶
118,豆瓣2017年度LGBT电影,9,月光男孩,7.40,美国, ,巴里·詹金斯 / 崔凡特·罗兹 / 安德烈·霍兰
119,豆瓣2017年度LGBT电影,10,跆拳道,7.50,阿根廷, ,马可·伯格 / 加布里埃尔·爱泼斯坦 / 卢卡斯·帕帕
120, , , , , , , 
121,豆瓣2017评分最高的喜剧片,1,帕丁顿熊2,8.00,英国 法国 美国, ,保罗·金 / 本·卫肖 / 休·格兰特
122,豆瓣2017评分最高的喜剧片,2,我去哪儿？,8.10,意大利, ,热纳罗·努基阿德 / 切柯·扎罗内 / 埃莉奥诺拉·吉奥瓦纳迪
