Title 电影,Director 导演,Rank 排名,Score 打分,Alias 别名,Year 年份,Region 地区,Genre 类型
[第六感](https://movie.douban.com/subject/1297630/),M·奈特·沙马兰 M. Night Shyamalan,🎉109,🌟8.9,The Sixth Sense / 鬼眼(港)  /  灵异第六感(台),1999,美国,剧情 悬疑 惊悚
[重庆森林](https://movie.douban.com/subject/1291999/),王家卫 Kar Wai Wong,🎉110,🌟8.8,重慶森林 / Chungking Express,1994,中国香港,剧情 爱情
[勇敢的心](https://movie.douban.com/subject/1294639/),梅尔·吉布森 Mel Gibson,🎉111,🌟8.9,Braveheart / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),1995,美国,动作 传记 剧情 历史 战争
[超能陆战队](https://movie.douban.com/subject/11026735/),唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,🎉112,🌟8.7,Big Hero 6 / 大英雄联盟(港)  /  大英雄天团(台),2014,美国,喜剧 动作 科幻 动画 冒险
[甜蜜蜜](https://movie.douban.com/subject/1305164/),陈可辛 Peter Chan,🎉113,🌟8.9,Comrades: Almost a Love Story,1996,中国香港,剧情 爱情
[幽灵公主](https://movie.douban.com/subject/1297359/),宫崎骏 Hayao Miyazaki,🎉114,🌟8.9,もののけ姫 / 魔法公主(港)  /  魔法公主(台),1997,日本,动画 奇幻 冒险
[爱在日落黄昏时](https://movie.douban.com/subject/1291990/),理查德·林克莱特 Richard Linklater,🎉115,🌟8.9,Before Sunset / 日落巴黎(港)  /  爱在日落巴黎时(台),2004,美国 法国,剧情 爱情
[菊次郎的夏天](https://movie.douban.com/subject/1293359/),北野武 Takeshi Kitano,🎉116,🌟8.9,菊次郎の夏 / 菊次郎之夏  /  Kikujirô no natsu,1999,日本,剧情 喜剧
[借东西的小人阿莉埃蒂](https://movie.douban.com/subject/4202302/),米林宏昌 Hiromasa Yonebayashi,🎉117,🌟8.9,借りぐらしのアリエッティ / 借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),2010,日本,动画 奇幻 冒险
[消失的爱人](https://movie.douban.com/subject/21318488/),大卫·芬奇 David Fincher,🎉118,🌟8.7,Gone Girl / 失踪的女孩  /  失踪女孩,2014,美国,剧情 犯罪 悬疑 惊悚
[阳光灿烂的日子](https://movie.douban.com/subject/1291875/),姜文 Wen Jiang,🎉119,🌟8.8,In the Heat of the Sun,1994,中国大陆 中国香港,剧情 爱情
[天使爱美丽](https://movie.douban.com/subject/1292215/),让-皮埃尔·热内 Jean-Pierre Jeunet,🎉120,🌟8.7,Le fabuleux destin d'Amélie Poulain / 艾蜜莉的异想世界(台)  /  天使艾米莉,2001,法国 德国,剧情 喜剧 爱情
[完美的世界](https://movie.douban.com/subject/1300992/),克林特·伊斯特伍德 Clint Eastwood,🎉121,🌟9.1,A Perfect World / 强盗保镳,1993,美国,剧情 犯罪
[寄生虫](https://movie.douban.com/subject/27010768/),奉俊昊 Joon-ho Bong,🎉122,🌟8.8,기생충 / 寄生上流(台)  /  上流寄生族(港),2019,韩国,剧情
[小森林 夏秋篇](https://movie.douban.com/subject/25814705/),森淳一 Junichi Mori,🎉123,🌟9.0,リトル・フォレスト 夏・秋 / 小森食光 / 夏秋篇(台),2014,日本,剧情
[无人知晓](https://movie.douban.com/subject/1292337/),是枝裕和 Hirokazu Koreeda,🎉124,🌟9.1,誰も知らない / 谁知赤子心(港)  /  无人知晓的夏日清晨(台),2004,日本,剧情
[倩女幽魂](https://movie.douban.com/subject/1297447/),程小东 Siu-Tung Ching,🎉125,🌟8.8,倩女幽魂(87版)  /  倩女幽魂：妖魔道,1987,中国香港,爱情 奇幻 武侠 古装
[时空恋旅人](https://movie.douban.com/subject/10577869/),理查德·柯蒂斯 Richard Curtis,🎉126,🌟8.8,About Time / 回到最爱的一天(港)  /  真爱每一天(台),2013,英国,喜剧 爱情 奇幻
