Index,Tag,Eclipse-Series,Spine #,Title,Director,Country,Year,豆瓣电影,豆瓣年份,豆瓣打分,豆瓣信息,IMDb电影,IMDb原名,IMDb年份,IMDb评分,IMDb信息
142,eclipse,Eclipse Series 29, ,Leningrad Cowboys Meet Moses,Aki Kaurismäki,Finland,1994.0,[列宁格勒牛仔搭摩西 Leningrad Cowboys Meet Moses](https://movie.douban.com/subject/1401896/),1994,7.0,导演: 阿基·考里斯马基; 类型: 喜剧; 地区: 芬兰/德国/法国,[Leningrad Cowboys Meet Moses](https://www.imdb.com/title/tt0107384/), ,1994.0,5.6,"Not Rated | 94 min | Adventure, Comedy, Music"
143,eclipse,Eclipse Series 29, ,Total Balalaika Show,Aki Kaurismäki,Finland,1994.0,[牛仔撞红军超级演唱会 Total Balalaika Show](https://movie.douban.com/subject/1408104/),1994,8.6,导演: 阿基·考里斯马基; 类型: 喜剧; 地区: 芬兰,[Total Balalaika Show](https://www.imdb.com/title/tt0111460/), ,1994.0,6.9,"Not Rated | 57 min | Documentary, Comedy, Music"
144,eclipse,Eclipse Series 30,#,[Eclipse Series 30: Sabu!](https://www.criterion.com/boxsets/847-eclipse-series-30-sabu), , , ,**Eclipse Series 30: Sabu! 印度童星Sabu**, , , ,Eclipse Series 30: Sabu!, , , , 
145,eclipse,Eclipse Series 30, ,Elephant Boy,Robert Flaherty and Zoltán Korda,United Kingdom,1937.0,[象童 Elephant Boy](https://movie.douban.com/subject/1303192/),1937, ,导演: 罗伯特 J. 佛拉哈迪 (Robert J. Flaherty); 类型: 冒险; 地区: 英国,[Elephant Boy](https://www.imdb.com/title/tt0028827/), ,1937.0,6.4,"Approved | 80 min | Adventure, Drama, Family"
146,eclipse,Eclipse Series 30, ,The Drum,Zoltán Korda,United Kingdom,1938.0,[金鼓雷鸣 The Drum](https://movie.douban.com/subject/1299240/),1938, ,导演: 佐尔坦·科达; 类型: 冒险; 地区: 英国,[The Drum](https://www.imdb.com/title/tt0030082/), ,1938.0,6.3,"Not Rated | 104 min | Adventure, War"
147,eclipse,Eclipse Series 30, ,Jungle Book,Zoltán Korda,United Kingdom,1942.0,[森林王子 Jungle Book](https://movie.douban.com/subject/1293032/),1942,7.7,导演: 佐尔坦·科达; 类型: 动作; 地区: 美国,[The Jungle Book](https://www.imdb.com/title/tt0034928/),Jungle Book,1942.0,6.7,"Approved | 108 min | Action, Adventure, Family"
148,eclipse,Eclipse Series 31,#,[Eclipse Series 31: Three Popular Films by Jean-Pierre Gorin](https://www.criterion.com/boxsets/855-eclipse-series-31-three-popular-films-by-jean-pierre-gorin), , , ,**Eclipse Series 31: Three Popular Films by Jean-Pierre Gorin 让-皮埃尔·高兰佳作三部**, , , ,Eclipse Series 31: Three Popular Films by Jean-Pierre Gorin, , , , 
149,eclipse,Eclipse Series 31, ,Poto and Cabengo,Jean-Pierre Gorin,United States,1980.0,[神秘姐妹 Poto and Cabengo](https://movie.douban.com/subject/2241935/),1979, ,导演: 让-皮埃尔·戈兰; 类型: 纪录片; 地区: 美国/西德,[Poto and Cabengo](https://www.imdb.com/title/tt0196866/), ,1979.0,7.1,Not Rated | 77 min | Documentary
150,eclipse,Eclipse Series 31, ,Routine Pleasures,Jean-Pierre Gorin,United States,1986.0,[寻常快乐 Routine Pleasures](https://movie.douban.com/subject/2241937/),1986, ,导演: 让-皮埃尔·戈兰; 类型: 纪录片; 地区: 西德/法国/英国/美国,[Routine Pleasures](https://www.imdb.com/title/tt0274069/), ,1986.0,6.8,Not Rated | 81 min | Documentary
151,eclipse,Eclipse Series 31, ,My Crasy Life,Jean-Pierre Gorin,United States,1992.0,[我的街头生活 My Crasy Life](https://movie.douban.com/subject/2241944/),1992, ,导演: 让-皮埃尔·戈兰; 类型: 纪录片; 地区: 英国/美国,[My Crasy Life](https://www.imdb.com/title/tt0104953/), ,1992.0,6.9,Not Rated | 95 min | Documentary
