index,Cover 海报,Rank 排名,Title 电影,Director 导演,Score 打分,Year 年份,Region 地区,Genre 类型,Staff 人员
10,![1292064](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg),11,[楚门的世界](https://movie.douban.com/subject/1292064/),彼得·威尔 Peter Weir,🌟9.40,1998,美国,剧情 科幻,彼得·威尔 Peter Weir / 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...
11,![3011091](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg),12,[忠犬八公的故事](https://movie.douban.com/subject/3011091/),莱塞·霍尔斯道姆 Lasse Hallström,🌟9.40,2009,美国 英国,剧情,莱塞·霍尔斯道姆 Lasse Hallström / 理查·基尔 Richard Ger...
12,![1292001](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg),13,[海上钢琴师](https://movie.douban.com/subject/1292001/),朱塞佩·托纳多雷 Giuseppe Tornatore,🌟9.30,1998,意大利,剧情 音乐,朱塞佩·托纳多雷 Giuseppe Tornatore / 蒂姆·罗斯 Tim Roth / ...
13,![3793023](https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg),14,[三傻大闹宝莱坞](https://movie.douban.com/subject/3793023/),拉库马·希拉尼 Rajkumar Hirani,🌟9.20,2009,印度,剧情 喜剧 爱情 歌舞,拉库马·希拉尼 Rajkumar Hirani / 阿米尔·汗 Aamir Khan / 卡...
14,![1291549](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg),15,[放牛班的春天](https://movie.douban.com/subject/1291549/),克里斯托夫·巴拉蒂 Christophe Barratier,🌟9.30,2004,法国 瑞士 德国,剧情 音乐,克里斯托夫·巴拉蒂 Christophe Barratier / 让-巴蒂斯特·莫尼...
15,![2131459](https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg),16,[机器人总动员](https://movie.douban.com/subject/2131459/),安德鲁·斯坦顿 Andrew Stanton,🌟9.30,2008,美国,科幻 动画 冒险,安德鲁·斯坦顿 Andrew Stanton / 本·贝尔特 Ben Burtt / 艾丽...
16,![25662329](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg),17,[疯狂动物城](https://movie.douban.com/subject/25662329/),拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,🌟9.20,2016,美国,喜剧 动画 冒险,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore / 金妮弗·...
17,![1307914](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg),18,[无间道](https://movie.douban.com/subject/1307914/),刘伟强 / 麦兆辉,🌟9.30,2002,中国香港,剧情 犯罪 惊悚,刘伟强 / 麦兆辉 / 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...
18,![1296141](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg),19,[控方证人](https://movie.douban.com/subject/1296141/),比利·怀尔德 Billy Wilder,🌟9.60,1957,美国,剧情 犯罪 悬疑,比利·怀尔德 Billy Wilder / 泰隆·鲍华 Tyrone Power / 玛琳·...
19,![1292213](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg),20,[大话西游之大圣娶亲](https://movie.douban.com/subject/1292213/),刘镇伟 Jeffrey Lau,🌟9.20,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,刘镇伟 Jeffrey Lau / 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
20,![5912992](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg),21,[熔炉](https://movie.douban.com/subject/5912992/),黄东赫 Dong-hyuk Hwang,🌟9.40,2011,韩国,剧情,黄东赫 Dong-hyuk Hwang / 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...
21,![1291841](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg),22,[教父](https://movie.douban.com/subject/1291841/),弗朗西斯·福特·科波拉 Francis Ford Coppola,🌟9.30,1972,美国,剧情 犯罪,弗朗西斯·福特·科波拉 Francis Ford Coppola / 马龙·白兰度 M...
22,![6786002](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg),23,[触不可及](https://movie.douban.com/subject/6786002/),奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,🌟9.30,2011,法国,剧情 喜剧,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano
23,![1849031](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg),24,[当幸福来敲门](https://movie.douban.com/subject/1849031/),加布里尔·穆奇诺 Gabriele Muccino,🌟9.20,2006,美国,剧情 传记 家庭,加布里尔·穆奇诺 Gabriele Muccino / 威尔·史密斯 Will Smith ...
