index,Cover 海报,Rank 排名,Title 电影,Director 导演,Score 打分,Year 年份,Region 地区,Genre 类型,Staff 人员
58,![128](https://media.themoviedb.org/t/p/w220_and_h330_face/cMYCDADoLKLbB83g4WnJegaZimC.jpg),59,[Princess Mononoke](https://www.themoviedb.org/movie/128), ,🌟83.39,1997, , , 
59,![92321](https://media.themoviedb.org/t/p/w220_and_h330_face/mDqzHV8UXWWNpZkoAbKmKX1ZxEE.jpg),60,[Hotarubi no Mori e](https://www.themoviedb.org/movie/92321), ,🌟83.00,2011, , , 
60,![914](https://media.themoviedb.org/t/p/w220_and_h330_face/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg),61,[The Great Dictator](https://www.themoviedb.org/movie/914), ,🌟83.00,1940, , , 
61,![164558](https://media.themoviedb.org/t/p/w220_and_h330_face/cxIoYa7uboxiDvWGxdad6fvgpcH.jpg),62,[One Direction: This Is Us](https://www.themoviedb.org/movie/164558), ,🌟83.20,2013, , , 
62,![644479](https://media.themoviedb.org/t/p/w220_and_h330_face/xc4bTXVwYNXi10jG9dwcaYt5IpU.jpg),63,[Dedicated to my ex](https://www.themoviedb.org/movie/644479), ,🌟83.00,2019, , , 
63,![18491](https://media.themoviedb.org/t/p/w220_and_h330_face/j6G24dqI4WgUtChhWjfnI4lnmiK.jpg),64,[Neon Genesis Evangelion: The End of Evangelion](https://www.themoviedb.org/movie/18491), ,🌟83.00,1997, , , 
64,![105](https://media.themoviedb.org/t/p/w220_and_h330_face/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg),65,[Back to the Future](https://www.themoviedb.org/movie/105), ,🌟83.17,1985, , , 
65,![599](https://media.themoviedb.org/t/p/w220_and_h330_face/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg),66,[Sunset Boulevard](https://www.themoviedb.org/movie/599), ,🌟83.00,1950, , , 
66,![1139087](https://media.themoviedb.org/t/p/w220_and_h330_face/hr8ZtwdbtjBquxlTCrczr685K5T.jpg),67,[Once Upon a Studio](https://www.themoviedb.org/movie/1139087), ,🌟83.00,2023, , , 
67,![207](https://media.themoviedb.org/t/p/w220_and_h330_face/hmGAF5NDoYB6S39UONevjHCESOI.jpg),68,[Dead Poets Society](https://www.themoviedb.org/movie/207), ,🌟83.00,1989, , , 
68,![101](https://media.themoviedb.org/t/p/w220_and_h330_face/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg),69,[Léon: The Professional](https://www.themoviedb.org/movie/101), ,🌟83.10,1994, , , 
69,![3782](https://media.themoviedb.org/t/p/w220_and_h330_face/dgNTS4EQDDVfkzJI5msKuHu2Ei3.jpg),70,[Ikiru](https://www.themoviedb.org/movie/3782), ,🌟83.00,1952, , , 
70,![12493](https://media.themoviedb.org/t/p/w220_and_h330_face/tgNjemQPG96uIezpiUiXFcer5ga.jpg),71,[High and Low](https://www.themoviedb.org/movie/12493), ,🌟83.00,1963, , , 
