index,Cover 海报,Rank 排名,Title 电影,Director 导演,Score 打分,Year 年份,Region 地区,Genre 类型,Staff 人员
0,![12231](http://img5.mtime.cn/mt/2020/06/04/161609.43043291_o.jpg),1,[肖申克的救赎](http://movie.mtime.com/12231),弗兰克·德拉邦特,🌟9.20,1994,美国, ,弗兰克·德拉邦特 / 蒂姆·罗宾斯
1,![10054](http://img5.mtime.cn/img3x/mt/2014/06/17/145457.44209161_o.jpg),2,[阿甘正传](http://movie.mtime.com/10054),罗伯特·泽米吉斯,🌟9.10,1994,美国, ,罗伯特·泽米吉斯 / 汤姆·汉克斯
2,![12281](http://img5.mtime.cn/mt/2020/06/04/162559.35265985_o.jpg),3,[辛德勒的名单](http://movie.mtime.com/12281),史蒂文·斯皮尔伯格,🌟9.10,1993,美国, ,史蒂文·斯皮尔伯格 / 连姆·尼森
3,![98604](http://img5.mtime.cn/img3x/mt/2016/07/28/145303.88789702_o.jpg),4,[海豚湾](http://movie.mtime.com/98604),路易·西霍尤斯,🌟9.10,2009,美国, ,路易·西霍尤斯 / 里克·奥巴瑞
4,![99547](http://img5.mtime.cn/mt/2020/08/06/163756.17081814_o.jpg),5,[盗梦空间](http://movie.mtime.com/99547),克里斯托弗·诺兰,🌟9.10,2020,美国, ,克里斯托弗·诺兰 / 莱昂纳多·迪卡普里奥
5,![10190](http://img5.mtime.cn/mt/2020/02/17/093807.22415163_o.jpg),6,[霸王别姬](http://movie.mtime.com/10190),陈凯歌,🌟9.00,1993,中国, ,陈凯歌 / 张国荣
6,![10968](http://img5.mtime.cn/img3x/mt/2013/12/23/133539.17727433_o.jpg),7,[教父](http://movie.mtime.com/10968),弗朗西斯·福特·科波拉,🌟9.00,1972,美国, ,弗朗西斯·福特·科波拉 / 马龙·白兰度
7,![11234](http://img5.mtime.cn/img3x/mt/2013/11/08/145957.19577928_o.jpg),8,[乱世佳人](http://movie.mtime.com/11234),维克多·弗莱明,🌟9.00,1939,美国, ,维克多·弗莱明 / 费雯·丽
8,![11982](http://img5.mtime.cn/img3x/mt/2014/02/22/230204.38226096_o.jpg),9,[天堂电影院](http://movie.mtime.com/11982),朱塞佩·托纳多雷,🌟9.00,1988,意大利, ,朱塞佩·托纳多雷 / 菲利浦·诺瓦雷
9,![12599](http://img5.mtime.cn/img3x/mt/2014/09/12/102734.13658001_o.jpg),10,[这个杀手不太冷](http://movie.mtime.com/12599),吕克·贝松,🌟9.00,1994,法国, ,吕克·贝松 / 让·雷诺
10,![12766](http://img5.mtime.cn/img3x/mt/2014/02/22/231049.80478961_o.jpg),11,[疯狂足球队](http://movie.mtime.com/12766),乔阿奇姆·马萨内克,🌟9.00,2003,德国, ,乔阿奇姆·马萨内克 / 吉米·布鲁·奥森耐特
11,![13367](http://img5.mtime.cn/mt/2018/04/10/093745.15273839_o.jpg),12,[十二怒汉](http://movie.mtime.com/13367),西德尼·吕美特,🌟9.00,1957,美国, ,西德尼·吕美特 / 亨利·方达
12,![14440](http://img5.mtime.cn/img3x/mt/2014/02/22/233320.25515533_o.jpg),13,[灿烂人生](http://movie.mtime.com/14440),马可·图利欧·吉欧达纳,🌟9.00,2003,意大利, ,马可·图利欧·吉欧达纳 / 阿莱西奥·博尼
13,![16528](http://img5.mtime.cn/img3x/mt/2014/02/22/235914.39247803_o.jpg),14,[妖妇](http://movie.mtime.com/16528), ,🌟9.00,1926,美国, ,葛丽泰·嘉宝
14,![17513](http://img5.mtime.cn/img3x/mt/2014/02/23/001732.78814428_o.jpg),15,[控方证人](http://movie.mtime.com/17513),比利·怀尔德,🌟9.00,1958,美国, ,比利·怀尔德 / 泰隆·鲍华
15,![19820](http://img5.mtime.cn/img3x/mt/2014/02/23/004345.81054907_o.jpg),16,[我的建筑师](http://movie.mtime.com/19820), ,🌟9.00,2003,美国, , 
16,![23177](http://img5.mtime.cn/img3x/mt/2014/02/23/011935.76383998_o.jpg),17,[阿巴合唱团](http://movie.mtime.com/23177),莱塞·霍尔斯道姆,🌟9.00,1977,澳大利亚, ,莱塞·霍尔斯道姆
17,![31952](http://img5.mtime.cn/img3x/mt/2014/02/23/024513.87202630_o.jpg),18,[电影之光：卓别林的艺界人生](http://movie.mtime.com/31952),理查德·什克尔,🌟9.00,2003,美国, ,理查德·什克尔 / 查理·卓别林
18,![51378](http://img5.mtime.cn/img3x/mt/2014/02/23/035905.95742424_o.jpg),19,[蝙蝠侠：黑暗骑士](http://movie.mtime.com/51378),克里斯托弗·诺兰,🌟9.00,2008,美国, ,克里斯托弗·诺兰 / 克里斯蒂安·贝尔
19,![52952](http://img5.mtime.cn/img3x/mt/2013/11/20/172527.42989246_o.jpg),20,[机器人总动员](http://movie.mtime.com/52952),安德鲁·斯坦顿,🌟9.00,2008,美国, ,安德鲁·斯坦顿 / 本·贝尔特
20,![68615](http://img5.mtime.cn/img3x/mt/2014/02/23/051124.77977059_o.jpg),24,[第九心脏](http://movie.mtime.com/68615),乔拉·赫兹,🌟9.00,1978,捷克斯洛伐克, ,乔拉·赫兹
21, ,25,[芦笋](http://movie.mtime.com/84575),苏赞·佩蒂,🌟9.00,2007,美国, ,苏赞·佩蒂
22,![107220](http://img5.mtime.cn/img3x/mt/2014/02/23/073726.85741252_o.jpg),26,[蒙古草原，天气晴](http://movie.mtime.com/107220), ,🌟9.00,2008,日本, , 
23, ,27,[戈达尔，爱情与诗歌](http://movie.mtime.com/144172), ,🌟9.00,2007,法国, , 
24,![195810](http://img5.mtime.cn/img3x/mt/2013/03/27/120956.52494390_o.jpg),28,[路易·C·K：我的上帝](http://movie.mtime.com/195810),路易斯·CK,🌟9.00,2013,美国, ,路易斯·CK / 路易斯·CK
